#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.0178903457907119; Statistic: 4.77253769445988; Expected: 3.56661490754674; Std.dev: 0.499279056171907; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649396; Statistic: 2.65177481397871; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TPM
#  DE genes: 22, up: 16, down: 6
#GSE64398.1_het_TPM: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_het_TPM	GeneSymbols
2.45390228339339e-06	Rad23a
2.78276663836502e-05	Poc1a
3.15099802865986e-05	Fbxw2
4.26226077958458e-05	Hmces
6.54485331628971e-05	Prkrip1
8.15848459123416e-05	Sept6
0.000220368486909804	AI837181
0.000225073231150311	Vps4a
0.000230741282309264	5730409E04Rik
0.000251147083378525	Zfp667
0.000257883859462977	Ier5l
0.000294395901654433	Bcs1l
0.000303860047492062	Trpm4
0.000351788513912304	Dnajc28
0.000366813929346535	Zc3h10
0.000377684254595595	Mep1b
0.000398110858849262	Ctrc
0.000411070301111319	Kdm5b
0.000421821263769234	Slc29a2
0.000423313846581817	Phf13
0.000427916360824235	Slc35f6
0.000444823988088895	Espn
0.000476088918727158	Rfxap
0.000513209168262924	Golga1
0.000544661300369383	Tmem151b
0.000548802272599355	Ndufb11
0.000592556193401404	Lrrc75a
0.000596733004521033	Pex26
0.000625154466381632	Lix1
0.000634916311253315	Ripk3
0.000706406994879757	Ube2s
0.000748824056499977	Fabp3
0.000773942198658769	Nelfa
0.000795128605344838	Hps4
0.000807510518387917	Coro2a
0.000822116696951498	Prdm9
0.000850297521844507	Entpd4
0.000882756667132309	C1qtnf1
0.000885452115514548	Adar
0.000886711534941152	Ocm
0.000897891213319313	Fam131b
0.00092800565897033	Tmem169
0.000933787494321593	Afg3l2
0.00102706724201487	Clec1a
0.00103313572474423	Pura
0.00107570363415676	Ube2d2b
0.00110963975379591	Aars2
0.00111881667660076	Pde4dip
0.0011476132565486	Pygm
0.00117119992640271	Fsd1
0.00142058309115876	Adgrb3
0.00144236448338737	Anapc2
0.00145986390346029	Gpr45
0.00147526893131957	Mgst3
0.00150029363232302	Atp6v0e2
0.00162965917669063	Abca15
0.00163660067129138	Mea1
0.00165043890976605	Flot1
0.0016774613739634	Arhgap22
0.00169047732133117	Aar2
0.00171326657812417	Hdgf
0.00176273165286388	Ss18l1
0.00176776372869131	Atp13a2
0.00191336252753831	Zpr1
0.00193141869552721	Apba2
0.00196992146415693	Agrp
0.00199360953452238	Ttc19
0.00199571531995388	Zfp592
0.00201224863489028	Slfn2
0.00213106649091402	Zfp410
0.00213141315397335	Dupd1
0.00215195477166412	Prkx
0.00221399875195985	Fmo3
0.00222632942125096	Anapc4
0.00224691764338918	Fam213b
0.00227173975059964	Arv1
0.0023384207989879	Scn2b
0.002391150019491	Ckmt1
0.00242652372212589	Zfp467
0.00244667869020962	Sgol1
0.00245458257900146	Gatb
0.00246779147263203	Dusp22
0.0024915895559428	Klhl22
0.00251400030896759	Bub1b
0.00257646895175912	Rpia
0.00270842983835102	Cntnap4
0.00271986480408454	Nom1
0.00275934008782464	Nsun2
0.0027626739874259	Lsm10
0.00283581868492236	Med31
0.00287462461286365	Hapln3
0.00294362941713431	Ica1
0.00299026599639153	Slc39a5
0.00300095781986381	Inpp5k
0.00300543521026407	Slc25a23
0.00301731802823711	Ift80
0.00302797487412135	Zfp811
0.00304557250998578	Nfkbib
0.003105226968816	Shisa4
0.00311247352782421	Myadm
0.00311672851468519	Tbrg4
0.00317408109466572	Rbm19
0.00326550771357502	Lxn
0.00326937984024758	L1cam
0.00330620735019812	Prr16
0.0034400281448684	9130011E15Rik
0.003445086303085	Zfp775
0.0035550300721929	Got2
0.00356349649019609	Ccdc129
0.00358860392155916	Dhdds
0.00359289048071702	Rap1gds1
0.00360785168593749	Amt
0.00361493519203668	Oscar
0.00362200063730215	Mtmr7
0.00362277169981103	Qrfp
0.00364598767376472	Chmp7
0.0037031394547602	1700123O20Rik
0.00378583513307656	Olfr356
0.00383121528934849	D730001G18Rik
0.00384650552326423	Gsk3b
0.00385705999232171	Mllt11
0.00387970511873326	Timm17b
0.0038892881144272	B4galt3
0.0039520517000909	Ubtd1
0.00401693844952973	Rangap1
0.0040367963240891	Stk11ip
0.0040917106748314	Atpif1
0.00410487116036858	Pnmt
0.00414940053304952	Lpin2
0.00415363617662725	B3galt4
0.00419815793801139	Baz1b
0.00420243916665679	Cngb3
0.00420690182877749	Snx21
0.00423814287229473	Dusp7
0.00424573101790293	Tgs1
0.00425312872026795	Acat2
0.00437470860253015	Atp6v1b1
0.00438444439104901	Preb
0.00438960340251615	Katnal1
0.00442763544483109	Ppp3cb
0.00449872054566567	Dap3
0.00453885716919628	Rpl13a
0.00455759486174588	P2rx6
0.00459779173513678	Etv3
0.00460045747653069	Plpp7
0.00460924407372286	Pabpc1
0.00461000201131963	Gdpd5
0.00463113306453367	Dpysl3
0.0046414551429397	S1pr2
0.00466142195887584	Vasp
0.00468862696217994	Nsg2
0.00469335608291471	Cops6
0.0047251363621939	Mrps27
0.00473027671338145	Copa
0.00475180806445551	Panx1
0.00478913445766982	Mmp9
0.00479165727588613	Taf11
0.00481235248134603	Wdcp
0.00488419550848882	Rab11fip5
