#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.0178903457907119; Statistic: 4.77253769445988; Expected: 3.56661490754674; Std.dev: 0.499279056171907; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649396; Statistic: 2.65177481397871; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TASTPM
#  DE genes: 7, up: 6, down: 1
#GSE64398.1_het_TASTPM: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_het_TASTPM	GeneSymbols
6.45890564353034e-12	Thy1
1.19097650142589e-06	Mid1
1.62807033734899e-06	Sqle
3.62196808013027e-06	A730018C14Rik
1.1883597739488e-05	Letm1
1.95541857579688e-05	Fdps
0.000194435672770973	Acat2
0.000226281583082723	Unc45a
0.000268569920207343	Hmgcs1
0.000270965088826091	Diras1
0.000299685325653016	Faim2
0.000334601850746161	Pced1a
0.00044064651772039	Cend1
0.000470538849724805	Rtbdn
0.000483654846007645	Lipe
0.000487247883311867	Rab4a
0.000501519468407558	Pou3f2
0.000683139101194773	Dnph1
0.000688170509523988	Gins3
0.000862762691429998	Copg1
0.000875296489672109	Ndn
0.000875662146510472	Rxfp3
0.000905959581128921	Insig1
0.000927747412794268	Hsd17b7
0.000990619012010929	Mtss1
0.00106066204409684	Msmo1
0.00117750572297972	Apc2
0.00123631943017245	Gpd1l
0.00124065876553163	Olfr456
0.0012730170398835	Ddx24
0.00130588547364897	Acaca
0.00132003770898613	Vmn2r89
0.00133689536332272	Nsdhl
0.00137563395639939	Gpr26
0.00143631439981032	Slc5a5
0.00145417824104099	Lss
0.00147012950663534	Ccna1
0.00147952827059845	Sox4
0.00150351626979985	Vill
0.00156524699464593	Wdr45
0.00161932010132684	Cxcl1
0.00163100953911362	Aacs
0.00164566143234475	Ebf4
0.00170050398333081	Ccdc159
0.00178033744402143	Gstz1
0.00190334448874391	Nlrp5
0.0019053335686849	Stard4
0.0019060028118469	Clec7a
0.00192387205165957	Chtf18
0.00195125714541018	Slc12a2
0.00200345137275919	Nnmt
0.00202621446151148	Mtag2
0.00202969196983932	Ufsp1
0.00211053735137203	Slc25a27
0.00213931946594793	Pomc
0.00215983243448083	Crhr2
0.00220871473853742	Cryz
0.00224049847815255	Usp11
0.00224288112932887	Ccdc9
0.00242043013580599	Sftpc
0.00260400612769494	Snapc2
0.00264446267126469	Fads3
0.00272929776122359	N4bp2l1
0.00297962938043897	Cib2
0.00304135391539397	Trpv5
0.00311441997658445	Osgepl1
0.00317522664086749	Frs2
0.00318528921966599	Lrfn1
0.00333525845078791	Mib2
0.00340996253767516	Ckmt1
0.00359546586969072	Gm128
0.00361583420609562	Olfr790
0.00373792554128928	Slc6a4
0.00377165886917448	Ogfod1
0.00377756473566933	Sugp2
0.0038612676613499	C2cd4c
0.00388053057069383	Tonsl
0.00389345855702239	4930427A07Rik
0.00395159469778171	Nlrp1a
0.00411870884067365	Anapc2
0.00418373862066237	Slc22a1
0.00437697153877283	Ccdc171
0.00442582631050139	Mast1
0.00445933764246603	Zfp574
0.00447342629108304	Trappc11
0.00451230361067475	Olfr1101
0.00455837681941584	Uchl1
0.00456315302861362	Tube1
0.0045747454713035	Tcea2
0.00467072684065283	Hps5
0.00468240725720663	Grip1
0.00472441343398716	Gpr162
0.00473024886774054	Fancc
0.00473255271146962	Krtap15
0.00483083077936136	Vrk2
0.00483712323700478	Klrb1b
0.00488413363358547	Ythdf1
0.00504959760499455	6330403K07Rik
0.00507285141156949	Agt
0.00514507960785652	Rfc2
0.00516178515516565	Idh1
0.00521024357029215	Dhcr24
0.00521249916854812	Erdr1
0.00524988505630862	Cbarp
0.00526882635296956	Pnp
0.00528281165991055	Gtf3c1
0.00535002946956979	Kcnk5
0.00538536026550235	Zfp747
0.00546752618858488	Pxdn
0.00547370242312834	Mvd
0.00566262633043344	Armc9
0.00571636690154383	Mtnr1a
0.00574688057695053	Disp1
0.00587559999268754	Tshb
0.00591815263109579	Popdc2
0.00609034388796716	Junb
0.00609101292378359	Tmc7
0.00618964816728537	Mmab
0.00623783632293632	Ccdc54
0.00624500289460041	Pfn3
0.00631918337598052	Champ1
0.00634773130887497	Tal1
0.00640365564961251	Usp8
0.00651748125669732	Tsx
0.00651868649074581	Slc9a9
0.00653250136517595	Tsr2
0.0065791670970789	Pmvk
0.00666447846223194	Ddb2
0.00678754501630703	Myo7a
0.00683754893207155	Calca
0.00686676838365817	Dck
0.00692393352592322	Tpm2
0.00701440044030758	Ankrd33b
0.00709891425192895	Vti1a
0.00713590681959726	Tmem37
0.00732074441903712	Ern2
0.00739004954371523	Gskip
0.00739457425161036	Ccdc169
0.00743328281726852	Parpbp
0.00744369933307072	Dnmbp
0.00747923306348504	Hps1
0.00781674365861563	Skint3
0.00782070546235688	Cdhr1
0.00783563050068514	Ccdc160
0.00784634587856205	Rps6ka5
0.00793705323308923	Cps1
0.00811727241360347	Dyrk2
0.00814765957422197	Kptn
0.0081624868373523	Megf11
0.0081909452188946	Phlda2
0.00823487518126402	Siglece
0.00828159415285096	Slc6a7
0.00838853218636233	Sncaip
0.00858794687427921	Bend3
0.008652314353331	Tmem229b
0.0087122431432025	Cage1
0.00883478828024431	Fam185a
0.00883484744704248	Tnfrsf9
0.00890762771258692	Tnfsf8
0.00892766229111645	Rpia
