#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.0178903457907119; Statistic: 4.77253769445988; Expected: 3.56661490754674; Std.dev: 0.499279056171907; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649396; Statistic: 2.65177481397871; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TPM
#  DE genes: 22, up: 16, down: 6
#GSE64398.1_het_TPM: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_het_TPM	GeneSymbols
2.4133200645697e-09	Tjp3
7.88206001349604e-07	Mapk15
7.6059185440558e-06	Ubxn11
1.14466249338343e-05	Cdk1
1.57889774690281e-05	Hexb
1.58060250027258e-05	Rassf2
2.26215175730276e-05	Dnaaf1
2.27201047363568e-05	Nmu
2.2777408551416e-05	Nfatc1
2.39021972662565e-05	Got1l1
2.58910735184574e-05	Etfbkmt
4.12686041606639e-05	Yy2
4.29830706999839e-05	Nt5e
4.86926995494616e-05	Zzz3
5.4409960883632e-05	Sap18
5.46496374225671e-05	Daw1
5.70872800683831e-05	Lrrc36
5.75743802295128e-05	Fgfr1
7.1592081318925e-05	Olfr951
8.29811816064912e-05	Akap14
9.09528728097324e-05	Klkb1
9.52931184602743e-05	Setd7
0.000105455434451263	Trmu
0.000117594579430636	Ano5
0.000122305007764458	Rack1
0.000137929666760491	Col4a4
0.000140878631374873	Spag8
0.000169366753407621	Tnfrsf1a
0.000187945601187656	Slc5a1
0.000206887613892989	Olfr796
0.000219204612174502	Dkc1
0.000227931021605948	Osgin1
0.000231364752263321	Hnrnpr
0.000258549681846231	Speer8-ps1
0.00027629845026971	Olfr424
0.000277124349776396	Olfr180
0.000281342778655701	Map10
0.000310811566524252	Top3a
0.000311777442895131	Adora2b
0.000322628218015825	Cfap206
0.000323402540244811	Trim30a
0.00033892896129848	Dmrt3
0.000341583755132956	Shcbp1l
0.000343192287170724	Csf3
0.000359427279607566	Ctsw
0.000366877629746727	Pla2g4a
0.000403063404341716	Acot1
0.000406439613881699	Morn3
0.00041522266601099	Mdh1b
0.000434084280891747	Ddx58
0.000436622763542432	Dera
0.000452455254297299	Spag6l
0.000495891670340961	Lrrc23
0.000501414288074174	Lrrc34
0.000534290111181245	Slc30a5
0.000544669670614595	Reg3a
0.000549550987092961	Ssfa2
0.000578582392627171	Olfr713
0.00058081442375097	Pak1ip1
0.000601680295494834	Trpv4
0.000627599322303705	Notch2
0.000652640526011944	Rsg1
0.000667790432076015	Olfr299
0.000725698224592407	Gm1661
0.000729332590332545	Nono
0.000756104437088818	Clint1
0.000766497774526221	Svs1
0.000790234661676119	Gatm
0.000792039556439875	Myo7a
0.000792216480378212	Ace
0.000795988444574826	Nsmce2
0.000822324780853406	Serinc5
0.000846924426080197	Unc50
0.000860835772796677	Pbxip1
0.00086083766261539	Gsn
0.000866432098761052	Slc44a3
0.000873593739355229	Snap23
0.000876489464527529	Slc44a1
0.000903933060379391	Tmem59
0.000956916515229818	Hhip
0.000993718033535242	Phf6
0.00099637683357166	Ranbp3l
0.00103310850116376	4930550C14Rik
0.00103621459367926	Dnali1
0.00104160313462067	F2rl3
0.00105553242635296	Ttc29
0.00105721197664222	Phyhipl
0.00105950410385344	Tsnaxip1
0.00107888998867703	1700025F22Rik
0.00109484768688665	Odf3b
0.00109677883824211	Zfp689
0.00112191570455533	Pex2
0.00113061462411788	Cnppd1
0.00116708905766073	Prl3a1
0.00117471215294466	Serpina10
0.00118108160315596	Zfyve16
0.00118394886080872	Tlr2
0.00122125053887723	Glce
0.00122328477818966	Ccdc114
0.00123421055005038	Vwa3a
0.00127309480134565	Acadl
0.00131608548286119	Cd200r1
0.00131765003125259	Ifitm3
0.00132051828174601	Adam5
0.00132591488155586	Cdhr3
0.00133017598074751	Slc44a2
0.00134626009086417	Anln
0.00136530213836038	Sytl3
0.00141920475644434	Stra6
0.00148721703820336	Rasgrf2
0.00152514103870152	Rnf38
0.00153269788016106	Mapkapk3
0.00153638061364051	4933425L06Rik
0.00156546203374574	Bcl2
0.00156744806291723	Fgr
0.00159378409114033	Pdlim4
0.00160007829322681	Myo1d
0.0016348393052195	Ddx52
0.00169322066067859	Adipor1
0.00169358265642205	Kcnj14
0.00169492436733137	Cacng5
0.00171919666358963	Casc1
0.00172639407386782	Pf4
0.00173315697732247	Nadsyn1
0.00176439716954725	Cfap65
0.00185957492518761	Vcam1
0.00187490682258272	Pcdhga1
0.00189289497229812	Mlf1
0.00193157354014371	Dnah2
0.00195368900294795	Slpi
0.0019667069455464	Ces1d
0.00202613989494949	Kif9
0.00204777782297422	Zfp946
0.00206792403187941	Lsr
0.00211601328802786	Bbox1
0.00213675738220713	Nup98
0.00215772103647067	Kcnk5
0.00216630091769867	Foxf1
0.00221428185602469	1700007G11Rik
0.00225891795244051	Saa4
0.00228268425351827	T
0.00232835131481218	4931428L18Rik
0.00233050075660115	F8
0.00233088145391981	Tmem143
0.00240763412478539	Eno4
0.00241099517707847	Pmch
0.00243327481935014	Tekt1
0.00246781927364264	Rarres2
0.00248314093900464	Psd2
0.00248474534974769	Tmem33
0.00250968994481545	Slc38a5
0.00263359727565581	Thbs1
0.00265886566116626	Elk3
0.00266033729846291	Ctsc
0.00268446267882251	Mtdh
0.00288320010573995	Edem2
