#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.0178903457907119; Statistic: 4.77253769445988; Expected: 3.56661490754674; Std.dev: 0.499279056171907; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649396; Statistic: 2.65177481397871; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TASTPM
#  DE genes: 7, up: 6, down: 1
ProbeName	GeneSymbols	up
ILMN_2644350	Thy1	6.45890564353034e-12
ILMN_3159435	Mid1	5.95488250712943e-07
ILMN_2737163	Sqle	8.14035168674496e-07
ILMN_2921967	Letm1	2.97089943487199e-06
ILMN_1222606	A730018C14Rik	3.27766103645222e-06
ILMN_2626796	A730018C14Rik	3.62196808013027e-06
ILMN_1225730	Fdps	1.95541857579688e-05
ILMN_2619452		1.99913621777694e-05
ILMN_1232280	Pced1a	0.00011153395024872
ILMN_1253134	Unc45a	0.000113140791541362
ILMN_3136149	Faim2	0.000149842662826508
ILMN_1253008	Acat2	0.000194435672770973
ILMN_2606693	Insig1	0.00022648989528223
ILMN_2826826	Rtbdn	0.000235269424862402
ILMN_3111326	Lipe	0.000241827423003822
ILMN_2654952	Hmgcs1	0.000268569920207343
ILMN_1220054	Diras1	0.000270965088826091
ILMN_2958207	Nsdhl	0.000334223840830679
ILMN_1233848	Copg1	0.000342608076929815
ILMN_2600348	Sqle	0.000350394102179849
ILMN_1249708	Ddx24	0.000424339013294499
ILMN_3074952	Copg1	0.000431381345714999
ILMN_2753173	Cend1	0.00044064651772039
ILMN_2653132	Clec7a	0.000476500702961725
ILMN_1212902	Rab4a	0.000487247883311867
ILMN_3068197	Slc12a2	0.000487814286352546
ILMN_1219223	Pou3f2	0.000501519468407558
ILMN_1217341	Cryz	0.000552178684634356
ILMN_3152906	Nlrp5	0.000634448162914638
ILMN_2676294	Dnph1	0.000683139101194773
ILMN_2589960	Gins3	0.000688170509523988
ILMN_2846432	Vill	0.000751758134899923
ILMN_2622374	Ndn	0.000875296489672109
ILMN_1240943	Rxfp3	0.000875662146510472
ILMN_1229529	Hsd17b7	0.000927747412794268
ILMN_1255439	Mtss1	0.000990619012010929
ILMN_2665411	Nnmt	0.00100172568637959
ILMN_2594521	Nsdhl	0.00101891695210971
ILMN_2858938	Slc25a27	0.00105526867568602
ILMN_2823778	Msmo1	0.00106066204409684
ILMN_2802244	Usp11	0.00112024923907627
ILMN_2685318	Grip1	0.00117060181430166
ILMN_2820314	Apc2	0.00117750572297972
ILMN_2962004	Klrb1b	0.00120928080925119
ILMN_2991214	Gpd1l	0.00123631943017245
ILMN_3160851	Olfr456	0.00124065876553163
ILMN_1258600	Acaca	0.00130588547364897
ILMN_1213286	Gm21541|Gm13304|Gm10591|Ccl21c|Ccl21a|Ccl21b|Gm1987	0.00131491885771382
ILMN_1215638	Pnp	0.00131720658824239
ILMN_2440838	Vmn2r89	0.00132003770898613
ILMN_1217361	Gpr26	0.00137563395639939
ILMN_3099741	Armc9	0.00141565658260836
ILMN_1250582	Slc5a5	0.00143631439981032
ILMN_2614161	Lss	0.00145417824104099
ILMN_1244581	Ccdc171	0.00145899051292428
ILMN_2837631	Ccna1	0.00147012950663534
ILMN_3142097	Mast1	0.0014752754368338
ILMN_2893417	Sox4	0.00147952827059845
ILMN_2744587	Cib2	0.00148981469021949
ILMN_2836924	Wdr45	0.00156524699464593
ILMN_3066293	Fancc	0.00157674962258018
ILMN_2763245	Cxcl1	0.00161932010132684
ILMN_1253601	Aacs	0.00163100953911362
ILMN_2759722	Ebf4	0.00164566143234475
ILMN_2815374	Ccdc159	0.00170050398333081
ILMN_2671843	Asph	0.00176325404973482
ILMN_1229964	Gstz1	0.00178033744402143
ILMN_2982781	Kcnk5	0.00178334315652326
ILMN_1240445	Stard4	0.0019053335686849
ILMN_1232175	Chtf18	0.00192387205165957
ILMN_2692688	Mtag2	0.00202621446151148
ILMN_2605703	Ufsp1	0.00202969196983932
ILMN_2821381	Megf11	0.00204062170933807
ILMN_2832228		0.00208263131563436
ILMN_1248318	Slc22a1	0.00209186931033118
ILMN_1214515	Usp8	0.00213455188320417
ILMN_2745802	Pomc	0.00213931946594793
ILMN_2721406	Crhr2	0.00215983243448083
ILMN_1229502	Ddb2	0.00222149282074398
ILMN_3008230	Ccdc9	0.00224288112932887
ILMN_3101815	Calca	0.00227918297735718
ILMN_2752940	Dhcr24	0.00229737853411106
ILMN_2482209	Tpm2	0.00230797784197441
ILMN_1217319	Ankrd33b	0.00233813348010253
ILMN_2984942	Gpr162	0.00236220671699358
ILMN_2480180	Vti1a	0.00236630475064298
ILMN_2638865	Sftpc	0.00242043013580599
ILMN_2719614	Erc1	0.00251125333532182
ILMN_1215174	Snapc2	0.00260400612769494
ILMN_2924041	Cbarp	0.00262494252815431
ILMN_3147584	Fads3	0.00264446267126469
ILMN_2602139	Ccl21a|Ccl21b|Gm13304|Gm10591|Gm1987|Ccl21c|Gm21541	0.00270617169550487
ILMN_1224250	N4bp2l1	0.00272929776122359
ILMN_2959956	Mmab	0.0027459797493832
ILMN_3128351	Popdc2	0.00295907631554789
ILMN_2826770	Trpv5	0.00304135391539397
ILMN_2482722	Tmc7	0.00304550646189179
ILMN_2764301	Mmab	0.00309482408364269
ILMN_1225723	Osgepl1	0.00311441997658445
ILMN_2659168	Cib2	0.00315973164078503
ILMN_2993711	Frs2	0.00317522664086749
ILMN_2734991	Lrfn1	0.00318528921966599
ILMN_2769393	Mib2	0.00333525845078791
ILMN_3007971		0.00338325297142623
ILMN_2773537	Ckmt1	0.00340996253767516
ILMN_2620106	Dhcr24	0.0034734957135281
ILMN_1242144	Adam23	0.00354294411367199
ILMN_2837100	Gm128	0.00359546586969072
ILMN_2606564	Atic	0.00360688956991269
ILMN_2683036	Olfr790	0.00361583420609562
ILMN_2594525	Nsdhl	0.00363192442038848
ILMN_2590638	Bcl2l11	0.00367314575887433
ILMN_2907115	Tsr2	0.00368754587632018
ILMN_2639662	Ldhd	0.0036930429274456
ILMN_1218651	Dnmbp	0.00372184966653536
ILMN_2713714	Slc6a4	0.00373792554128928
ILMN_2756496	Ogfod1	0.00377165886917448
ILMN_2604227	Sugp2	0.00377756473566933
ILMN_2615081	C2cd4c	0.0038612676613499
ILMN_1231514	Tonsl	0.00388053057069383
ILMN_3101073	Masp2	0.00389123955535153
ILMN_1217337	4930427A07Rik	0.00389345855702239
