#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.0178903457907119; Statistic: 4.77253769445988; Expected: 3.56661490754674; Std.dev: 0.499279056171907; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649396; Statistic: 2.65177481397871; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 1148, up: 547, down: 601
ProbeName	GeneSymbols	up
ILMN_2644350	Thy1	1.92343210643875e-13
ILMN_1233848	Copg1	1.54573588737614e-08
ILMN_3074952	Copg1	2.30182476730449e-08
ILMN_2622374	Ndn	4.52834350772534e-08
ILMN_1229091	Nr1d1	1.05469736377761e-07
ILMN_2749669	Nr1d1	1.3287699550427e-07
ILMN_2616226	Dbp	4.28214509174771e-07
ILMN_3159131	Cyp2a5|Cyp2a4	4.97802573090629e-07
ILMN_2991272	Aqp3	5.7010937240868e-07
ILMN_3029489	Ciart	1.28585050163594e-06
ILMN_2605703	Ufsp1	1.55682012166171e-06
ILMN_2647533	Slc41a3	1.65880411023804e-06
ILMN_2761594	Cirbp	2.11972075216368e-06
ILMN_1253134	Unc45a	3.33071964077203e-06
ILMN_2722602	Tcf12	3.49414612375022e-06
ILMN_3038404	Tcf25	6.63133504173909e-06
ILMN_1230373	Ddr2	7.21839595731378e-06
ILMN_2753173	Cend1	7.26689483526944e-06
ILMN_2593621	Slc4a3	7.5122778907483e-06
ILMN_2804330	Denr	7.63648418630195e-06
ILMN_1248318	Slc22a1	8.44625382587152e-06
ILMN_2748336	Elf2	9.2951385592576e-06
ILMN_3040018	Tmod2	9.57231158075088e-06
ILMN_2597050		9.63389478325934e-06
ILMN_2834555	Gk5	1.15599222938411e-05
ILMN_3001871	Olfr1252|Olfr1246|Olfr1245|Olfr1250|Olfr1248|Olfr1247	1.234918233555e-05
ILMN_2748337	Elf2	1.28170962468813e-05
ILMN_1253008	Acat2	1.36878928451565e-05
ILMN_3086899	Tcte3|Gm3435|Gm3417|Gm3448	1.47183498441096e-05
ILMN_2752940	Dhcr24	1.5702683245502e-05
ILMN_1234086	Dhdh	1.7385780257341e-05
ILMN_2690575	Pcbd1	1.95589781263876e-05
ILMN_3154007	Copg1	2.04074954054508e-05
ILMN_2589256	Adap2	2.04146540495662e-05
ILMN_2660175	Fbxo6	2.04850455437883e-05
ILMN_3099741	Armc9	2.06735855561089e-05
ILMN_3035795	Mllt3	2.17847026277198e-05
ILMN_3098927	Senp7	2.2116664917414e-05
ILMN_1236613	Rictor	2.26452445207828e-05
ILMN_2621122	Ube2q2	2.43616654198636e-05
ILMN_2798964	Sec22c	2.43623595422264e-05
ILMN_1224266	Lmln	2.92896907711592e-05
ILMN_2744587	Cib2	3.00398295024177e-05
ILMN_3066293	Fancc	3.04320515247065e-05
ILMN_2716146	Chga	3.09440817109698e-05
ILMN_2683856	Noxo1	3.19720864844945e-05
ILMN_2659168	Cib2	3.21182303312426e-05
ILMN_1219223	Pou3f2	3.26074940580432e-05
ILMN_2755519	Mrpl54	3.26224287616219e-05
ILMN_2971314		3.3259379416279e-05
ILMN_2669172	Parpbp	3.52044517819337e-05
ILMN_1251390	Tbxas1	3.58127423408075e-05
ILMN_2924216	Pdxk	3.76477638388724e-05
ILMN_2741231	Tenm3	3.87990156297909e-05
ILMN_1248184	Senp1	3.97716176418238e-05
ILMN_2988212		4.04656099096509e-05
ILMN_3154581	Gngt2	4.06695142636425e-05
ILMN_1225730	Fdps	4.1317361173454e-05
ILMN_2795698	Paox	4.45923967107468e-05
ILMN_1222196	Riiad1	4.87496520925595e-05
ILMN_2811018	Xylt2	5.02436363793544e-05
ILMN_3153225	Pomgnt2	5.0524810547141e-05
ILMN_2947105	Tomt	5.17362242810586e-05
ILMN_3030392	Spata24	5.33404180496597e-05
ILMN_2606973	Tmem201	5.46436075104389e-05
ILMN_1229964	Gstz1	5.71114428488656e-05
ILMN_2766455	Lrrc8d	5.78586878053803e-05
ILMN_3067046	Vax1	5.81628597064326e-05
ILMN_2918927	Dusp3	5.98997633130549e-05
ILMN_1217812	Klhdc9	6.15256349083013e-05
ILMN_1259256	Map3k9	6.24967056344266e-05
ILMN_2713004	Miga1	6.26075487496001e-05
ILMN_2639373	Mrpl17	6.31575513126802e-05
ILMN_2914843	Psmb10	6.52819186597916e-05
ILMN_2886872	Ccdc96	6.58592970259587e-05
ILMN_1227999	Ache	6.62918466246555e-05
ILMN_2660409	Ubxn11	6.71531936271484e-05
ILMN_2710139	Ppargc1a	6.7433702427725e-05
ILMN_1259442	Hmgxb4	6.8727418011593e-05
ILMN_2626864	Pcif1	7.12196710999178e-05
ILMN_1230853	Cfb	7.13044423781925e-05
ILMN_2845391	N6amt1	7.47476534679353e-05
ILMN_3162068	Pou3f4	7.56918403044271e-05
ILMN_2427869	Spata24	7.58161785583489e-05
ILMN_2832228		7.90257325224972e-05
ILMN_1224736	Zmiz1	8.33470004414242e-05
ILMN_2726905	Gnb4	8.38122066772049e-05
ILMN_2780322	Tkt	8.45621662386229e-05
