ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
ILMN_3047030	6.2834781715354e-10	1.61466538573945e-05	-2.16140443542108	-10.0972629084649	Il20rb	interleukin 20 receptor beta	0.999999999685826	3.1417390857677e-10	0.999999999685826	8.07332692869726e-06
ILMN_2721357	3.06887698811173e-07	0.00394304659817536	-0.856026344490565	-7.10397918182074	Lhfpl2	lipoma HMGIC fusion partner-like 2	0.999999846556151	1.53443849405587e-07	0.999999999685826	0.00197152329908768
ILMN_2874491	5.18172298832631e-07	0.0044384911877007	-0.801658204098246	-6.8742423313148	Tnip2	TNFAIP3 interacting protein 2	0.999999740913851	2.59086149416315e-07	0.999999999685826	0.00221924559385035
ILMN_2790113	7.95664755650063e-07	0.00448670029821636	-0.589485050436256	-6.68830612182166	Mrpl57	mitochondrial ribosomal protein L57	0.999999602167622	3.97832377825031e-07	0.999999999685826	0.0025237689177467
ILMN_2712900	1.01166231356887e-06	0.00448670029821636	0.787874499745404	6.58498650383263	Sars	seryl-aminoacyl-tRNA synthetase	5.05831156784433e-07	0.999999494168843	0.010519013504097	0.999999494168843
ILMN_2598766	1.14855345218898e-06	0.00448670029821636	-1.50564126239432	-6.53061760424791	Prox1	prospero homeobox 1	0.999999425723274	5.74276726094492e-07	0.999999999685826	0.0025237689177467
ILMN_2724339	1.25027759093643e-06	0.00448670029821636	-0.511571715041914	-6.49434702183492	Dtna	dystrobrevin alpha	0.999999374861204	6.25138795468215e-07	0.999999999685826	0.0025237689177467
ILMN_2920736	1.44924481374028e-06	0.00448670029821636	-0.88671388549675	-6.43138938872914	Bbc3	BCL2 binding component 3	0.999999275377593	7.24622406870138e-07	0.999999999685826	0.0025237689177467
ILMN_2648006	1.57140143534059e-06	0.00448670029821636	-1.38311254203419	-6.39697437570704	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	0.999999214299282	7.85700717670297e-07	0.999999999685826	0.0025237689177467
ILMN_1255556	2.09897319031901e-06	0.00539373140716275	0.44858673526515	6.27434740081189	Pink1	PTEN induced putative kinase 1	1.0494865951595e-06	0.999998950513405	0.010519013504097	0.999999494168843
ILMN_1236175	2.48539168385855e-06	0.00580610091819211	0.582371819277805	6.20310202805637	Tubb4a	tubulin, beta 4A class IVA	1.24269584192928e-06	0.999998757304158	0.010519013504097	0.999999494168843
ILMN_2710665	3.38609149366348e-06	0.00687091909326481	-1.85822960304883	-6.07333605451586	Kctd4	potassium channel tetramerisation domain containing 4	0.999998306954253	1.69304574683174e-06	0.999999999685826	0.00446609741062213
ILMN_2668289	3.47596794226729e-06	0.00687091909326481	-0.630984642571901	-6.06237897552656	N6amt1	N-6 adenine-specific DNA methyltransferase 1 (putative)	0.999998262016029	1.73798397113364e-06	0.999999999685826	0.00446609741062213
ILMN_2606579	4.06490259574339e-06	0.00688253013036126	0.433597629238061	5.99702629115853	Tecr	trans-2,3-enoyl-CoA reductase	2.0324512978717e-06	0.999997967548702	0.010519013504097	0.999999494168843
ILMN_2648669	4.91020048782474e-06	0.00688253013036126	-1.31432001320411	-5.91839213247075	Gpnmb	glycoprotein (transmembrane) nmb	0.999997544899756	2.45510024391237e-06	0.999999999685826	0.00485825656260795
ILMN_2683586	4.97102330645531e-06	0.00688253013036126	0.620589264399302	5.91327736693041	Capn2	calpain 2	2.48551165322765e-06	0.999997514488347	0.010519013504097	0.999999494168843
ILMN_2667889	5.01508494955687e-06	0.00688253013036126	-0.568727299305592	-5.90961172471291	Atf6b	activating transcription factor 6 beta	0.999997492457525	2.50754247477843e-06	0.999999999685826	0.00485825656260795
ILMN_3163577	5.12301202142808e-06	0.00688253013036126	-1.30125693604336	-5.900769587806	Scn3b	sodium channel, voltage-gated, type III, beta	0.999997438493989	2.56150601071404e-06	0.999999999685826	0.00485825656260795
ILMN_3151149	5.64330430833926e-06	0.00688253013036126	-0.915224394370181	-5.86064275784636	Cpne8	copine VIII	0.999997178347846	2.82165215416963e-06	0.999999999685826	0.00485825656260795
ILMN_1218384	6.04880791700511e-06	0.00688253013036126	1.00455177571853	5.83189755449758	Nfic	nuclear factor I/C	3.02440395850256e-06	0.999996975596042	0.010519013504097	0.999999494168843
ILMN_2698843	6.09199761689327e-06	0.00688253013036126	-0.678821276553934	-5.82895219313737	Dcakd	dephospho-CoA kinase domain containing	0.999996954001192	3.04599880844663e-06	0.999999999685826	0.00485825656260795
ILMN_1220617	6.29689015578081e-06	0.00688253013036126	1.3432176597084	5.8152626576866	Hr	hairless	3.1484450778904e-06	0.999996851554922	0.010519013504097	0.999999494168843
ILMN_1248802	6.32775033794387e-06	0.00688253013036126	-1.35042409315327	-5.81324012525511	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	0.999996836124831	3.16387516897193e-06	0.999999999685826	0.00485825656260795
ILMN_2648012	6.42801584343193e-06	0.00688253013036126	-1.42045089100401	-5.80673743103998	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	0.999996785992078	3.21400792171597e-06	0.999999999685826	0.00485825656260795
ILMN_1233857	8.15589470370093e-06	0.00838328104804011	-1.21746576822154	-5.7084705121234	Mcm6	minichromosome maintenance complex component 6	0.999995922052648	4.07794735185046e-06	0.999999999685826	0.00582172295002785
ILMN_1237725	8.86846687943577e-06	0.00840557062664726	-1.52528084125398	-5.67398777440382	Arsj	arylsulfatase J	0.99999556576656	4.43423343971788e-06	0.999999999685826	0.00599718403686476
ILMN_2947568	9.72547396274509e-06	0.00840557062664726	0.886508179469812	5.63606410531008	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	4.86273698137254e-06	0.999995137263019	0.010519013504097	0.999999494168843
ILMN_2883907	9.82382856986419e-06	0.00840557062664726	-0.766044079026583	-5.63193065372682	Lsm8	LSM8 homolog, U6 small nuclear RNA associated	0.999995088085715	4.9119142849321e-06	0.999999999685826	0.00601603155896399
ILMN_2737302	9.83279470274692e-06	0.00840557062664726	-0.996924974567178	-5.63155593493701	Cxcl12	chemokine (C-X-C motif) ligand 12	0.999995083602649	4.91639735137346e-06	0.999999999685826	0.00601603155896399
ILMN_1252730	1.05604373101675e-05	0.00840557062664726	0.859415106662823	5.60224791955191	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	5.28021865508373e-06	0.999994719781345	0.010519013504097	0.999999494168843
ILMN_2922728	1.07246279450019e-05	0.00840557062664726	-1.01475572108847	-5.5959184580399	Rwdd3	RWD domain containing 3	0.999994637686027	5.36231397250096e-06	0.999999999685826	0.00626342646142533
