#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223803; Statistic: 6.07194921713142; Expected: 3.99267108315257; Std.dev: 0.652239799587164; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698316; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAS10
#  DE genes: 3, up: 3, down: 0
ProbeName	GeneSymbols	up
ILMN_2644350	Thy1	7.43081439052922e-11
ILMN_2512976	Wnt2b	1.44438574440165e-07
ILMN_2679469	Spata17	5.29728575448515e-06
ILMN_2589871	Cd28	1.06335633753761e-05
ILMN_2919869	Olfr1436	2.21261772634918e-05
ILMN_1253830	Ppp1r1c	2.59318173447362e-05
ILMN_1215224	Pcdhga5	2.66470259075628e-05
ILMN_2976477	Olfr1247	3.29978592554009e-05
ILMN_2471317	Ttc16	6.77987643294992e-05
ILMN_2794628	Fbxl12os	8.03619875538516e-05
ILMN_1229223	Rasl2-9	8.82522456887559e-05
ILMN_2660698	Fmn1	0.000198504031580242
ILMN_2598022	Ghrl	0.000208091154322768
ILMN_2971177	Hmcn2	0.00023616663318278
ILMN_1233362	Map7d1	0.000256830633182899
ILMN_2646606	St8sia6	0.000263305525518201
ILMN_3071191	Ptprg	0.000290260983316786
ILMN_1232797	Olfr920	0.000318130407781716
ILMN_2747580		0.000409160721458362
ILMN_2788073	Hmox1	0.000432413629201279
ILMN_3160282	Olfr605	0.000447133213866826
ILMN_2647909	Olfr733|Olfr732	0.000472162220055402
ILMN_2720083	Bace2	0.000472187380815109
ILMN_1242308	Tcf7	0.000484412858786948
ILMN_3108560	Slc2a9	0.000505543924751495
ILMN_2897328	Zfp777	0.000521703010880769
ILMN_2900862	Opn5	0.000549601446793592
ILMN_3143842	Syce1l	0.000562117163497062
ILMN_2803967	Serpinb6e	0.00059239232127811
ILMN_2796834	Olfr165	0.000592720505857149
ILMN_2653457	Mtmr7	0.000614700344694494
ILMN_2766559	Sncaip	0.000631972708494668
ILMN_3076397	Rab43	0.000686886123253398
ILMN_2706948	Opn1mw	0.000695714904614925
ILMN_2461853	Zfp513	0.00075754788135381
ILMN_2840101	Olfr598|Olfr597	0.000788827955313235
ILMN_1223954	Tnfsf14	0.0008015931253111
ILMN_2791459	Ifng	0.000841248384276205
ILMN_2659680	Serpina1b|Serpina1a	0.000869038414061152
ILMN_3151642	Myocd	0.000901418873184273
ILMN_2682522	Stk26	0.000912842285324779
ILMN_2478670	Zp3	0.00092096868607762
ILMN_2671855	Sfswap	0.00102042001204379
ILMN_2690423	Cars	0.00104422295893893
ILMN_2940417	Trim6	0.00105046674116171
ILMN_3122124	Rreb1	0.00105853830019979
ILMN_2735547	Ms4a4d	0.00106500090164118
ILMN_2706477	Tfap4	0.0010717761682493
ILMN_2653020	Mrpl51	0.00107244177270396
ILMN_1217813	Adh5	0.00110037031007409
ILMN_3050926	Gprc5c	0.00111676752758969
ILMN_1256281	Gtpbp8	0.00114672505579992
ILMN_2422676	Zp1	0.00115684165596526
ILMN_3063340	Ibsp	0.00119712595406298
ILMN_1231246	Klf12	0.00121513085695013
ILMN_2621812	Myog	0.00125705268940146
ILMN_2729817	Fev	0.0012981539487249
ILMN_1229628	Olfr157	0.00133862503035542
ILMN_2831799	Bace2	0.00142003818967473
ILMN_2982525	Olfr1056	0.00148854813749808
ILMN_1226930	Olfr1370	0.00150830019266846
ILMN_2724222	Olfr403|Olfr43	0.00157572695284204
ILMN_2919402	Pabpc4|Gm5088	0.00158063445519929
ILMN_2901387	Tm4sf4	0.00165291299418025
ILMN_2992653	Msh5	0.00165516858567153
ILMN_1236717	Srms	0.00168793119348837
ILMN_2613803	1700034O15Rik	0.0017195832586918
ILMN_1248706	Chl1	0.00173426755194183
ILMN_2747037	Dkk1	0.00176368324905114
ILMN_1252517	Cpb2	0.00176849652127922
ILMN_2711978	Tead4	0.00190308785263272
ILMN_2641816	Slurp1	0.00193937283556798
ILMN_1221657	Brca1	0.002022579223247
ILMN_1228264	Slc25a31	0.00203284608026289
ILMN_2913026	Olfr961|Olfr963|Olfr960	0.00206380006339596
ILMN_2474887	Nelfa	0.00207394465717305
ILMN_2602387	Nr1d2	0.00211790931457051
ILMN_2730463	Cdt1	0.00211923216388587
ILMN_1258106	Elovl7	0.00216201748248323
ILMN_1229969	Pafah1b2	0.00217659285783833
ILMN_3001106		0.00224475462189362
ILMN_1236929	Ifna12	0.00234848948787585
ILMN_2679993	Olfr1341	0.00248907012396774
ILMN_2625504	Ccr1l1	0.00251301526351232
ILMN_1256376	Madd	0.0026521496318966
ILMN_2944824	Hp	0.00271585470153909
ILMN_2862386	Rhod	0.00276446034342384
ILMN_3125634	Kcnk6	0.00276734168987504
ILMN_2913980	Fn3krp	0.00279933541473674
ILMN_1225730	Fdps	0.0028758885085234
ILMN_2716039	Abca7	0.00289393357084639
ILMN_2868480		0.0029096367180184
ILMN_2651234	Col7a1	0.00291578275780933
ILMN_2617735	Nags	0.00292489597775792
