#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223803; Statistic: 6.07194921713142; Expected: 3.99267108315257; Std.dev: 0.652239799587164; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698316; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TPM
#  DE genes: 0, up: 0, down: 0
ProbeName	GeneSymbols	up
ILMN_3079236	Mdk	2.82703672684467e-05
ILMN_2788073	Hmox1	6.02042317854072e-05
ILMN_1239330	Rwdd2b	7.16941295076525e-05
ILMN_2712075	Lcn2	7.61829353389298e-05
ILMN_1237273	Col25a1	0.000103047860831062
ILMN_3015589	Hoxa13	0.000150491325509593
ILMN_2699175	Mok	0.000153154062790272
ILMN_2799368	Gtpbp8	0.000157978704698674
ILMN_2977056	Tnni1	0.000179074633239883
ILMN_2639744	Pacsin3	0.000192196230034807
ILMN_2726543	Pdgfb	0.000296659041924031
ILMN_1237954	Ttll6	0.000310779520862289
ILMN_1234152	Nxt1	0.000396239954393993
ILMN_1215724	Adra2b	0.000399187643298896
ILMN_1259590	Nkain3	0.00040531306442097
ILMN_2931973	Ttc24	0.000508541716426022
ILMN_2503129	Cd40	0.000544426656726286
ILMN_1214790	Dmrtc2	0.000683753044553928
ILMN_2725429	Lsm10	0.00087079663347783
ILMN_2631161	Fcgr4	0.00102554328729418
ILMN_2632536	1700029I15Rik	0.00108298540173288
ILMN_3008230	Ccdc9	0.00110158893905716
ILMN_2826304	Fabp6	0.00110595374698079
ILMN_1212791	Mmab	0.00111109940594949
ILMN_1223067	Vav2	0.00115118912077368
ILMN_1216950	Szrd1	0.00121312746044336
ILMN_2707063	Tm9sf3	0.00123234547877001
ILMN_3152717		0.00130016616725855
ILMN_2924969	Gm1943|Wdr70	0.00130445293594819
ILMN_2952650	Klrb1c	0.00133789916610029
ILMN_2822850	Serpinh1	0.00140150684856077
ILMN_1234223	Pld4	0.00142788352460907
ILMN_2858548	Spint5	0.00142957099976087
ILMN_2694110	1700016K19Rik	0.00146373006182791
ILMN_3037580	Rbms2	0.00154204813296127
ILMN_2998230	Galns	0.00158054903111756
ILMN_1256281	Gtpbp8	0.00164972116641349
ILMN_1250611	Olfr435	0.00167164005396663
ILMN_1237028	Edem2	0.0016818982862291
ILMN_1221904	Uimc1	0.00174709879849067
ILMN_2944301	Ece2	0.00177740611089723
ILMN_2676136	Reep2	0.00182387237334048
ILMN_2868480		0.00191002703708168
ILMN_1251492	Krt75	0.00191380848334282
ILMN_2612096	Zc3hc1	0.00194838917263313
ILMN_2881620	Nfe2	0.00196493486153998
ILMN_1246517	Klra17	0.00197798172123202
ILMN_2693858	Tmem254b|Tmem254c|Tmem254a	0.00208646684393812
ILMN_2709270	Iffo1	0.00216720162771593
ILMN_2665087	Klf1	0.0021844624118106
ILMN_2829250	Serpinb8	0.00218735146689644
ILMN_2858587	Calcoco2	0.00223570802567915
ILMN_1213101	Lig1	0.00231301549816558
ILMN_1224479		0.00236996499548877
ILMN_1219038	Mill1	0.00239559774806913
ILMN_1226530	Ston2	0.00243729393286144
ILMN_2800840	Clca4c-ps	0.00253314201354956
ILMN_1213354	Asxl2	0.00256873355891811
ILMN_2509918	Tspan6	0.00258327145099575
ILMN_2482138	Pklr	0.0026086101278666
ILMN_2622050	Olfr851	0.00264440823747241
ILMN_1259379	Pdzd11	0.00273348401927729
ILMN_1220545	Mutyh	0.00277251577461846
ILMN_2761879	Wdr45b	0.00278358879757943
ILMN_1245983	Rag2	0.0027916325710572
ILMN_1224142	Tmem177	0.00283182035219169
ILMN_2946653	Klk1b11|Klk1b22	0.00283890537280378
ILMN_1230244	Klhl15	0.0028628389136696
ILMN_1232208	Copz2	0.00287109919672163
ILMN_2754054	9130401M01Rik	0.00296024481551177
ILMN_2873180	Smim8	0.00296623765471537
ILMN_2634670	Mep1b	0.00301442723683664
ILMN_2929813	Olfr381	0.00303861269080976
ILMN_3102376	Fcgr2b	0.0030590008316419
ILMN_2943057	Arl5c	0.00310819083390218
ILMN_2740285	Fancl	0.00310927222582289
ILMN_2871881	Uqcr11	0.00315911397464118
ILMN_3162839	Rufy4	0.00330404217692965
ILMN_2656777	Scn7a	0.00348348086801532
ILMN_1217493	Efna4	0.00350267265626513
ILMN_2739033	Edf1	0.00353025477866108
ILMN_2916607	Ttc21a	0.00364894249741211
ILMN_1236522	Cbr1	0.00365467092237892
ILMN_1224980	Fam173b	0.00371540171777292
ILMN_2935579	Vax2	0.00375704744322738
ILMN_1212949	Ncstn	0.00377285683558705
ILMN_1223230	Gstp2|Gstp1	0.00379465713758885
ILMN_2615207	Eci1	0.003873142908812
ILMN_2883561	Surf1	0.00391957403813151
ILMN_1233989	Cks1b|Cks1brt	0.00394405689979259
ILMN_1222503	Alg5	0.00397737447757838
ILMN_1252644	Olfr1154|Olfr1160	0.00398567879472671
ILMN_2991272	Aqp3	0.00401164308248744
ILMN_1227972	Rps16	0.00403811398675963
ILMN_2693946	Olfr1347	0.00412277892518635
ILMN_2624647	Rab24	0.00421810680502397
ILMN_3050077	Hnrnpa1	0.00424821604978505
ILMN_2662124	Cops5	0.00436967571158476
ILMN_1230056	Ube2j2|Gm5801	0.0043858849133218
ILMN_2593476	Dppa4	0.00440539292939353
ILMN_2939012	Zfas1	0.00441805309841072
ILMN_2888766	4930453N24Rik	0.00443347961127361
ILMN_3096212	Mgat5	0.00445483392446117
ILMN_2798839	Tas2r126	0.00446598219000174
ILMN_2588911	Map3k4	0.00451253989527995
ILMN_3150159	Dbi	0.00462477522048108
ILMN_1217013	Evx2	0.00464194983738303
ILMN_3120014	Sri	0.00465094749176592
ILMN_2987107	Fam162a	0.00465478798899149
ILMN_2611648	Mrpl16	0.00465864447545651
ILMN_1259252	Anxa1	0.00469470834930811
ILMN_2753931	Rnf183	0.00471944767160031
ILMN_1221822	Rbm12	0.00475223329903454
ILMN_2687621	Hoxb8	0.00478918043932451
ILMN_2445789	Tnfrsf9	0.00482904923599258
ILMN_2658501	Ifitm3	0.004873522310821
ILMN_1238777	Pnmt	0.00487548483095463
ILMN_1226849	Odf2	0.00488337204508925
ILMN_1217072	Cyp4a12a|Cyp4a12b	0.00503801336642923
ILMN_2599764	Olfr323	0.00514149299374487
ILMN_1255496	3110040N11Rik	0.00517050067699097
ILMN_2679428	Sdhaf4	0.00532986878602969
ILMN_2895862	Psmb6	0.00533641669823313
ILMN_2895991	Mpc2	0.00541043988649555
ILMN_2959292	Upp1	0.00541959205123142
ILMN_2890895	Adam30	0.00544636630614025
ILMN_2613469	Psmb5	0.0054653762517814
ILMN_2724530	Pmm2	0.00553762746458795
ILMN_2590185	Mrpl55	0.0056724862502202
ILMN_2940661	Olfr1219	0.00567888149184223
ILMN_2743013	Ncf4	0.00575820123962709
ILMN_2747897	Ndufs3	0.00576237750022306
ILMN_2942000	Oard1	0.00577230360458339
ILMN_2656071	Tmem179b	0.0058790631428804
ILMN_2663258	Clec7a	0.0059610035956457
ILMN_2720925	Tctex1d2	0.00599009955748603
ILMN_2712129	Tacc2	0.00599190057967022
ILMN_2881155	Gal3st4	0.00607408872322048
ILMN_2921497	B020004J07Rik	0.0062246161177668
ILMN_2668509	Hp	0.00624548140080368
ILMN_2755434	Zwilch	0.00626336660373334
ILMN_2615204	Ehmt2	0.00633351512644165
ILMN_1214517	Fam229b	0.00644195431873101
ILMN_2774950	Tssk2	0.00646267834259289
ILMN_1248618	Coa5	0.00657983180502673
ILMN_2721856	Olfr170|Olfr171	0.00658628604652213
ILMN_3041584	Cuta	0.00659586405391622
ILMN_2927112	Olfr190|Olfr192	0.00662414450400453
ILMN_2999505	Tert	0.00669119039467139
ILMN_2876973		0.00669598009820429
ILMN_1254786	Ech1	0.00670048325336013
ILMN_2664841	Gltpd2	0.00671000567013974
ILMN_2698637	Fibin	0.00672796164475222
ILMN_3129762	Dyrk1b	0.00674721180386437
ILMN_1213231	Ccdc12	0.00675237687417851
ILMN_1260001	Tigar	0.00680315025167967
ILMN_1237948	Tes	0.00680679039952417
ILMN_1252154	Olfr1349	0.00685550417898545
ILMN_2800549	Olfr308	0.00689861072848184
ILMN_2741746	Spire1	0.00691308731738418
ILMN_3111326	Lipe	0.00692751947486461
ILMN_3002745	Vkorc1	0.00693872135761069
ILMN_2761215	Csnk2b	0.00697496946699531
ILMN_2889426	Dsg4	0.00699797902442635
ILMN_2710905	S100a8	0.00701725519840247
ILMN_1215824	Sec22a	0.00709991785974204
ILMN_2709729	Ltb4r2	0.00710105113098748
ILMN_1222824	Pim2	0.0071011561943377
ILMN_2779746	Srp9	0.007208568357508
ILMN_2603182	Tfam	0.00722598546977934
ILMN_2945400	Usp39	0.00723159604457889
ILMN_3003242	Mpv17	0.0072946333261253
ILMN_2919786	Erh	0.00732130626887295
ILMN_2860656	Pard3b	0.00735474061202765
ILMN_2596666	BC048403	0.00737679070453487
ILMN_2722678	Grcc10	0.00742048798002276
ILMN_2895130	Fbxw20	0.00747222691991701
ILMN_1243370	Cyb5r1	0.00754092083781397
ILMN_2930660		0.0075505012128621
ILMN_1254417	Iqcd	0.00755657189860711
ILMN_2805207	Rbm8a	0.00761837034796447
ILMN_1245571	Gpha2	0.00763155498668026
ILMN_2654896		0.00764651896033247
ILMN_2943476	Lcmt1	0.00765883787995311
ILMN_1254393	Klra13-ps|Klra4|Klra12|Klra18|Klra23|Klra10|Klra15	0.00768527821147318
ILMN_3160759	Olfr675|Olfr671	0.00768613701054888
ILMN_2737878	Cab39	0.007713344450983
ILMN_1213549	Creb3l4	0.00772259619804981
ILMN_1236417	Zbtb14	0.00772427610585777
ILMN_2846059	Taar3	0.007812034813989
ILMN_1253659	Lamb1	0.00785842438559307
ILMN_2671160	Mrgprh	0.00786325415267037
ILMN_1231814	Ccl5	0.00791150646509266
ILMN_2593187	Egfl8	0.00795387234720831
ILMN_1253972	Irak3	0.00801941037008146
ILMN_2472451	Traf4	0.00814337940267646
ILMN_1240149	Vps36	0.0082681592769227
ILMN_1227208	Iars	0.00831538742728172
ILMN_1233793	Cct7	0.00836802855711487
ILMN_2850233	Elf3	0.00838381094062457
ILMN_2712120	S100a6	0.00840323421364802
ILMN_2659916	Olfr1420	0.00846020033682757
ILMN_2789900	Cd177	0.0084638458335342
ILMN_2600537	Sri	0.00848840655609724
ILMN_1245680	Foxk1	0.00852137857607978
ILMN_2859902		0.00853590328190416
ILMN_1239922	Snrpb	0.00855610486544335
ILMN_1252556	Pcdhga7	0.00857902077147812
ILMN_1247268	Zwilch	0.0086546605348106
ILMN_2636238	Olfr1046	0.0086598187391449
ILMN_2840101	Olfr598|Olfr597	0.00867064780983595
ILMN_2638354	Prdx2	0.00872098385682466
ILMN_2806377	Zfp458	0.00878156736428813
ILMN_1215564	Olfr71	0.00885341243678165
