#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660726201; Statistic: 6.23054602235008; Expected: 3.698500829144; Std.dev: 0.570240520404552; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAU
#  DE genes: 8, up: 5, down: 3
#GSE64398.1_TAU: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_TAU	GeneSymbols
1.45086081900132e-06	Esyt1
4.16872245701696e-06	Nrep
1.45953991903886e-05	Jund
3.35479953364564e-05	Krt222
4.37738948048839e-05	Tmem208
4.497523324844e-05	Aifm3
6.4918852786652e-05	Itfg2
0.000132508850946139	Tnr
0.000154129366150855	Cdkn2c
0.000196359940680983	Akap12
0.000206795082259719	Cdk16
0.000215520350098601	Gpr31b
0.000223154866238383	Whrn
0.000282071959799358	Ddit4l
0.000317022633514626	Tmem88
0.000333140020963542	Slc17a6
0.000395745159367408	Ccdc184
0.000413911649697714	Slc6a11
0.000427993531895241	Abca15
0.000478578203539742	Cog2
0.000566964677667942	Tacc1
0.00057953429564259	Cpa2
0.00071057702550384	Bmpr2
0.000724577134655717	Cchcr1
0.000761379321120654	Tmem229b
0.000810195313922025	Cacna1g
0.000850219773203823	Flii
0.00104997160683198	Trove2
0.00107666815044514	Acaa1b
0.00109554593028523	Galnt15
0.00114617842087308	Plxdc1
0.00121089696455318	Cpne9
0.0012935748793311	Camk2g
0.0014269842434656	Cdc14a
0.00146726060356204	C1galt1
0.00152533765605072	Pvalb
0.0015290994148816	Nfrkb
0.00155514843175916	Kcnk3
0.00168135057383063	Srrm2
0.00171560273846101	Klhdc8a
0.00176403575172188	Ldlrad2
0.00177343217575921	Vsig2
0.00180790986892184	Rnf31
0.00200386714927651	Alpl
0.00200919410203682	Mapk6
0.00201033583976253	Pigt
0.00201897817262799	Tmem56
0.00202797406443154	Coro6
0.00210481955501424	Sclt1
0.00228939348899702	Dpp4
0.00234764130467701	Akt1s1
0.00235354518648628	Lap3
0.00240752424593445	Eif4ebp1
0.00257196543682667	Scrn2
0.00270598894392769	Tcf23
0.00281040103958398	Rec8
0.00281552031970607	Atcay
0.00283238278402969	Spaca4
0.00292702120325564	Slc39a13
0.00306269793889125	Ece1
0.00307083444067837	Hs3st3a1
0.0030897636697101	C130074G19Rik
0.00310567675996668	Gpr153
0.00315646149672357	Lrp5
0.00315990966700252	Urah
0.00317777304346309	Osbpl9
0.00328524626641473	Acot9
0.00332632368504817	Zfpl1
0.00336590234316633	Incenp
0.00340982870896908	Gpr152
0.00344962543580561	Vmn1r222
0.00349381219243334	Rad51d
0.00350012925291029	Ola1
0.00366231165057072	Unk
0.00383032036523216	Ppbp
0.00390319630631241	1700001O22Rik
0.00411275477047697	Tspoap1
0.00413680222719048	Cdkl1
0.00418343222482951	Apbb3
0.00424256889911065	Lce3f
0.00424596776092059	Stox2
0.00424642571222797	Rell1
0.00430725257423792	Fmnl3
0.00430824971565916	Thoc1
0.00435663090098712	Naa60
0.00442058305788254	Olfr1137
0.0044278028100036	Zmat4
0.00454091647365278	Chst5
0.00462127070486794	Rabggta
0.00462611163354249	Chrna4
0.00462632108014214	Trpc3
0.00472902885356863	Hip1r
0.00484019555873958	Fhdc1
0.00486692494010948	Aars2
0.00487729564582247	Zfp385a
0.00491046669354655	Fbxl8
0.00492007347023938	Pcsk1
0.00494303779467968	Cit
0.00500933034684671	Axin2
0.00507045515877728	Lrp2
0.00518422072687245	Cdh7
0.0052308648947837	Xylt2
0.00526853907030684	Gucy2g
0.00536854864786432	Rora
0.0053863027095733	Adcy8
0.00543220897464968	Defb39
0.00557679276208437	Gstt1
0.00558986565147886	Tnnt1
0.00561186461223708	Asb2
0.00568357226259208	Dok5
0.00571146527547222	Olfr1462
0.00573998774267509	Hoxd11
0.0057995910017352	Eqtn
0.00581346192880259	Snw1
0.0058273145349285	Zfp36l2
0.00585912326662256	Vamp1
0.0058917397627449	Mkx
0.00594399467323846	Atp1a2
0.00594852523742224	Il17d
0.00596835005558178	Igtp
0.00600600182833718	Leo1
0.00602792763845756	Sema3f
0.00607155812479736	Olfr464
0.00614495618640866	Nr1h2
0.00614660333345927	Arfgap3
0.00616341611496607	Rph3a
0.00618428356292362	Hrasls
0.00623972178855859	Zfp316
0.00628941375960546	Slc22a8
0.00637700220211246	Tnfaip1
0.00639610767183678	Atg2a
0.00655052492794701	Rab1b
0.00658546772178336	Cox6a2
0.00668595886289965	Gm14092
0.00670991075537898	Fgf23
0.00671330439844626	Dapk2
0.00673070969243456	Cldn5
0.00680166480774917	Ttc7
0.00683348016987504	Col12a1
0.00689757986807049	Vps4a
0.00694375068331097	Fzd2
0.0071177820442582	Oas1e
0.00715371416162813	Fxyd5
0.00715576511248903	Necab3
0.00722078989341051	Pym1
0.00725039262472401	Aox4
0.00728841810690698	Tbx3
0.00732367623936288	Pik3r3
0.0075342987997825	Rgs16
0.00754931029105105	Gstp3
0.00756230761775994	Abra
0.00764841529923508	Trp53i11
0.00765780982080558	Klhl5
0.00769574006824407	Arhgef15
0.0077245459231759	Sacm1l
0.007727188941474	Gga1
0.00776480013848942	Bend6
0.00779474187657341	Neurl4
