#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660726201; Statistic: 6.23054602235008; Expected: 3.698500829144; Std.dev: 0.570240520404552; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 2953, up: 1476, down: 1477
#GSE64398.1_ho_TASTPM: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_ho_TASTPM	GeneSymbols
5.97645574876537e-17	Clec7a
7.89650252391213e-17	C1qa
1.04599545653609e-16	Gpr84
2.62193643778722e-16	C1qc
8.31214009738855e-16	Tlr13
1.34869848276013e-15	Ccl4
2.05587730796346e-15	C1qb
2.23663793564943e-15	Cst7
2.35562587877413e-15	Fcgr4
3.18232176707157e-15	Cd68
3.6912950021232e-15	Tlr2
3.91768552092834e-15	Hexa
3.97947273058833e-15	Arl11
4.67459912003822e-15	Hcar2
6.9302327046064e-15	Man2b1
8.11545844171834e-15	Gpr183
8.33024220454856e-15	Cd14
9.65191902432969e-15	Trem2
1.00090080614562e-14	Ccl3
1.37948801235802e-14	Fcer1g
1.65289474929017e-14	Slc11a1
1.80429205343037e-14	Cnr2
2.27693221094826e-14	Cd84
2.62871169656189e-14	Klhl6
2.65710236167408e-14	Ccl12
2.69876723066044e-14	Olfml3
3.00845185728797e-14	Cd180
3.13196141182208e-14	Ch25h
3.30936231016875e-14	Timp1
4.9764341864396e-14	Samsn1
6.6551235674652e-14	Abi3
7.06537245900322e-14	Slc15a3
7.21398422806529e-14	Cxcl10
9.36139413599695e-14	Gusb
1.12966985426655e-13	H2-Ob
1.15991010204227e-13	Nckap1l
1.16264854411677e-13	Fcgr3
1.31468201453785e-13	Anxa3
1.38967196696195e-13	Ptpn6
1.47267631774483e-13	Nlrc5
1.68233706594864e-13	Fcrls
1.69880912536565e-13	Tyrobp
2.19948236562406e-13	Myo1f
2.25167352352556e-13	Slamf9
2.41572315073481e-13	Hvcn1
2.51109219456434e-13	Vav1
2.5134855258956e-13	Fcgr2b
2.55265549093389e-13	Gfap
2.93610335941163e-13	Grn
2.95296995680433e-13	Tlr6
4.23793008623715e-13	Ly86
4.37190550121509e-13	Tlr7
4.55572916195641e-13	F9
4.72612672738988e-13	Lat2
5.46233945985974e-13	Gpr34
5.7294877159868e-13	Lcn2
6.28382922158438e-13	Tgfbr1
7.10712564120734e-13	Oas2
7.97996101800513e-13	Ly9
8.6816291406357e-13	Tnfsf13b
9.97520088941011e-13	Selplg
1.07867595372983e-12	Glipr2
1.17996970647867e-12	Syngr1
1.70417714296325e-12	Tmem253
2.06010143602297e-12	Haao
2.08895610554818e-12	Laptm5
2.30932314090068e-12	Lcp1
2.38521414071345e-12	Mx2
2.45853556992293e-12	Havcr2
2.5011771057989e-12	Cd86
2.85415598283458e-12	Lgals3bp
3.2773907567607e-12	Casp4
3.72890394555818e-12	Ccl9
4.02866738354141e-12	Lag3
4.49689477188916e-12	Snx20
5.66774374745861e-12	P2ry6
5.79102065308573e-12	Parp14
6.10030901050365e-12	Aspg
6.36844574297396e-12	Csf1r
6.51480353016161e-12	Ctsh
8.20290991240293e-12	Rgs1
8.20785167317731e-12	Unc93b1
1.07632588348064e-11	Osmr
1.20873554384461e-11	Tgfb1
1.2711654484173e-11	Usp18
1.38800946420373e-11	Naip5
1.43136221406594e-11	Cd37
1.52342525500682e-11	Uba7
1.55458765762143e-11	Siglech
1.5620148962717e-11	Kcne1l
1.60505936422479e-11	Ptpn18
1.64740029329462e-11	Capg
1.74868413847987e-11	Hk3
1.79557952697285e-11	Lox
1.94252705307269e-11	Tnfaip8l2
2.08530451052656e-11	Irf5
2.37209893977861e-11	Apbb1ip
2.42796803248293e-11	Ncf4
2.47218451935795e-11	Btk
2.54389702906086e-11	Renbp
2.63144856508183e-11	Wfdc17
3.11899134960062e-11	Csf3r
3.42249573055541e-11	Ctsz
3.90161078491755e-11	H2-Oa
4.00167902965123e-11	Pik3cg
4.01425396384157e-11	Pros1
4.02438963542003e-11	Tnfrsf1a
4.03956147518008e-11	Cyp4f18
4.34465336253801e-11	Rasal3
5.02948636461008e-11	Lgmn
5.1358332748932e-11	Fblim1
5.28037973833572e-11	Arhgdib
5.64554502823662e-11	Arhgap30
5.97811796889952e-11	Cyba
6.77920040432556e-11	Ang
6.90602730941901e-11	Chil1
7.32348784311241e-11	Fermt3
7.45700510015314e-11	Slco2b1
7.65687439478602e-11	Cd52
7.80001358786522e-11	P2ry13
9.00432587606888e-11	Fcgr1
9.0049093764362e-11	Gcnt1
9.2882041420437e-11	Ctse
9.40768280934282e-11	Aif1
9.57192128325355e-11	Was
9.74573433468019e-11	Lyz1
9.88993091371156e-11	Sh3bp2
1.27681151371506e-10	Arhgap9
1.2781384554372e-10	Pld4
1.33404079224298e-10	Pbk
1.39170671741076e-10	Tgfbr2
1.50966588892002e-10	Oasl2
1.64201408599632e-10	Tbxas1
1.87671442913142e-10	Dennd1c
2.40349315884549e-10	Lpxn
2.49927823454953e-10	Fyb
2.66194516746355e-10	Hpgds
2.68298685238888e-10	B2m
2.68740136077818e-10	Themis2
2.71258319311407e-10	Tcirg1
2.90622384044579e-10	Inpp5d
2.9878822331672e-10	Gm8909
3.10389065758929e-10	Lpcat2
