ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
ILMN_1223257	2.83345772095112e-11	7.28113630552811e-07	3.02118088292064	11.1678073028055	Ccl4	chemokine (C-C motif) ligand 4	1.41672886047556e-11	0.999999999985833	3.64056815276405e-07	0.999999999985833
ILMN_2991255	7.02162871779296e-11	9.02173965805629e-07	1.73383023289353	10.6964306686692	Gpr84	G protein-coupled receptor 84	3.51081435889648e-11	0.999999999964892	4.51086982902814e-07	0.999999999985833
ILMN_1253919	1.34828274756443e-09	8.57865352307935e-06	2.61748678030438	9.24945358383581	Ccl3	chemokine (C-C motif) ligand 3	6.74141373782216e-10	0.999999999325859	4.28932676153968e-06	0.999999999985833
ILMN_1220101	1.41382560151208e-09	8.57865352307935e-06	1.31788946515808	9.22722562043652	Gpr183	G protein-coupled receptor 183	7.0691280075604e-10	0.999999999293087	4.28932676153968e-06	0.999999999985833
ILMN_1244891	1.66919358739918e-09	8.57865352307935e-06	2.59982885491444	9.1497081234994	Cst7	cystatin F (leukocystatin)	8.34596793699591e-10	0.999999999165403	4.28932676153968e-06	0.999999999985833
ILMN_2735961	5.11265058225857e-09	2.18128416201614e-05	1.10817328041812	8.63641356650872	Tlr13	toll-like receptor 13	2.55632529112928e-09	0.999999997443675	1.09483151676915e-05	0.999999999985833
ILMN_1239843	6.66003965048913e-09	2.18128416201614e-05	1.36690499600053	8.51744740805996	Clec7a	C-type lectin domain family 7, member a	3.33001982524457e-09	0.99999999666998	1.16665588172613e-05	0.999999999985833
ILMN_2721149	7.26407522575325e-09	2.18128416201614e-05	1.43466242413945	8.47856924937513	Arl11	ADP-ribosylation factor-like 11	3.63203761287663e-09	0.999999996367962	1.16665588172613e-05	0.999999999985833
ILMN_1224540	7.71336813253906e-09	2.18128416201614e-05	-0.836276149619132	-8.45174591219717	Adgrl4	adhesion G protein-coupled receptor L4	0.999999996143316	3.85668406626953e-09	0.999999996143316	6.21173332391574e-05
ILMN_3161805	8.52248752499823e-09	2.18128416201614e-05	1.46169743053763	8.40725516588905	Ccl12	chemokine (C-C motif) ligand 12	4.26124376249912e-09	0.999999995738756	1.21667978849933e-05	0.999999999985833
ILMN_2830686	1.00213134182831e-08	2.18128416201614e-05	-0.48214985942948	-8.33524779123074	Nfrkb	nuclear factor related to kappa B binding protein	0.999999994989343	5.01065670914153e-09	0.999999996143316	6.21173332391574e-05
ILMN_1212695	1.01861734615689e-08	2.18128416201614e-05	1.47523426850608	8.32801220070178	Gpr84	G protein-coupled receptor 84	5.09308673078446e-09	0.999999994906913	1.30877049720968e-05	0.999999999985833
ILMN_3123473	1.45037941952346e-08	2.86695384180726e-05	-0.564034167978157	-8.17206059562867	Aldh18a1	aldehyde dehydrogenase 18 family, member A1	0.999999992748103	7.25189709761732e-09	0.999999996143316	6.21173332391574e-05
ILMN_2663258	1.59029365544624e-08	2.91898400457157e-05	1.27018612552806	8.13165077783083	Clec7a	C-type lectin domain family 7, member a	7.95146827723119e-09	0.999999992048532	1.85753527563645e-05	0.999999999985833
ILMN_2715840	2.91625474577846e-08	4.8784064208147e-05	1.06824978262087	7.86790721512002	C1qc	complement component 1, q subcomponent, C chain	1.45812737288923e-08	0.999999985418726	3.00209625896289e-05	0.999999999985833
ILMN_2644350	3.03749475553704e-08	4.8784064208147e-05	0.804859224759441	7.85033263632562	Thy1	thymus cell antigen 1, theta	1.51874737776852e-08	0.999999984812526	3.00209625896289e-05	0.999999999985833
ILMN_1246194	3.53056275000552e-08	5.33675711687599e-05	1.11656296016777	7.78558215834792	Ifit3|Ifit3b	interferon-induced protein with tetratricopeptide repeats 3|interferon-induced protein with tetratricopeptide repeats 3B	1.76528137500276e-08	0.999999982347186	3.24017396381757e-05	0.999999999985833
ILMN_2757150	3.83394233717166e-08	5.47337867990557e-05	-0.654248931529963	-7.75019746773285	Cdk16	cyclin-dependent kinase 16	0.999999980830288	1.91697116858583e-08	0.999999996143316	0.000123151020297875
ILMN_2776431	5.37868416393622e-08	7.27452878740363e-05	1.03797059082162	7.60561065124522	C1qa	complement component 1, q subcomponent, alpha polypeptide	2.68934208196811e-08	0.999999973106579	4.60720156535563e-05	0.999999999985833
ILMN_2733733	6.13074006535544e-08	7.87708137297194e-05	1.53288394485367	7.55002823386323	Tlr2	toll-like receptor 2	3.06537003267772e-08	0.9999999693463	4.92317585810746e-05	0.999999999985833
ILMN_2689785	7.81139038154383e-08	9.5585380302158e-05	1.29664219932466	7.44758052527695	Cd68	CD68 antigen	3.90569519077192e-08	0.999999960943048	5.90380290101564e-05	0.999999999985833
ILMN_2987709	1.05319872365666e-07	0.000123018398190024	1.46605966508104	7.32199173948727	Slc15a3	solute carrier family 15, member 3	5.26599361828331e-08	0.999999947340064	7.51779100050146e-05	0.999999999985833
ILMN_1224472	1.12209430710615e-07	0.00012536720612916	1.39844140928287	7.295470152541	Ccl4	chemokine (C-C motif) ligand 4	5.61047153553075e-08	0.999999943895285	7.58801510781756e-05	0.999999999985833
ILMN_2928051	1.56832872761551e-07	0.000167922263806399	-0.707287621961887	-7.15594658529734	Rab8a	RAB8A, member RAS oncogene family	0.999999921583564	7.84164363807757e-08	0.999999996143316	0.000403013433135358
ILMN_2992709	1.66783825508173e-07	0.000171433758563341	1.36143055468677	7.13042125845124	Trem2	triggering receptor expressed on myeloid cells 2	8.33919127540865e-08	0.999999916608087	0.000107146099102088	0.999999999985833
ILMN_2731057	1.88466960333653e-07	0.000186270595372842	-0.898472432272095	-7.07980694510912	Psme2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	0.99999990576652	9.42334801668266e-08	0.999999996143316	0.000403586289974491
ILMN_2674884	2.27400225989208e-07	0.000199642977841287	1.06099298531333	7.00229632958716	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	1.13700112994604e-07	0.999999886299887	0.000123778646261598	0.999999999985833
