#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660726201; Statistic: 6.23054602235008; Expected: 3.698500829144; Std.dev: 0.570240520404552; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAS10
#  DE genes: 0, up: 0, down: 0
ProbeName	GeneSymbols	down
ILMN_2700532	Rad51d	4.90445638644228e-06
ILMN_2847332	Mid1ip1	5.61160232051024e-05
ILMN_2731057	Psme2	7.25560833866833e-05
ILMN_2726433	Arhgef10l	8.85141373111285e-05
ILMN_1247436	Olfr195	0.000747096056043122
ILMN_2608184	Il6st	0.000940457792759505
ILMN_1377923	Actb|Lrrc58	0.00139843019631216
ILMN_1221469		0.00147127827703994
ILMN_2533459	Leo1	0.00156518157649075
ILMN_2748966	Tgfb3	0.00165757532619669
ILMN_2956895	Cul4a	0.00174948743494515
ILMN_2663679	Mrpl48	0.00209107167183672
ILMN_2847950	AI837181	0.00230858837217762
ILMN_3133352	Ung	0.00231775338172412
ILMN_2846865	Actb|Lrrc58	0.00234188885013612
ILMN_2710353	Acta2	0.00235814164846367
ILMN_2924030	Eif3f	0.00237678858519979
ILMN_3022911	Kctd14	0.00239025010203492
ILMN_3141048	Selenop	0.00245223824531677
ILMN_2783519	Acadl	0.00246926517712055
ILMN_2588055	Actb|Lrrc58	0.00249432912152537
ILMN_2763867	Rab21	0.00258938385700101
ILMN_2743320	Kat6b	0.00261516201687213
ILMN_2697760	Nkx2-3	0.00272559618722703
ILMN_2681906	Copa	0.00275399068439181
ILMN_2971767	Myd88	0.0027999030385327
ILMN_2869312	Fbxo4	0.00300685575523175
ILMN_2853342	Pacsin2	0.00303186448154006
ILMN_1250704	Rcsd1	0.00330981908558371
ILMN_1215091	Orc3	0.00345223010634576
ILMN_2896601	Icam1	0.00345686017397444
ILMN_2605109	Olfr1212	0.00369609465518201
ILMN_1216233	Sart3	0.00382845390468902
ILMN_2758571	Saa2|Saa1	0.00387199464978368
ILMN_1216226	Cbln2	0.00421222320996511
ILMN_2594149	Sdhc	0.00421262186451019
ILMN_1223667	Snrpb	0.00424060427964146
ILMN_1226800	Cd274	0.00432496451238628
ILMN_1227723	Nudt22	0.00435151610248166
ILMN_1242603		0.00438435354393764
ILMN_2906165		0.00458089934228148
ILMN_2456495	Zfp553	0.00467439671366087
ILMN_1226783	Irak4	0.0046918621019643
ILMN_3102072	Srrm2	0.00473654270606549
ILMN_2806065	Ankrd2	0.00490226881534655
ILMN_2985127	Hist4h4	0.00491630167481696
ILMN_2981935	Nup155	0.00510473057646704
ILMN_2480542	Vamp1	0.0051448745837144
ILMN_2749354	Fam168b	0.00514534522946442
ILMN_3160626	Cideb	0.00520998988196256
ILMN_2820379	Rnf135	0.00522759314738499
ILMN_2682063	Rnf181	0.0053017080582191
ILMN_3059346	D830030K20Rik|Gm2897|Gm3558	0.00531903009459907
ILMN_1234740	Aspa	0.00534478129224349
ILMN_2684093	Rec8	0.00546548697591188
ILMN_2895584	Oaf	0.00547856459687836
ILMN_2732576	Pml	0.00559933996204179
ILMN_2665754	Chst5	0.00571924940005732
ILMN_2859778	Anapc4	0.00573454332004563
ILMN_2427178	Trim41	0.0057406279415141
ILMN_1213632	Pck1	0.00593389904591756
ILMN_1228695	Zfp709	0.00599929242571122
ILMN_1216269	Tulp1	0.00607975672851418
ILMN_2994753	Olfr1137	0.00620434828695988
ILMN_1231910	Rnf128	0.00623150090477314
ILMN_2865473	Tmem81	0.0062401870048011
ILMN_2732090	Clec1a	0.00630719706393038
ILMN_1224182	Ccp110	0.0063152044259043
ILMN_1216089	Acp1	0.00632406876177994
ILMN_2842802	Fam69a|Rpl5	0.00641625363997913
ILMN_2711172	Irgm1	0.00644561898985648
ILMN_1229627	Cox6b2	0.00647881222015291
ILMN_2615854	Ddrgk1	0.00648075262093807
ILMN_1253278	Galnt15	0.00649784274460325
ILMN_2685811	Mpdu1	0.00652730825560598
ILMN_2827701	Alg11	0.0065717254861794
ILMN_2421299	Zfp24	0.00661200814948668
ILMN_1248400	BC005624	0.00678257228030901
ILMN_2792344	Inhbc	0.00691920033807084
ILMN_2920200	Heg1	0.00708673524082313
ILMN_3073563	Nckap5l	0.00718946285781407
ILMN_2860501	Lrrc49	0.00720054446530583
ILMN_2713353	Cabp4	0.00736461071066111
ILMN_3141738	Ttc8	0.00748027369389746
ILMN_2616180	Slc35f6	0.00753978899242961
ILMN_2693839	Tmprss9|Timm13	0.00755798107520478
ILMN_2720652	Hsd17b14	0.00763303119382028
ILMN_2759108	Dcxr	0.00796187014257997
ILMN_2720763	Cmtr2	0.0079636635033384
ILMN_1216566	Cpa2	0.00797856450796436
ILMN_2630769		0.00810779142485046
ILMN_2681057	Acer3	0.00813077392401725
ILMN_2774388	Defb39	0.00817574278672647
ILMN_2874278	Gcgr	0.00820844097846277
ILMN_2939652	Selenbp2|Selenbp1	0.00822560829186111
ILMN_1233351	Ocm	0.00824823117159403
ILMN_3051651	Dnajc10	0.00826630696083958
ILMN_2693706	Ago1	0.00827018574136933
