#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660726201; Statistic: 6.23054602235008; Expected: 3.698500829144; Std.dev: 0.570240520404552; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAU
#  DE genes: 8, up: 5, down: 3
ProbeName	GeneSymbols	down
ILMN_1240994	Esyt1	1.45086081900132e-06
ILMN_2680054	Nrep	4.16872245701696e-06
ILMN_2682788	Jund	1.45953991903886e-05
ILMN_2728021	Krt222	3.35479953364564e-05
ILMN_2853508	Tmem208	4.37738948048839e-05
ILMN_2947901	Aifm3	4.497523324844e-05
ILMN_1252621	Itfg2	6.4918852786652e-05
ILMN_1228366	Cdkn2c	7.70646830754274e-05
ILMN_2598661	Abca15	0.00010699838297381
ILMN_3082031	Whrn	0.000111577433119192
ILMN_1252176	Tnr	0.000132508850946139
ILMN_1217174	Tacc1	0.000141741169416985
ILMN_2624622	Akap12	0.000196359940680983
ILMN_2757150	Cdk16	0.000206795082259719
ILMN_2979721	Gpr31b	0.000215520350098601
ILMN_2929518	Cchcr1	0.000241525711551906
ILMN_1241838	Cacna1g	0.000270065104640675
ILMN_2695819	Ddit4l	0.000282071959799358
ILMN_1216566	Cpa2	0.000289767147821295
ILMN_2822321	Tmem88	0.000317022633514626
ILMN_2922321	Slc17a6	0.000333140020963542
ILMN_2614324	Bmpr2	0.00035528851275192
ILMN_2834294	Tmem229b	0.000380689660560327
ILMN_2488599		0.000391115405784439
ILMN_2732079	Ccdc184	0.000395745159367408
ILMN_2752095	Slc6a11	0.000413911649697714
ILMN_2729870	Srrm2	0.000420337643457658
ILMN_1237463	Cog2	0.000478578203539742
ILMN_2782841		0.000531639715868373
ILMN_3011719	6430706D22Rik|Hjurp	0.000539728219221114
ILMN_1248298	Plxdc1	0.000573089210436538
ILMN_2765196	Camk2g	0.00064678743966555
ILMN_2681776	Mapk6	0.000669731367345607
ILMN_2710086	Coro6	0.000675991354810514
ILMN_2700532	Rad51d	0.000698762438486668
ILMN_2968538		0.000716615682440237
ILMN_2830686	Nfrkb	0.000764549707440799
ILMN_2980063	Flii	0.000850219773203823
ILMN_2649530	Klhdc8a	0.000857801369230504
ILMN_1245518	Vsig2	0.0009056415991326
ILMN_2952466	Trove2	0.00104997160683198
ILMN_2659997	Acaa1b	0.00107666815044514
ILMN_1253278	Galnt15	0.00109554593028523
ILMN_1255211	Cpne9	0.00121089696455318
ILMN_3140107	Cdc14a	0.0014269842434656
ILMN_2668778		0.00143123660662984
ILMN_2599657	Fmnl3	0.00143575085807931
ILMN_2996732	Slc39a13	0.00146351060162782
ILMN_2480542	Vamp1	0.00146478081665564
ILMN_2742667	C1galt1	0.00146726060356204
ILMN_1218223	Pvalb	0.00152533765605072
ILMN_2745993	Ece1	0.00153134896944563
ILMN_2832675	Chrna4	0.00154203721118083
ILMN_2669487	Kcnk3	0.00155514843175916
ILMN_2705743	Ola1	0.00175006462645514
ILMN_2827162	Plxdc1	0.00175802593377145
ILMN_2922672	Ldlrad2	0.00176403575172188
ILMN_2762841	Vsig2	0.00177343217575921
ILMN_2595387	Rnf31	0.00180790986892184
ILMN_1228102	Ppbp	0.00191516018261608
ILMN_2664449	1700001O22Rik	0.0019515981531562
ILMN_2661287	Alpl	0.00200386714927651
ILMN_2635631	Sema3f	0.00200930921281919
ILMN_2868131	Pigt	0.00201033583976253
ILMN_2966162	Tmem56	0.00201897817262799
ILMN_2985484	Sclt1	0.00210481955501424
ILMN_1244030	Naa60	0.00217831545049356
ILMN_2887208	Rab1b	0.00218350830931567
ILMN_2822160		0.00222108972917846
ILMN_1233122	Bglap2|Bglap|Bglap3	0.00226029198361819
ILMN_2615096	Dpp4	0.00228939348899702
ILMN_1217320	Rabggta	0.00231063535243397
ILMN_1214358	Akt1s1	0.00234764130467701
ILMN_2684552	Lap3	0.00235354518648628
ILMN_2967266	Fxyd5	0.00238457138720938
ILMN_2670398	Eif4ebp1	0.00240752424593445
ILMN_1247220	Tbx3	0.00242947270230233
ILMN_1231720	Zfp385a	0.00243864782291124
ILMN_2692341	Scrn2	0.00257196543682667
ILMN_2894943	Gga1	0.002575729647158
ILMN_2764923	Ormdl2|Dnajc14	0.00263395174553397
ILMN_1243741	Rora	0.00268427432393216
ILMN_2658168	Tcf23	0.00270598894392769
ILMN_2694475	Ltbp1	0.00277372247869555
ILMN_2684093	Rec8	0.00281040103958398
ILMN_2629103	Atcay	0.00281552031970607
ILMN_2966218	Spaca4	0.00283238278402969
ILMN_2862280		0.00283350456292023
ILMN_2615071	Dok5	0.00284178613129604
ILMN_1244272	Epb41l3	0.00285748800679856
ILMN_1234471	Cux2	0.00293696493872599
ILMN_3001452	Extl3	0.00296444794097205
ILMN_2844376	Ilvbl	0.00300874353146306
ILMN_2627193	Hs3st3a1	0.00307083444067837
ILMN_3014084	Nr1h2	0.00307247809320433
