#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660726201; Statistic: 6.23054602235008; Expected: 3.698500829144; Std.dev: 0.570240520404552; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TASTPM
#  DE genes: 790, up: 389, down: 401
ProbeName	GeneSymbols	down
ILMN_1224540	Adgrl4	3.85668406626953e-09
ILMN_2830686	Nfrkb	5.01065670914153e-09
ILMN_3123473	Aldh18a1	7.25189709761732e-09
ILMN_2757150	Cdk16	1.91697116858583e-08
ILMN_2928051	Rab8a	7.84164363807757e-08
ILMN_2731057	Psme2	9.42334801668266e-08
ILMN_2597827	Arc	1.56444268652383e-07
ILMN_2647435	Rassf1	1.77608675098979e-07
ILMN_2700982	Pecam1	1.83401396623346e-07
ILMN_2621130	Nyap1	2.22414992108953e-07
ILMN_2618408	Icam2	3.21928834321886e-07
ILMN_1212702	Hba-a2|Hba-a1	4.75089401766464e-07
ILMN_2863903	Rnf25	4.89933288412876e-07
ILMN_2939666	Fzd2	9.23312579246501e-07
ILMN_1252621	Itfg2	9.60674833524195e-07
ILMN_2624622	Akap12	1.02493406746495e-06
ILMN_2953411	Ppp3r1	1.09854602422094e-06
ILMN_1257332	Mkks	1.51579469268549e-06
ILMN_2698738	Lmbr1l	1.90973391130314e-06
ILMN_2907499	Tatdn2	1.9724226781634e-06
ILMN_2435891	Zfp316	2.01691993602925e-06
ILMN_2745433	Ergic1	2.10360924258675e-06
ILMN_2729870	Srrm2	4.46639038144101e-06
ILMN_2646878	Blmh	4.56169066461622e-06
ILMN_2955725	Cort	6.08846449936652e-06
ILMN_2641228	Hspa12b	6.63991432589603e-06
ILMN_2480542	Vamp1	6.67425407937094e-06
ILMN_1246695	Cd3eap	6.67604629822231e-06
ILMN_2972325	Riox1	7.06497974026065e-06
ILMN_2694381	Dnajc7	7.3397300209692e-06
ILMN_1232016	Cbx8	7.7290341137173e-06
ILMN_2846776	Cdkn1a	8.0349542949909e-06
ILMN_2616638	Cnot11	8.49663781831615e-06
ILMN_1226468	Csde1	8.5157071003621e-06
ILMN_2801520	Fzd3	8.54511654663512e-06
ILMN_1232404	Zadh2	8.60465033727788e-06
ILMN_2909634	Trappc3	8.90191776493763e-06
ILMN_2592486	Pglyrp1	9.08126407887037e-06
ILMN_2868131	Pigt	9.38241499123242e-06
ILMN_1245650	Sbds	9.49983540314709e-06
ILMN_2610600	Smarce1	9.89847966817214e-06
ILMN_1252870	Rorb	1.02813656704339e-05
ILMN_2797928	Mustn1	1.19375744022471e-05
ILMN_2639805	Ogdh	1.19865680470003e-05
ILMN_2886468	Fbxo46	1.24942364195197e-05
ILMN_2658908	Cxcl12	1.42493871200505e-05
ILMN_1220170	Tek	1.59915622626892e-05
ILMN_1241293	Cldn5	1.74344042551823e-05
ILMN_1239806	Rpa3	1.75423025430023e-05
ILMN_3104462	Coq10b	1.80730371747908e-05
ILMN_2646001	Rita1	1.81183087591315e-05
ILMN_2979824	Rgs5	1.84685435281835e-05
ILMN_2641278	Mfn2	1.84796102614811e-05
ILMN_2662456	Ppm1l	1.99998518837524e-05
ILMN_2722716	Atp1a2	2.04416623348956e-05
ILMN_2934533	Prpf19	2.06896848358034e-05
ILMN_2690839	Esam	2.17358736763368e-05
ILMN_1226607	Cort	2.19338141210071e-05
ILMN_1219667	Pfdn2	2.21079333355758e-05
ILMN_2622983	Dusp1	2.22284411732693e-05
ILMN_2732079	Ccdc184	2.32799152505494e-05
ILMN_2732747	Unc45b	2.36818260902272e-05
ILMN_2750515	Fos	2.49474383364952e-05
ILMN_2967266	Fxyd5	2.6495121988298e-05
ILMN_2790241	Herpud1	3.14248383983133e-05
ILMN_3121255	Vegfa	3.1498777225861e-05
ILMN_2533459	Leo1	3.2609247486078e-05
ILMN_3082031	Whrn	3.35878561800582e-05
ILMN_2598661	Abca15	3.38071525694288e-05
ILMN_2893187	Gripap1	3.45358517506601e-05
ILMN_2791410	Icmt	3.46208855808304e-05
ILMN_1218057	Zfp316	3.77747892886707e-05
ILMN_2612283	Gata2	3.93604317398157e-05
ILMN_2813487	Per1	4.10374940270501e-05
ILMN_2954265	Rassf1	4.20487663264623e-05
ILMN_2651880	Hira	4.60851866207735e-05
ILMN_2604029	Klf2	4.66946107300297e-05
ILMN_2519789	Zfp101	4.7135976567117e-05
ILMN_2629581	Cox6a2	4.87893161529807e-05
ILMN_2656645	Rell1	5.03341360818247e-05
ILMN_2751247	Urm1	5.40455804085844e-05
ILMN_1216764	Ier3	5.55482833012815e-05
ILMN_2643159	Sirt1	5.58523821745109e-05
ILMN_2764309	Dusp14	6.04040929904844e-05
ILMN_2952466	Trove2	6.16563178679317e-05
ILMN_2677772	Srxn1	6.35795845786272e-05
ILMN_3149143	Entpd5	6.50953664085745e-05
ILMN_3082287	Lrif1	6.59208122773755e-05
ILMN_1228394	Chtop	6.66229142075378e-05
