#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660726201; Statistic: 6.23054602235008; Expected: 3.698500829144; Std.dev: 0.570240520404552; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAU
#  DE genes: 8, up: 5, down: 3
ProbeName	GeneSymbols	up
ILMN_2854117	Zbtb8a	2.38551755000895e-13
ILMN_2854121		3.30723126279407e-07
ILMN_2659063	Add1	3.24937836830097e-06
ILMN_2743503	E2f3	1.11117555064831e-05
ILMN_3113686	Hps5	1.11337882483984e-05
ILMN_2416488	Usp37	1.99597604771329e-05
ILMN_2922178	Sult5a1	2.95666804532796e-05
ILMN_2657857	Mpv17	3.4074731850728e-05
ILMN_2622613	Acot4	0.000109053500263167
ILMN_2701383	Anks3	0.000110143024061835
ILMN_2842554	Olfr564	0.000157596101828746
ILMN_2589266	Mrrf	0.000191417830938343
ILMN_3140473	Kcnq2	0.000339604573147648
ILMN_1223542	Zap70	0.000347942600597569
ILMN_2665133	Timp4	0.000362350019452164
ILMN_2638558	Pes1	0.000478601371021317
ILMN_2784018	Tnfaip8l3	0.000515332378568416
ILMN_1246495	Tmem9b	0.00052982394711897
ILMN_1228924		0.000552512491990597
ILMN_2649067	Irf1	0.000569556596251519
ILMN_2687339	Pfkfb2	0.000597955160539526
ILMN_1223257	Ccl4	0.000620460784822838
ILMN_2696199	Prosc	0.000665500294033132
ILMN_2669326	Muc15	0.000676249047031908
ILMN_2918479	Hspa8	0.000690635464584647
ILMN_2768674	Sap18	0.000709689846332703
ILMN_2615741	Eif3c	0.000766590294346815
ILMN_2806542	Rhox4c|Rhox4g|Rhox4a|Rhox4e|Rhox4f|Rhox4b|Rhox4d	0.000791527261465122
ILMN_3163144		0.000796253008309458
ILMN_2986364	Trim38	0.000798083925501312
ILMN_1215722	Zdhhc13	0.000802719902326977
ILMN_2631939	Bcat1	0.00081490875390366
ILMN_1254231	Uck1	0.000819282807315441
ILMN_2733973	Heatr1	0.000851953116718213
ILMN_2727876	Rpsa	0.000904213142125202
ILMN_1221503	Oraov1|Ccnd1	0.000918343768869772
ILMN_2654720	Ispd	0.000928776991161193
ILMN_2734667	Mtfmt	0.000935563135760739
ILMN_2634235	Nrros	0.000961884058124235
ILMN_2591651	Tfdp2	0.000964572730274734
ILMN_2902392	Vmn1r50	0.000968869121199548
ILMN_1227604	Scn3b	0.00102416380535364
ILMN_1215967	Alg5	0.00102800079082396
ILMN_2677676	Cebpz	0.0010803484156673
ILMN_2428963	Xpnpep1	0.00108330441515602
ILMN_2617843	Slc9a6	0.00114687876348962
ILMN_2880943	Nudt5	0.00118336196349992
ILMN_2936671	Skap2	0.00118568984076536
ILMN_1219703	Myg1	0.00120950864520653
ILMN_3160847	Olfr536|Olfr533|Olfr530	0.00122364871633588
ILMN_2505307	Yme1l1	0.00123504105442179
ILMN_2658219	M6pr	0.00123755271412073
ILMN_2708440	Snx12	0.00132158200455832
ILMN_2639454	Smu1	0.00146600943298229
ILMN_1220284	Psmd7	0.00152426029432775
ILMN_2654197	Tbc1d14	0.00164258118232823
ILMN_2776603	Ccl9	0.00173076248646887
ILMN_2773879	Inpp4a	0.00179469380962992
ILMN_2728189	Gpkow	0.00185049378762343
ILMN_1256544	Phactr3	0.00187430637549727
ILMN_2639491	Oxr1	0.00189027466159347
ILMN_2477870	Vit	0.00195290481765252
ILMN_2426966	Tpm3	0.00198264191666776
ILMN_2726192	Chrdl1	0.00201633844600887
ILMN_1256281	Gtpbp8	0.00203030618005832
ILMN_2749695	Enox1	0.00204662281851045
ILMN_2663555	Asb3	0.00204925693237208
ILMN_2617318	Lrfn5	0.00208988273881286
ILMN_2993843	Stag3	0.00209330128054775
ILMN_2712075	Lcn2	0.00210995794258066
ILMN_2718929		0.00215978832903411
ILMN_3062267	Acot2|Acot1	0.00218612263968315
ILMN_1216302	Gpr85	0.002226754752607
ILMN_1239384	Psmd10	0.00223380524962281
ILMN_3129825	Prosc	0.00226108623105749
ILMN_2914884	Tmem9b	0.00229064872704469
ILMN_2608406	Il22ra2	0.00233904516272611
ILMN_2699700	Arpc1a|Arpc1b	0.00235296862973246
ILMN_2957614	Adss	0.00235650478077664
ILMN_2695528	Tmed4	0.00238443257581439
ILMN_2833786	Chchd2	0.00238670823475431
ILMN_2707198	As3mt	0.00240367817615208
ILMN_2657376	Nipsnap3b	0.00240421967119571
ILMN_1220187	Ppp1cc	0.00242283467647753
ILMN_2758249	Ascc2	0.00244434640798324
ILMN_2725215	Ppp4r4	0.00253879444478056
ILMN_2694785	Spink10	0.00255684469785816
ILMN_1215883	Psd3	0.00257033863044794
ILMN_2630536	Mllt10	0.00260543290969127
ILMN_1252512		0.00260591973384597
ILMN_2428961	Xpnpep1	0.00268345703085027
ILMN_1231116	Acss2	0.00268493240962505
ILMN_2601471	Ccnd1	0.00268829484165187
