# 2018-01-09
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	down_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Crhbp	-0.270482217616471	0.0592556573419161	-4.5646648733595	-0.387521469468949	-0.15344796471591	1.13261298493158e-05	5.66306492465791e-06	0.999994336935075	0.0456537230424866	10856	1	19.2736057896452	1	9.73583141591929	11.6111927464376	8.68842437263584	9.504916193828	-0.270482217616471	-0.270482217616471	-0.270482217616471	-0.270482217616471	NA	F	random_intercept
Irgm2	-0.224795363418653	0.050327550415353	-4.46664623180382	-0.324211298946768	-0.125402743726488	1.68215633907467e-05	8.41078169537335e-06	0.999994336935075	0.0456537230424866	10855	2	18.5190379549553	1	5.90741889279011	8.22881706241123	7.31997433106573	5.36931728984522	-0.224795363418653	-0.224795363418653	-0.224795363418653	-0.224795363418653	NA	F	random_intercept
Svip	-0.108458240628808	0.0262478263593803	-4.13208465889014	-0.160972000719245	-0.0560221379409675	0.000126920758169635	6.34603790848175e-05	0.999994336935075	0.22964195844826	10854	3	14.6869693647495	1	10.5333357296043	NA	10.9188631778887	10.4760327168082	-0.108458240628808	NA	-0.108458240628808	-0.108458240628808	NA	F	random_intercept
Atf6b	-0.141841556766639	0.0373907165612743	-3.79349661657849	-0.215698078660483	-0.0679952265444377	0.000223283822676084	0.000111641911338042	0.999994336935075	0.260821607351456	10853	4	13.6242402472426	1	9.03856255301993	11.1539167057677	8.89777156382586	8.93846670174179	-0.141841556766639	-0.141841556766639	-0.141841556766639	-0.141841556766639	NA	F	random_intercept
Wbp11	-0.162518691776209	0.0432822943683774	-3.75485389921813	-0.248118315093546	-0.0770458383307585	0.000254369853463106	0.000127184926731553	0.999994336935075	0.260821607351456	10852	5	13.3796451279869	1	10.8390759017675	11.6043313645111	11.850208983559	11.6089910614126	-0.162518691776209	-0.162518691776209	-0.162518691776209	-0.162518691776209	NA	F	random_intercept
Matn4	-0.132911816069738	0.0360770871737858	-3.68410607623318	-0.204179281833781	-0.0616635506163079	0.000330184844269724	0.000165092422134862	0.999994336935075	0.260821607351456	10851	6	12.8908930364331	1	7.07717582299689	9.44792220563327	7.4102746207936	7.71459301863963	-0.132911816069738	-0.132911816069738	-0.132911816069738	-0.132911816069738	NA	F	random_intercept
Snhg5	-0.152613929991833	0.0406088861042674	-3.75814125016828	-0.233784106815015	-0.0714289753938105	0.000427718806650374	0.000213859403325187	0.999994336935075	0.260821607351456	10850	7	12.4070377837617	1	8.7180243045661	NA	9.4587804911106	7.58278554642648	-0.152613929991833	NA	-0.152613929991833	-0.152613929991833	NA	F	random_intercept
Tap2	-0.153276148256671	0.0430809361162691	-3.55786484868857	-0.238378664320398	-0.068195846315412	0.000514376092548017	0.000257188046274009	0.999994336935075	0.260821607351456	10849	8	12.0628132913964	1	6.22373196210783	8.55413507608646	6.37825095960567	6.63324950889896	-0.153276148256671	-0.153276148256671	-0.153276148256671	-0.153276148256671	NA	F	random_intercept
Decr1	-0.13388335686404	0.0378778408612498	-3.53460899089967	-0.20868776139781	-0.0590582578640176	0.000560800699797637	0.000280400349898819	0.999994336935075	0.260821607351456	10848	9	11.9017885725275	1	8.2603650114399	7.58374045006551	5.93432005696583	8.11192985106432	-0.13388335686404	-0.13388335686404	-0.13388335686404	-0.13388335686404	NA	F	random_intercept
Gpr68	-0.160563736114371	0.0456021366817758	-3.52096958164107	-0.250628220613717	-0.0704883461681549	0.000586644843329351	0.000293322421664676	0.999994336935075	0.260821607351456	10847	10	11.8178842594065	1	8.35262791376984	9.08368371793671	6.21006567193232	8.3183715873338	-0.160563736114371	-0.160563736114371	-0.160563736114371	-0.160563736114371	NA	F	random_intercept
