# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Thy1	0.262910864267785	0.0443629530135613	5.92636076744972	0.175227325469465	0.350512064002783	2.76757491820324e-08	1.38378745910162e-08	0.000150528399801074	0.999999986162125	1	10878	30.8640060014964	1	13.5121105827814	14.5731908774485	14.2376608874007	13.718650150963	0.262910864267785	0.262910864267785	0.262910864267785	0.262910864267785	NA	F	random_intercept
Ring1	0.175614405150224	0.0359966457767664	4.87863247701741	0.104511983671226	0.246707887666058	3.05632702233407e-06	1.52816351116704e-06	0.00831168133723752	0.999999986162125	2	10877	21.7808678318071	1	7.63632884428323	9.99450792376711	6.83883920108155	8.76056044794736	0.175614405150224	0.175614405150224	0.175614405150224	0.175614405150224	NA	F	random_intercept
Ccdc160	0.188374441301298	0.039146157563359	4.81207998502559	0.110941645914135	0.265793612699686	4.74943254813894e-06	2.37471627406947e-06	0.00861072120977589	0.999999986162125	3	10876	20.9357677222307	1	5.84125494740304	7.34052475135628	NA	5.41883402486827	0.188374441301298	0.188374441301298	NA	0.188374441301298	NA	F	random_intercept
Msmo1	0.184443603045838	0.0402384359603843	4.58376670572949	0.104934285882843	0.263902187131031	1.06481004525317e-05	5.32405022626585e-06	0.01447875459033	0.999999986162125	4	10875	19.3914807395569	1	11.0791112265939	11.4348400059566	11.7929516268622	10.9369713493062	0.184443603045838	0.184443603045838	0.184443603045838	0.184443603045838	NA	F	random_intercept
Sqle	0.188756654150102	0.0422412982240344	4.4685334515288	0.105319788708269	0.272182372489051	1.68045073076669e-05	8.40225365383346e-06	0.0182799430492801	0.999999986162125	5	10874	18.5209715151435	1	10.6101016792074	11.4468910630426	10.2923114687692	10.4851038759357	0.188756654150102	0.188756654150102	0.188756654150102	0.188756654150102	NA	F	random_intercept
Slc29a1	0.163207205411923	0.0392168571083118	4.16165948640825	0.0857342937096523	0.240654624032091	5.67337306705283e-05	2.83668653352641e-05	0.0431183527077768	0.999999986162125	6	10873	16.2086745952813	1	6.30001459084911	8.83559605622727	8.03315695480733	6.65993245591678	0.163207205411923	0.163207205411923	0.163207205411923	0.163207205411923	NA	F	random_intercept
Sox2ot	0.931032713426011	0.214389266806685	4.34272073081682	0.502937891833794	1.36055095452852	6.17983200149816e-05	3.08991600074908e-05	0.0431183527077768	0.999999986162125	7	10872	16.0467281059486	1	7.77597077721225	NA	7.93679558166262	6.4180810618567	0.931032713426011	NA	0.931032713426011	0.931032713426011	NA	F	random_intercept
Gm5617	0.346122330040516	0.0783365482243407	4.41840160035247	0.187367294789368	0.503420915542816	6.34210004894676e-05	3.17105002447338e-05	0.0431183527077768	0.999999986162125	8	10871	15.9976547026144	1	6.67521759442454	NA	6.77540664281813	6.68283212366132	0.346122330040516	NA	0.346122330040516	0.346122330040516	NA	F	random_intercept
Zfp330	0.105799425765878	0.0263978535024678	4.0078798738688	0.0536621208578926	0.157939969354984	0.000101230440398502	5.06152201992508e-05	0.0611769294808278	0.999999986162125	9	10870	15.1136173071563	1	10.4139807602202	10.8919664979316	10.6406372745358	9.35619093536702	0.105799425765878	0.105799425765878	0.105799425765878	0.105799425765878	NA	F	random_intercept
Selenoh	0.165905324692716	0.0420453588885259	3.94586534824396	0.0828614023573181	0.248950429063608	0.000127767937887155	6.38839689435777e-05	0.0694929814168238	0.999999986162125	10	10869	14.6744289657642	1	9.96626344469459	11.6229856375634	9.27233230261905	8.99191968796581	0.165905324692716	0.165905324692716	0.165905324692716	0.165905324692716	NA	F	random_intercept
