# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Thy1	0.297603813919729	0.0466714120944926	6.37657616438065	NA	NA	4.64741965030685e-09	2.32370982515342e-09	2.52773154780189e-05	0.99999999767629	1	10878	34.331732961151	1	13.4824077998282	14.5559435248355	13.6985238662736	0.297603813919729	0.297603813919729	0.297603813919729	NA	NA	random_intercept
Phf21b	0.182617115035659	0.0334338790356885	5.46203791790736	NA	NA	4.46279871428168e-06	2.23139935714084e-06	0.00861072120977589	0.99999999767629	2	10877	21.0550295399505	1	6.03128272076249	NA	5.88465547667884	0.182617115035659	NA	0.182617115035659	NA	NA	random_intercept
Ccdc160	0.188374441301298	0.039146157563359	4.81207998502559	NA	NA	4.74943254813894e-06	2.37471627406947e-06	0.00861072120977589	0.99999999767629	3	10876	20.9357677222307	1	5.84125494740304	7.34052475135628	5.41883402486827	0.188374441301298	0.188374441301298	0.188374441301298	NA	NA	random_intercept
Msmo1	0.203971854395335	0.0453182129720516	4.50088035291964	NA	NA	1.68432145308381e-05	8.42160726541903e-06	0.022902560958307	0.99999999767629	4	10875	18.5165863114246	1	11.0636045605676	11.4212768273642	10.9322016221353	0.203971854395335	0.203971854395335	0.203971854395335	NA	NA	random_intercept
Sqle	0.206836108521349	0.0473027318174147	4.37260387665815	NA	NA	2.78611158330763e-05	1.39305579165381e-05	0.0303073218032204	0.99999999767629	5	10874	17.5584415332015	1	10.5995645841532	11.4379697517398	10.4792701875228	0.206836108521349	0.206836108521349	0.206836108521349	NA	NA	random_intercept
Srgap2	0.216773949500062	0.0470220637988213	4.61004753911919	NA	NA	5.43543324372684e-05	2.71771662186342e-05	0.0492722023543838	0.99999999767629	6	10873	16.2898496350235	1	9.03114350522855	NA	8.81662507003071	0.216773949500062	NA	0.216773949500062	NA	NA	random_intercept
Polr1b	0.179092066457696	0.0388577425128875	4.60891587817534	NA	NA	6.48024118207343e-05	3.24012059103671e-05	0.0502797755721312	0.99999999767629	7	10872	15.9568628726765	1	5.81813458487453	NA	6.6091283274318	0.179092066457696	NA	0.179092066457696	NA	NA	random_intercept
Golga7b	0.175718649495464	0.038517917539268	4.56199765515163	NA	NA	7.39544409959643e-05	3.69772204979822e-05	0.0502797755721312	0.99999999767629	8	10871	15.7068861189284	1	9.41139595146959	NA	10.2008478298459	0.175718649495464	NA	0.175718649495464	NA	NA	random_intercept
Gck	0.280124643691736	0.0695535735282679	4.02746587244562	NA	NA	0.000103337834624482	5.1668917312241e-05	0.0586294978551936	0.99999999767629	9	10870	15.0747226575198	1	5.36749061957047	6.37054859539885	5.1995598370637	0.280124643691736	0.280124643691736	0.280124643691736	NA	NA	random_intercept
Ddx51	0.110418187876806	0.027506791693193	4.01421543844137	NA	NA	0.000107794627422676	5.38973137113381e-05	0.0586294978551936	0.99999999767629	10	10869	14.9950312616071	1	7.90008412080198	9.42127198081452	7.74782123546836	0.110418187876806	0.110418187876806	0.110418187876806	NA	NA	random_intercept
Mmab	0.185885991606748	0.046702928022971	3.9801785343163	NA	NA	0.000122705915217958	6.13529576089788e-05	0.0606724975336792	0.99999999767629	11	10868	14.7506392783714	1	6.5365911621685	9.2501845449263	7.69155089699667	0.185885991606748	0.185885991606748	0.185885991606748	NA	NA	random_intercept
Acat2	0.155586258789678	0.0406592324238092	3.82659114584193	NA	NA	0.000211167636075567	0.000105583818037784	0.091440799875355	0.99999999767629	12	10867	13.729008296929	1	11.3202021798024	9.73167917057766	10.70022220972	0.155586258789678	0.155586258789678	0.155586258789678	NA	NA	random_intercept
Dnah1	0.157324920060121	0.0411851686534409	3.81994113910171	NA	NA	0.000218556793230302	0.000109278396615151	0.091440799875355	0.99999999767629	13	10866	13.6644169363783	1	5.87359937176272	9.18552949811028	6.6999030865602	0.157324920060121	0.157324920060121	0.157324920060121	NA	NA	random_intercept
6330403K07Rik	0.133332320473164	0.0352879550133373	3.77840882031192	NA	NA	0.000256159064215985	0.000128079532107992	0.09951779644791	0.99999999767629	14	10865	13.3664991821876	1	12.3160795004214	13.4093227600542	12.9260587833082	0.133332320473164	0.133332320473164	0.133332320473164	NA	NA	random_intercept
Atp5sl	0.0952132373072717	0.0254873494370548	3.73570572893099	NA	NA	0.000294449833903552	0.000147224916951776	0.102482495726067	0.99999999767629	15	10864	13.1053743256745	1	7.71708543649024	10.4123774008463	8.42844586978128	0.0952132373072717	0.0952132373072717	0.0952132373072717	NA	NA	random_intercept
Phlpp2	0.107958369369379	0.0265149673559444	4.07160106667737	NA	NA	0.000309959074640729	0.000154979537320365	0.102482495726067	0.99999999767629	16	10863	13.0092317859655	1	8.72197655252363	NA	8.97405370465507	0.107958369369379	NA	0.107958369369379	NA	NA	random_intercept
