# 2018-01-09
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	down_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	FE_Gender	Gender	ME_model
2810001G20Rik	-0.460213656596896	0.0806008202177994	-5.70978875094953	NA	NA	1.45033699900898e-06	7.25168499504491e-07	0.999999274831501	0.00787242923062076	10856	1	23.2127350657756	1	8.48711135983491	NA	8.48711135983491	-0.460213656596896	NA	-0.460213656596896	NA	NA	random_intercept
Irgm2	-0.243593826739773	0.054488995789772	-4.47051415077642	NA	NA	1.80513727344983e-05	9.02568636724916e-06	0.999999274831501	0.0420154589010188	10855	2	18.3845714107951	1	5.92533556509546	8.23831603357038	7.33052699668598	-0.243593826739773	-0.243593826739773	-0.243593826739773	NA	NA	random_intercept
Nudt19	-0.130747235302191	0.0296759425582601	-4.4058326048282	NA	NA	2.3221513762538e-05	1.1610756881269e-05	0.999999274831501	0.0420154589010188	10854	3	17.9049598974799	1	11.5040712236226	12.184578129218	11.7716219988271	-0.130747235302191	-0.130747235302191	-0.130747235302191	NA	NA	random_intercept
Crhbp	-0.262328742493802	0.0620394119141867	-4.2284208441024	NA	NA	4.68841565658239e-05	2.3442078282912e-05	0.999999274831501	0.0636218004598231	10853	4	16.5701099392627	1	9.73006273941131	11.6077174509705	8.68336535338649	-0.262328742493802	-0.262328742493802	-0.262328742493802	NA	NA	random_intercept
Arap3	-0.119377784021765	0.0316183771332878	-3.77558226718994	NA	NA	0.000250309946374355	0.000125154973187177	0.999999274831501	0.157163355408887	10852	5	13.4098236449069	1	6.24060025605863	9.55716943874042	7.99637755184344	-0.119377784021765	-0.119377784021765	-0.119377784021765	NA	NA	random_intercept
Acer2	-0.204228991373543	0.0547468197610942	-3.73042657573104	NA	NA	0.000293921992299009	0.000146960996149505	0.999999274831501	0.157163355408887	10851	6	13.108735622597	1	6.24479045258864	8.30146568489943	5.87621651471174	-0.204228991373543	-0.204228991373543	-0.204228991373543	NA	NA	random_intercept
Atf6b	-0.15201544192363	0.0408825453278183	-3.71834582961234	NA	NA	0.000306792984127355	0.000153396492063677	0.999999274831501	0.157163355408887	10850	7	13.0284584452028	1	9.04653788592096	11.1592898249348	8.90310242498257	-0.15201544192363	-0.15201544192363	-0.15201544192363	NA	NA	random_intercept
Pttg1	-0.226782144361	0.0615346869755766	-3.68543589814653	NA	NA	0.000346144858853968	0.000173072429426984	0.999999274831501	0.157163355408887	10849	8	12.8025627645358	1	12.2673959801996	6.72765129523209	11.3936534898789	-0.226782144361	-0.226782144361	-0.226782144361	NA	NA	random_intercept
Gpr68	-0.181341065024202	0.0492099010695357	-3.68505241999895	NA	NA	0.000346404450018288	0.000173202225009144	0.999999274831501	0.157163355408887	10848	9	12.801160256693	1	8.36817293061568	9.09431728331566	6.21914001716769	-0.181341065024202	-0.181341065024202	-0.181341065024202	NA	NA	random_intercept
Tox4	-0.0964482091854277	0.0263053411803812	-3.66648767351323	NA	NA	0.00036758931230624	0.00018379465615312	0.999999274831501	0.157163355408887	10847	10	12.6901371287376	1	9.22600806011066	10.1643287301829	11.1748512058574	-0.0964482091854277	-0.0964482091854277	-0.0964482091854277	NA	NA	random_intercept
