dataset	Timepoint	platform	threshold	method	removed_ratio	prefilter_probes	after_filter_probes
GSE36237	5_months	GPL1261	3.72360826780357	median	0.0592	45101	42432
GSE50521	14-15_months	GPL6096	4.76523386879752	median	0.1638	16743	14000
GSE64398.1	18_months; 2_months; 4_months; 8_months	GPL6885	4.78451680208086	median	0.2362	25697	19628
GSE14499	7_months	GPL1261	3.3931516056313	median	0.1175	45101	39800
GSE14499	7_months	GPL1261	3.3931516056313	median	0.1175	45101	39800
GSE15056	17_months	GPL7202	6.2251855732876	median	0.2151	41267	32392
GSE15056	17_months	GPL7202	6.2251855732876	median	0.2151	41267	32392
GSE1556	12_months	GPL81	6.67244475513834	median	0.1255	12488	10921
GSE1556	12_months	GPL81	6.67244475513834	median	0.1255	12488	10921
GSE36237	5_months	GPL1261	3.72360826780357	median	0.0592	45101	42432
GSE36237	5_months	GPL1261	3.72360826780357	median	0.0592	45101	42432
GSE48622	2_months	GPL1261	3.95574769888084	median	0.1275	45101	39351
GSE48622	2_months	GPL1261	3.95574769888084	median	0.1275	45101	39351
GSE50521	14-15_months	GPL6096	4.76523386879752	median	0.1638	16743	14000
GSE50521	14-15_months	GPL6096	4.76523386879752	median	0.1638	16743	14000
GSE52022	4_months; 8_months	GPL1261	1.54293514554409	median	0.1068	45101	40283
GSE52022	4_months; 8_months	GPL1261	1.54293514554409	median	0.1068	45101	40283
GSE53480	4_months	GPL1261	3.91325570746299	median	0.1461	45101	38510
GSE53480	4_months	GPL1261	3.91325570746299	median	0.1461	45101	38510
GSE63617.1	3_months	GPL7042	5.72552343338957	median	0.0795	41175	37901
GSE63617.1	3_months	GPL7042	5.72552343338957	median	0.0795	41175	37901
GSE63617.2	15_months; 6_months	GPL7202	5.90547710447072	median	0.152	41267	34996
GSE63617.2	15_months; 6_months	GPL7202	5.90547710447072	median	0.152	41267	34996
GSE64398.1	18_months; 2_months; 4_months; 8_months	GPL6885	4.78451680208086	median	0.2362	25697	19628
GSE64398.1	18_months; 2_months; 4_months; 8_months	GPL6885	4.78451680208086	median	0.2362	25697	19628
