cell_type_before	count_before	geneSymbol_before	regulation_before	cell_type_after	count_after	geneSymbol_after	regulation_after	disease	phase
Astrocytes	4	Cyp2d22, Hsd11b1, Slc15a2, Slc9a3r1	down	NA	NA	NA	NA	AD	early
Cholinergic neurons	2	Dbndd1, Stmn2	up	NA	NA	NA	NA	AD	early
Dentate granule cells	1	Trpc6	down	NA	NA	NA	NA	AD	early
Medium spiny neurons	1	Ptpn5	up	NA	NA	NA	NA	AD	early
Microglia	1	Irgm2	down	Microglia	3	Cd52, Herpud1, Irgm2	down	AD	early
NA	NA	NA	NA	Dentate granule cells	1	Cdhr1	up	AD	early
NA	NA	NA	NA	Microglia	1	C1qc	up	AD	early
NA	NA	NA	NA	GABAergic cells	2	Entpd4, Igfbp4	down	AD	early
cell_type_before	count_before	geneSymbol_before	regulation_before	cell_type_after	count_after	geneSymbol_after	regulation_after	disease	phase
Astrocytes	1	Slc14a1	up	Astrocytes	1	Slc14a1	up	AD	late
Astrocytes	2	Fjx1, Nrarp	down	Astrocytes	3	Ddhd1, Lmcd1, Slc1a3	down	AD	late
GABAergic cells	2	Cort, Igfbp4	down	NA	NA	NA	NA	AD	late
Microglia	17	Anxa3, C1qc, Cd52, Cd68, Ctsh, Ctss, Ctsz, Cyba, Grn, Gusb, Havcr2, Ifngr1, Lag3, Ly86, Slc11a1, Tgfbr2, Tyrobp	up	Microglia	2	Cd68, Tyrobp	up	AD	late
Pyramidal cells	1	Nr4a2	down	NA	NA	NA	NA	AD	late
NA	NA	NA	NA	Medium spiny neurons	1	Gabrd	down	AD	late
NA	NA	NA	NA	Microglia	1	Crybb1	down	AD	late
