# 2018-01-31
#####
# DISEASE: AD
#####
# PHASE: early
# File dir: C:/AD/files_results/AD_mouse_model_project/MGP_estimation//early/2017-01-31
# PHASE: late
# File dir: C:/AD/files_results/AD_mouse_model_project/MGP_estimation//late/2017-01-31
cell_type	geneSymbol	rotation	var_explained	disease	phase	marker_order	WT	Disease	D_WT_rot_diff
A1	C3	0.161721990686827	0.26215	AD	early	1	0.101608385939107	0.21058188658283	0.108973500643723
A1	Gpc4	0.272347199211475	0.22726	AD	early	2	0.474000801995115	-0.139733063629938	-0.613733865625053
A1	Serping1	0.459907558424268	0.16413	AD	early	3	0.206727918771264	0.506050540712717	0.299322621941453
A1	Gbp2	0.453429212037	0.12641	AD	early	4	0.267721972665399	0.456174601768247	0.188452629102848
A1	Amigo2	0.518115726940703	0.07329	AD	early	5	0.577344273563943	0.462842383900424	-0.114501889663519
A1	Srgn	-0.0367272690021849	0.06601	AD	early	6	-0.0957559798060054	-0.115379259056004	-0.0196232792499986
A1	Fkbp5	0.326440462263607	0.04669	AD	early	7	0.554459534387109	-0.0209806649396502	-0.575440199326759
A1	Thbs2	0.325889266455894	0.03407	AD	early	8	-0.0258165723718579	0.493935105921321	0.519751678293179
A2	Sphk1	-0.358580944900978	0.42096	AD	early	1	-0.345898611638094	-0.364016478322355	-0.018117866684261
A2	Cd109	0.598895729998954	0.20476	AD	early	2	0.634339735040042	0.574023660760825	-0.060316074279217
A2	S100a10	-0.431224417964771	0.16984	AD	early	3	-0.391439803624275	-0.442197497915184	-0.050757694290909
A2	Emp1	0.475689394974231	0.13694	AD	early	4	0.443792622985545	0.487574539453277	0.043781916467732
A2	Cd14	0.317031089016419	0.0675	AD	early	5	0.357477606205433	0.323606677482105	-0.033870928723328
Astrocyte	Rdh5	0.200830135983026	0.121	AD	early	1	0.191884584338288	-0.00816270356041866	-0.200047287898707
Astrocyte	Igfbp2	0.178272736396231	0.10735	AD	early	2	0.152279786663981	-0.00199284495579749	-0.154272631619778
Astrocyte	Cpq	0.196162987243164	0.08726	AD	early	3	0.173000597387218	-0.106964934772533	-0.279965532159751
Astrocyte	Itih5	0.0333401251484562	0.08308	AD	early	4	0.0686190798456918	-0.0269102709787349	-0.0955293508244267
