#2018-01-31 22:40:33: 
#
MANUAL INPUT GENE LIST

#
#Input expression data: 
#C:/AD/files_results/AD_mouse_model_project/mixed_model/random_intercept_include_NA_low_exp_rm//late/mixed_model_results_exp_corrected.Rdata
#
#Input gene ranking lists:
#
geneSymbol	GSE14499_Hippocampus,GFP,rep1	GSE14499_Hippocampus,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep1	GSE14499_Hippocampus,APP,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep3	GSE14499_Hippocampus,APP,GFP,rep4	GSE15056_wt_rep1	GSE15056_wt_rep2	GSE15056_Tg2576_rep1	GSE15056_Tg2576_rep2	GSE1556_12moControl.1	GSE1556_12moControl.2	GSE1556_12moAPPSw.1	GSE1556_12moAPPSw.2	GSE50521_eIF2+_S51A1	GSE50521_eIF2+_S51A2	GSE50521_eIF2+_S51A3	GSE50521_WT1	GSE50521_WT2	GSE50521_WT3	GSE50521_5xFAD;eIF2+_S51A1	GSE50521_5xFAD;eIF2+_S51A2	GSE50521_5xFAD;eIF2+_S51A3	GSE50521_5xFAD1	GSE50521_5xFAD2	GSE50521_5xFAD3	GSE52022_4mon_WT_rep1	GSE52022_4mon_WT_rep2	GSE52022_4mon_5XFAD_rep1	GSE52022_4mon_5XFAD_rep2	GSE53480_WT_rep1	GSE53480_WT_rep2	GSE53480_WT_rep3	GSE53480_WT_rep4	GSE53480_Tg4510_rep1	GSE53480_Tg4510_rep2	GSE53480_Tg4510_rep3	GSE53480_Tg4510_rep4	GSE63617_15m_hp_VH_rep1	GSE63617_15m_hp_VH_rep2	GSE63617_15m_hp_VH_rep3	GSE63617_15m_hp_VH_rep4	GSE63617_15m_hp_VH_rep5	GSE63617_15m_hp_AD11_rep1	GSE63617_15m_hp_AD11_rep2	GSE63617_15m_hp_AD11_rep3	GSE63617_15m_hp_AD11_rep4	GSE63617_15m_hp_AD11_rep5	GSE64398_WT_18m_Hipp_rep1	GSE64398_WT_18m_Hipp_rep2	GSE64398_WT_18m_Hipp_rep3	GSE64398_WT_18m_Hipp_rep4	GSE64398_WT_18m_Hipp_rep5	GSE64398_WT_18m_Hipp_rep6	GSE64398_WT_18m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep1	GSE64398_WT_4m_Hipp_rep2	GSE64398_WT_4m_Hipp_rep3	GSE64398_WT_4m_Hipp_rep4	GSE64398_WT_4m_Hipp_rep5	GSE64398_WT_4m_Hipp_rep6	GSE64398_WT_4m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep8	GSE64398_WT_4m_Hipp_rep9	GSE64398_WT_8m_Hipp_rep1	GSE64398_WT_8m_Hipp_rep10	GSE64398_WT_8m_Hipp_rep2	GSE64398_WT_8m_Hipp_rep3	GSE64398_WT_8m_Hipp_rep4	GSE64398_WT_8m_Hipp_rep5	GSE64398_WT_8m_Hipp_rep6	GSE64398_WT_8m_Hipp_rep7	GSE64398_WT_8m_Hipp_rep8	GSE64398_WT_8m_Hipp_rep9	GSE64398_het_TASTPM_18m_Hipp_rep1	GSE64398_het_TASTPM_18m_Hipp_rep2	GSE64398_het_TASTPM_18m_Hipp_rep3	GSE64398_het_TASTPM_18m_Hipp_rep4	GSE64398_ho_TASTPM_18m_Hipp_rep1	GSE64398_ho_TASTPM_18m_Hipp_rep2	GSE64398_ho_TASTPM_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep1	GSE64398_TAS10_18m_Hipp_rep2	GSE64398_TAS10_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep4	GSE64398_TAU_18m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep1	GSE64398_ho_TASTPM_4m_Hipp_rep2	GSE64398_ho_TASTPM_4m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep4	GSE64398_het_TASTPM_8m_Hipp_rep1	GSE64398_het_TASTPM_8m_Hipp_rep2	GSE64398_het_TASTPM_8m_Hipp_rep3	GSE64398_het_TASTPM_8m_Hipp_rep4	GSE64398_ho_TASTPM_8m_Hipp_rep1	GSE64398_ho_TASTPM_8m_Hipp_rep2	GSE64398_ho_TASTPM_8m_Hipp_rep3	GSE64398_ho_TASTPM_8m_Hipp_rep4	GSE64398_TAS10_8m_Hipp_rep1	GSE64398_TAS10_8m_Hipp_rep2	GSE64398_TAS10_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep1	GSE64398_TAU_8m_Hipp_rep2	GSE64398_TAU_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep4
Rdh5	-0.0991367783237109	-0.417630036460388	0.192382599568822	-0.0271328511649669	-0.28686403355036	-0.22064252877312	-0.158785024154974	0.264718853415689	0.258348297808646	-0.282389268401531	-0.949388084330827	-1.1550787866552	2.75194744614345	-1.30301477472618	0.717424976443479	0.391011481933096	0.0691480456611613	1.20538566113984	-0.753039100273915	-1.09494515883769	0.262625795937193	-1.11711906822354	0.226565054314029	-0.733979451313898	0.356681072577705	0.0377664310646457	0.513905397845829	0.758501070761941	-0.981386473730672	-0.417282221193587	-0.538434715768106	-0.450014485915371	-0.13517434782891	-0.535757422066258	-0.0363309588786942	0.271263518527447	0.817951723708665	-0.0166720058809338	-0.8643288734943	0.822999695857263	2.26616591944946	-0.986785627319529	1.85046033465144	1.1087565539761	0.795104605233139	-1.3714486805996	-1.24799827150833	-0.968857813771432	-0.763739051427408	-0.767939727360275	1.64644217738869	0.631342685044505	-0.769326535890605	-0.418362814550642	-0.512490000104611	-1.15367519047244	-0.522936916299949	-0.544457954776068	-0.547034362106042	-0.511241096879232	0.89389014632336	-0.836744174451412	1.79074798530139	2.38140698117578	-0.870373172546671	2.37382660242708	0.0470547782693771	0.051598187351928	0.516003614671456	-0.536362080259034	-0.696728870485818	-0.713732527720502	-0.242226347147275	-0.646165331205784	0.207400715116929	-0.517798417765576	-0.553972616069702	-0.24153078927224	-0.603549801495175	0.454475916692676	0.589187146933446	0.503468949264292	0.919652588124121	-0.729414002953113	0.986382946410961	0.0729556110272664	-0.752540807237568	1.21626577697834	-0.576338116415137	1.04067776332953	-1.52907248117561	-0.346182964066388	1.82546525335457	-0.580700286247854	-1.26009536805138	1.638942919786	-0.562639010025411	-0.29460527067992	-0.450754750755312	-0.171288647956656	0.511873289163882	0.32275559018181	-0.721543325169741	0.943001021468827	-0.568811702340165
Igfbp2	0.173707658957063	0.312368802834365	-0.537786973658942	-0.190728925875903	-0.135948241294836	-0.763220629588631	-0.229510853901486	0.0209016348880429	-0.400739552305915	0.127130092824506	-0.129925946833962	-0.618136998485634	1.74666721081355	-0.8634776583361	0.563508874402849	-0.253983193446258	-0.00732417783553529	0.98459715462031	-0.719739762758294	-1.21125849517673	-0.150251461594854	-1.13824323162352	0.566606445712443	-0.691903797914761	0.308665807010571	0.060026057713884	1.1939102804257	0.747462119730573	-1.15430789889304	-1.06609317285869	-1.10826650429321	0.360558520665091	-0.477808646270084	-0.403992078689487	-0.16772715139764	-0.249158971379339	1.8427735306991	-0.027017830140645	-0.952550639240981	0.364835976688735	1.25886649284504	-0.725862289818462	1.26709240714405	0.8093931770601	0.711601938698827	-1.00163467541284	-1.32630905671518	-0.0887759386140061	-0.624850036818765	-0.980845927639435	1.26234826066586	0.329727521280912	-0.208178947648276	-0.369764465252453	-0.219889080474243	-0.965376552465081	-0.60103225331191	-0.318484556001108	-0.279876910960908	0.387833768192779	0.33143704637903	-0.753586954850727	1.11434208421389	1.61572019414531	-0.300832446548009	1.77485352004526	0.224315736566606	-0.169689155887445	0.0550095160725022	0.106561391776717	-0.539065117959952	-0.527063351533835	-0.55413794395327	-0.198925674485151	-0.153771593528074	-0.349942990929724	-0.478874225345498	-0.183705441233464	-0.26094573436651	0.267920777629262	0.016931151417328	0.34593524981649	0.419060996666953	-0.421186462593312	0.275984831928767	-0.198277457827171	-0.550196198988278	0.186702828851489	-0.279876910960908	-0.0351438860762823	-1.35368187230599	-0.193271160611323	1.11190055296278	-0.779693576176866	-0.431832209279452	0.988703763925828	-0.392907942779713	-0.0516397283616161	-0.79411057380052	-0.431832209279452	0.520212823340636	0.0453558360671416	-0.561483245173951	0.25089202790711	-0.575252762993893
Chil1	0.043271938524188	0.44170801865858	0.302850176110852	0.586499763125776	0.84431148861328	0.357927506099004	0.498973168186769	0.235594929841223	0.192023487013438	0.550648372818106	0.551275366934295	0.246907306442477	-0.37266894593014	0.482199046453741	-0.895131048868048	-0.62202154407356	-0.814342360598289	-1.63686172624698	-0.763540081031933	-0.47649885315314	1.39222625545992	1.72411773116491	2.28613367313537	1.4828100931618	1.27353091592801	1.15630663777306	0.351151639163114	0.244473595399676	0.381841811852545	0.0841048093206105	-0.130057386367114	-0.565982607090458	-0.137649622502827	-0.612735997449239	1.33113652079419	0.759187205446379	0.235567483923498	1.73785075869039	0.489526875156376	0.276706582163698	0.245894865587514	0.5399801513817	0.168744747795474	-0.00557381854149863	0.283345491454802	0.73988778277474	0.289113813008675	0.117291931240778	0.190741042641946	0.124078931427579	0.174861370507591	0.21293735592652	0.30724934284129	0.176566518791487	0.0361585915545142	-0.142603996338636	0.105955132752744	-0.0841413724110041	-0.0929283346391934	-0.0328845960853794	-0.0148343546861618	0.163616563503952	-0.0539660042314125	0.143776938057762	-0.0411095457103379	0.340662141897157	0.0199885902169896	-0.0165987424683536	0.085534792854034	0.208755424567645	0.252485193965981	0.123574050246008	0.136343833006817	-0.00360682604250862	0.594021712493756	0.914192243324928	0.917338206848802	1.08110810727181	1.36479530288506	1.21401117029095	1.43773083107886	0.120946523677421	0.0282099443345878	0.165348012373343	0.171986965262352	2.52119668304855	0.191278775165332	0.781674192248834	0.320688567284185	0.888291934401373	0.270019919956162	0.461738906423276	0.323146306381499	-0.0165987424683536	1.17332542335689	0.728355500897294	1.3398594840651	1.1656730402361	0.0212004830935388	-0.0316906266902617	0.0991074703763282	0.0165368245447208	0.138058847509654	0.0282099443345878	-0.168916943673079
Cd44	0.920188764456678	0.603543059919601	0.66800044214516	0.594343220854799	-0.0553784595945812	-0.328156439023659	-0.151910010256407	0.00931175653101413	0.214270867178801	1.00396768670405	0.00993081306717691	-0.00866415388178776	0.553448216429084	-0.014562370657548	0.0236045272750749	-0.091801104097998	-0.0674203343710804	-0.035269557234936	-0.115782272650366	-0.0889153294445784	0.492843312633832	0.272856334381518	0.881442956389115	0.309117276072289	0.808902531979235	0.286142979341472	0.928478507028359	-0.38738451089276	0.534156047833365	-0.168852775486185	-1.31411366053269	-0.295310307172916	-0.926858884082008	-0.01024816963597	1.27214524350665	1.20733209805285	1.08828375135874	1.19783663936896	-0.248306359800108	0.38932884484703	0.238541319019388	0.445688682647718	0.897379859976583	-0.204101442649988	0.546102501538011	0.261660869520727	-0.53900575274506	0.785206484582973	-0.0066276649169259	0.085182599858082	-0.202816743538228	0.418123656682106	-0.242101298622196	-0.49611507112137	-0.144591818696321	-0.0428548886023288	0.145870545497238	-0.210837421263676	0.249121988403894	0.140317655153764	-0.204078208289091	0.330849600997026	0.164996971881135	0.300160232401376	-0.603172261063077	-0.0132220460851853	0.176832668338041	0.163589819278824	-0.565426676671474	0.11783169837283	0.37415971775591	-0.577528404161722	-0.0182466630818565	-0.0634294692215231	0.699877784615928	0.92499419992323	0.853837780983429	1.25979851418203	1.60101007364338	1.51154654112952	1.64984607264369	0.306907962265417	0.37853571135399	0.229095600036479	0.389550753040548	2.1816486156199	0.370725941929253	0.0809418709962717	0.21258325120808	0.345395081229184	-0.231148623044573	-0.136445805953199	-0.0669981212067485	0.325863107724935	0.607725788997754	0.465300836841291	1.21733142035983	0.999586487223369	0.38535529627937	-0.0847169502300451	0.0227725594975237	-0.106426005380234	0.0273556690333203	0.102196003397141	-0.203453347933114
Aqp4	0.135458525221383	0.200756101079836	0.699493664021659	0.640506149888253	0.156739636839781	-0.212990785505385	0.0912537654870569	0.0648103086972789	0.0772753420165699	0.51527307095774	-0.24434331989865	0.155526882106059	0.508082176175092	0.310392520390311	-0.33183641204239	-0.460363357940903	-0.289642163564963	-0.342518136702466	-0.267974032596765	-0.439409311225898	0.734048950906656	0.474377891307855	1.26909215400986	0.704084187414916	0.874058553041362	0.400826263695262	-0.0441019800338065	0.0648511999842807	0.391380354992465	0.531388434628575	0.0770718844490244	-0.265596739757244	-0.0914637715835482	-0.386133770274972	0.472529011675718	0.784838585399832	0.387000680297728	0.720746782523831	-0.110663515512973	-1.01348362724791	0.278550850360038	0.758986501308708	0.318807702851281	-0.501426765250577	-0.133690471946702	0.696099996871039	0.51014364243316	0.571116011357963	0.292298022310122	0.098365129546897	-0.0268469247225998	-0.281372720313312	0.792494307470314	-0.262729331377971	-0.530225185438136	0.223182991974273	-0.0404279765252156	0.314662614752665	0.652915460482456	-0.0180598983407325	0.30185647205918	0.348466664135335	0.203577893235844	0.378299951167508	-0.426403989788486	0.879386681160719	-0.078382874095178	-0.0260650615486888	-0.0381455908850068	-0.601254287927834	-0.378728782003964	0.179724744763538	-0.0313642303725441	0.216232337118566	0.0391116131769191	0.438175475794386	1.14579144589553	0.995861661953541	1.12282810073325	0.941047890796543	1.34334745746194	0.0111146302004972	0.201320703851687	-0.269891397767033	-0.275138351250119	1.80957241370173	-0.0798225062854154	0.134237157406469	-0.250686996608311	1.05013962731443	-0.0516275122366388	0.145804359584472	0.118676514212442	-0.327253583566858	0.482642511796715	0.841685292618756	0.674588286055934	0.675799020536429	-0.35554803565863	-0.472397752837324	0.209381258585298	-0.734164623910612	-0.483407901182618	0.351375127537699	0.114578940776187
Fxyd1	0.23103618194841	0.165686038586442	0.264962533075021	0.273031515879508	0.166701941945458	0.175345389533696	0.052838670015424	-0.0155240102651071	0.0731730327626554	0.390652728554681	0.123864507733497	-0.101531709660103	0.579455484094204	0.174855952993733	-0.254260059458055	-0.345665368461168	-0.251559421517989	0.123456720726113	-0.718096959901763	-1.05041569206659	1.24159344406534	0.362165501634683	1.07709359454969	0.575870282546003	0.771137874618187	0.509290941892599	0.341405441832558	-0.0313842905273471	0.29880711850894	0.0992390168664237	-0.268299505901227	-0.490765994232442	-0.164259410024048	-0.793540165513784	0.72412331896871	0.959479390913776	0.641380157756181	0.752520139926929	-0.219225464942484	0.420890153856707	1.00934933045997	-0.00952799092511114	0.826858537699849	0.214631759077635	0.188841303395979	-0.22520553216127	-0.464488466360246	-0.240079262919874	-0.325647370512049	-0.34382658419216	0.804845554042771	0.674456386819202	0.139660773372479	-0.209168413486699	0.0454369626279076	0.0652967750511424	-0.00753255021222099	-0.270798396956829	-0.136228443939825	-0.336877408311668	0.185849329059264	-0.174536489422363	0.192404608562233	0.157844891046457	-0.34449391253255	1.02461807449215	-0.199086263481964	0.405215569691089	0.317389683648482	0.202929855684613	-0.306444480803125	-0.230445817634507	0.0940303522762225	-0.00622222434988817	0.417481453787056	0.383791544869625	0.510774213604007	0.51480515543555	0.501118271318523	0.53459417215123	0.452898507159868	-0.215706755151564	0.218282910466301	-0.138189873894826	0.475557349100521	1.29315933945755	0.437656603643775	-0.334795464750758	0.0813275100431792	0.0493430672851227	0.526957440764072	0.37184075252125	0.277001812015751	0.18262794132128	0.470179787357207	0.69303830279244	0.386487437140163	0.813964293067059	-0.408054722286408	-0.358785053852325	0.14951647367351	-0.414532221225683	0.173870886562571	0.0258373981767361	-0.00552372171207782
Cpq	0.493465914250981	0.162248955442811	0.353147204389879	0.105932151979736	-0.0805387455119195	-0.614511854261045	0.0974755240817711	0.0683782402312776	0.205289955515759	-0.0963692820428843	0.0805989160727005	-0.0340905763092092	0.116193454693198	-0.269895231466836	0.134827017964751	-0.155927729340208	0.164432278411494	0.562562546100187	-0.528517144611277	-0.660823397842085	0.289294573713747	-0.272066645841813	0.843728361287605	0.0784196292433048	0.47110260196	-0.17295405705803	0.652940053579485	0.1684227295854	-0.2545762157424	-0.32131157258768	-0.599832036784626	-0.152573214160088	-0.203289126678949	-0.531756264122249	0.239110744267426	0.312819544448946	1.10145472054918	0.190921491702917	-0.294834295127838	0.156003940957465	0.876321015488358	0.00862011470943713	0.530330850210081	0.383401556365767	0.0724249738156839	-0.53359547294118	-0.66706120347038	0.0603843853261985	-0.326438158676913	-0.369049001351338	1.11939830997195	0.321900315980101	-0.0679286512216848	-0.251661827553216	-0.445622649977229	-0.917780549316963	-0.291708190674175	-0.418326504789619	-0.223702018182674	0.147354593563651	0.0889134010713573	-0.353816433403169	0.515414110719253	0.289413621071083	-0.355184681642781	1.09895184698799	-0.0602047379637236	0.52538355880858	0.294805001260877	-0.00872186463576341	-0.440783088272668	-0.131978091341782	-0.412674216363695	-0.320938406177353	-0.00717100977927654	0.409941224155442	0.0889134010713573	0.0596967044743062	-0.0850524845178899	0.173266634980244	-0.230768391994579	0.119202655875557	0.316420220395753	-0.119007830633474	0.1301744918732	0.710201327035196	-0.168360035663446	0.309298883371773	-0.133355218219773	0.545030043087933	0.187657303325594	0.247220352782706	0.415505056112896	-0.317610901761617	0.387478755690572	0.700158855888442	0.230100650787215	0.274628323269027	-0.653238812402479	-0.0198253763115614	0.666692779051751	-0.115596294469108	-0.0297239170106565	0.172637064498872	-0.197136394099562
Itih5	0.101601380270056	0.351354665896	0.559014458335296	0.146603379084294	-0.163541108843743	-0.435080484695467	0.549737569560707	-0.045552276446772	-0.264040843329134	0.0297837027882277	-0.36737925961924	-0.109586141160791	0.59218463349133	0.0562447576721992	0.146905388136418	-0.017115593939856	-0.228806177997137	0.479884845124558	-0.0433225029921527	-0.428967092095277	-0.1974929724932	-0.0231196385382919	0.287594436506793	0.142089734865583	0.483194054008255	0.0288384697643345	0.618970622873649	0.15624341208313	-0.416522002197631	-0.0301900616902273	-0.396686804528606	0.174415790251148	-0.380049188270842	-0.346266634875864	0.158434504621408	0.488660392011722	0.932400061211123	-0.0171463602541664	-0.591356350326491	-0.475128666955951	-0.262232556327583	-0.527104985017418	-0.393521096146218	0.687853852148598	-0.628248034726003	0.770482953271638	0.687853852148598	1.24902993188769	-0.274382159625466	-0.170233300819632	0.589424862458178	0.434672972582164	0.206882282771656	-0.013072818514158	-0.303773092035462	0.00413639174040625	-0.12958434051887	-0.419078397918898	0.296458273265816	0.0861506256135778	0.181953737446809	0.250202373563967	0.107653892603953	0.149818033346456	0.395548288984319	-0.191332578134309	0.370176918659512	0.331519642636778	0.351130910569955	0.0356120593639888	-0.53542214028383	-0.242175356389836	0.331519642636778	0.190154928500694	-0.0188813254456663	0.570784557051157	-0.0274919902302893	0.290056485563245	-0.578106500109179	-0.0368210526614234	-0.518270278581275	0.294732780184127	-0.0593488451240445	-0.0834911008857295	0.112953888651099	-0.156776234984228	0.74143319501183	0.138013549382962	0.370176918659512	0.10826837560346	0.264288471835819	0.448099373128825	0.247344005621464	-0.352530066060881	0.17710119227003	0.187224932665978	-0.47822068162067	-0.525418656329318	0.134445659665625	-0.163043370251882	-0.00582100150126319	-0.109185276742407	0.759936125526298	0.0450947394123133	-0.288035953146547
Fzd2	-0.32333589326751	-0.206212993999311	-0.234736061149927	-0.0909043780987249	-0.310823613311014	-0.27358357784227	-0.0123375912857835	-0.0126532139631106	-0.101459384059092	0.0162563108877496	-0.153444802986092	-0.561501201040773	0.195147462010116	-0.449372872326697	-0.0669075301227737	-0.558665715588298	0.657767647014079	0.2250037562975	-0.262793702224204	-0.125503021425355	-0.357994410030125	-0.24070328937922	-0.203678341307149	-0.330200283185214	-0.50669749998327	-0.101547328631033	0.584963494069267	-0.313267722369595	-0.388536786396176	-0.515609640503727	-0.264671674347571	0.0920101912272262	-0.167698012851257	-0.123500986176317	-0.259827407091179	-0.645388744386925	0.590728751496508	-0.230699968063838	-0.285009124909016	0.255909242521594	0.0294672275854166	0.0404246675461364	0.0919895250459835	-0.187893964031296	0.242230164542403	-0.70960699590123	-0.583229258554328	-0.0315512883592062	0.137366059420533	0.134422179012486	-0.0150988022185015	-0.367356757023892	0.0805634878678267	-0.29687206490127	-0.314624768753959	-0.884208233319365	0.174160910795634	-0.147231326262163	-0.14108414945171	0.177065013693533	-0.116919796076827	0.381922257561931	0.211669160149263	0.499200098704004	0.213216972228929	-0.23321420181057	0.0133611877921043	-0.127996168455987	-0.0163868621014469	0.231160727738686	0.281247536715539	0.210977043658534	0.699541962055767	0.675085968230494	-0.635794880182308	-0.762938884262665	-0.635131276591376	-0.289566583819885	-0.803157902440566	-0.0734286890353157	-0.147231326262163	0.109134790514696	0.10492864524047	-0.410860864682762	-0.208040690997855	-0.815604360546151	-0.773178581949992	0.0620516453394639	-0.0101742377837342	-0.108979892488939	-1.35859155771699	-1.04938694988625	-0.33321495025603	-0.52656871511731	-0.00877950127604343	-0.42586016557701	-0.554093970209358	-0.713235662917036	0.183427110645725	0.181880723996438	0.186070992930183	-0.297477833197642	-0.183840120587528	-0.222384053238488	-0.0915712111264542
Notch1	0.177621923763729	0.0543555181468474	-0.366571791179371	0.399454860821264	-0.127533978445879	0.0512544158646282	0.0515506335753955	-0.164994190357138	-0.0400181104069759	0.0192436376552205	0.18397945488576	0.563442324626307	1.12883886089843	-1.79274763223796	-0.177326476954203	-0.146163903022021	-0.2110750423168	-0.0219790164260356	-0.0679508375053022	0.00656572387696741	0.193473118867111	0.0534219026790197	0.258658048834892	-0.00842806236384774	0.175941844291458	0.215400474876999	0.270921066580977	-0.147928852550244	0.0174178577353548	0.0319007213878262	-0.0620680201799075	-0.172834504706413	-0.26955732802292	-0.212528422151678	0.114187452613052	0.591767446620835	0.190864563064457	0.104759779437421	-0.0981801130676478	0.0166494167829239	-0.164732148216086	0.071614086112926	0.0296532680066415	-0.0420170428580393	-0.0749218341830016	0.03657915982562	0.143274704694196	0.0206321600598702	-0.320409974048033	-0.606714660600791	0.535783150745734	0.124266342204331	0.12934462729916	0.345368188237542	0.255186852815864	0.214092778999429	-0.239205890249929	0.132941585314802	0.522147339732971	0.0207061373193849	0.0686883118465413	-0.0967534798689265	0.25760588201787	-0.416623783727069	-0.696369153480506	0.709887237994835	-0.256503536083279	0.573221206535209	0.168868821224876	-0.19342513693948	-0.627764094049475	-0.190095550696246	0.0578391918236498	0.0188830447493888	-0.33151004147651	-0.213838243925405	0.0929130236621205	0.0372595538618992	-0.13892889660627	0.235474816363485	-0.13970109365871	0.00243350542671017	-0.0499705094249592	-0.146258492611713	-0.16089313733719	0.610858322753719	0.0521675384326628	-0.772253972826746	-0.101332047031143	-0.202566995997115	0.426479846276759	0.447152194650737	-0.171559518171708	0.101489613559677	0.642637403285725	-0.0603542532964543	0.428318527299709	0.667003372977501	-0.591268272952543	0.123640565862281	0.439138290029051	-0.367545295265739	-0.0741852311984328	0.0916708404369508	-0.302258418134025
