#2018-01-31 22:40:36: 
#
MANUAL INPUT GENE LIST

#
#Input expression data: 
#C:/AD/files_results/AD_mouse_model_project/mixed_model/random_intercept_include_NA_low_exp_rm//late/mixed_model_results_exp_corrected.Rdata
#
#Input gene ranking lists:
#
geneSymbol	GSE14499_Hippocampus,GFP,rep1	GSE14499_Hippocampus,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep1	GSE14499_Hippocampus,APP,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep3	GSE14499_Hippocampus,APP,GFP,rep4	GSE15056_wt_rep1	GSE15056_wt_rep2	GSE15056_Tg2576_rep1	GSE15056_Tg2576_rep2	GSE1556_12moControl.1	GSE1556_12moControl.2	GSE1556_12moAPPSw.1	GSE1556_12moAPPSw.2	GSE50521_eIF2+_S51A1	GSE50521_eIF2+_S51A2	GSE50521_eIF2+_S51A3	GSE50521_WT1	GSE50521_WT2	GSE50521_WT3	GSE50521_5xFAD;eIF2+_S51A1	GSE50521_5xFAD;eIF2+_S51A2	GSE50521_5xFAD;eIF2+_S51A3	GSE50521_5xFAD1	GSE50521_5xFAD2	GSE50521_5xFAD3	GSE52022_4mon_WT_rep1	GSE52022_4mon_WT_rep2	GSE52022_4mon_5XFAD_rep1	GSE52022_4mon_5XFAD_rep2	GSE53480_WT_rep1	GSE53480_WT_rep2	GSE53480_WT_rep3	GSE53480_WT_rep4	GSE53480_Tg4510_rep1	GSE53480_Tg4510_rep2	GSE53480_Tg4510_rep3	GSE53480_Tg4510_rep4	GSE63617_15m_hp_VH_rep1	GSE63617_15m_hp_VH_rep2	GSE63617_15m_hp_VH_rep3	GSE63617_15m_hp_VH_rep4	GSE63617_15m_hp_VH_rep5	GSE63617_15m_hp_AD11_rep1	GSE63617_15m_hp_AD11_rep2	GSE63617_15m_hp_AD11_rep3	GSE63617_15m_hp_AD11_rep4	GSE63617_15m_hp_AD11_rep5	GSE64398_WT_18m_Hipp_rep1	GSE64398_WT_18m_Hipp_rep2	GSE64398_WT_18m_Hipp_rep3	GSE64398_WT_18m_Hipp_rep4	GSE64398_WT_18m_Hipp_rep5	GSE64398_WT_18m_Hipp_rep6	GSE64398_WT_18m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep1	GSE64398_WT_4m_Hipp_rep2	GSE64398_WT_4m_Hipp_rep3	GSE64398_WT_4m_Hipp_rep4	GSE64398_WT_4m_Hipp_rep5	GSE64398_WT_4m_Hipp_rep6	GSE64398_WT_4m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep8	GSE64398_WT_4m_Hipp_rep9	GSE64398_WT_8m_Hipp_rep1	GSE64398_WT_8m_Hipp_rep10	GSE64398_WT_8m_Hipp_rep2	GSE64398_WT_8m_Hipp_rep3	GSE64398_WT_8m_Hipp_rep4	GSE64398_WT_8m_Hipp_rep5	GSE64398_WT_8m_Hipp_rep6	GSE64398_WT_8m_Hipp_rep7	GSE64398_WT_8m_Hipp_rep8	GSE64398_WT_8m_Hipp_rep9	GSE64398_het_TASTPM_18m_Hipp_rep1	GSE64398_het_TASTPM_18m_Hipp_rep2	GSE64398_het_TASTPM_18m_Hipp_rep3	GSE64398_het_TASTPM_18m_Hipp_rep4	GSE64398_ho_TASTPM_18m_Hipp_rep1	GSE64398_ho_TASTPM_18m_Hipp_rep2	GSE64398_ho_TASTPM_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep1	GSE64398_TAS10_18m_Hipp_rep2	GSE64398_TAS10_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep4	GSE64398_TAU_18m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep1	GSE64398_ho_TASTPM_4m_Hipp_rep2	GSE64398_ho_TASTPM_4m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep4	GSE64398_het_TASTPM_8m_Hipp_rep1	GSE64398_het_TASTPM_8m_Hipp_rep2	GSE64398_het_TASTPM_8m_Hipp_rep3	GSE64398_het_TASTPM_8m_Hipp_rep4	GSE64398_ho_TASTPM_8m_Hipp_rep1	GSE64398_ho_TASTPM_8m_Hipp_rep2	GSE64398_ho_TASTPM_8m_Hipp_rep3	GSE64398_ho_TASTPM_8m_Hipp_rep4	GSE64398_TAS10_8m_Hipp_rep1	GSE64398_TAS10_8m_Hipp_rep2	GSE64398_TAS10_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep1	GSE64398_TAU_8m_Hipp_rep2	GSE64398_TAU_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep4
Cort	-0.435891249475081	-0.303154297258962	-0.737345712635276	-0.722678678351887	-0.363595945591149	-0.471342944832174	-0.0219603483729642	-0.315823790913709	-0.750962613937148	-0.79373841598321	0.70163156370687	-0.190654834546216	-0.838796136301053	-0.794374606458922	-0.124196802548331	-0.164443821396602	-0.268003264702878	0.704514138022123	0.161602035453784	-0.0478732128241308	-1.22064902097894	-1.33241347597	-0.135467180723619	-0.471826265814417	-1.12212451242626	-0.283283492993528	-0.416844632331348	-0.433428652852057	-0.216665614439369	-0.301607962009136	-0.614980126811782	-0.388761299896093	-0.49332449148851	-0.285468110798092	-0.150895587670997	-0.315259525007628	-0.533654686798327	-0.207279206008908	-0.421324703150091	-0.689758060299608	-0.416881705335466	-0.418681674842578	-0.176552402628296	-0.400100423980016	-0.262390852146468	-0.369761020483305	-0.465170711522088	-0.379672034156441	0.365971891574043	0.478602956459728	0.0140299901979404	0.514377395087779	-0.127896281283565	0.0469013610088957	0.227096762278697	0.241131922888533	0.307743578082073	0.18505534435098	0.329950236153694	0.189224363335533	0.305823514547795	-0.00460034352426142	-0.0775062307153682	0.421533032462612	0.478602956459728	-0.435342856653703	-0.247499825588925	0.281879417168774	-0.0202913595292227	0.272419301369224	0.279423342648057	0.372885656706664	0.552718151522397	0.108025468281793	-1.40631900464747	-1.30551948068498	-1.395474633795	-1.0454232412477	-1.3653460903773	-0.993647848192659	-2.1102782115382	0.445070736191125	-0.869166627878123	-0.434726470148407	-0.335962122932296	-0.809429658299724	-0.706592828838319	-1.91559426406151	-0.283260502393484	-3.22121783115304	-0.974632632357862	-0.754865990807103	-0.842561284166626	-0.595479459423236	-1.31633402235892	-2.09022773564288	-1.45007325580415	-2.18683774977928	0.0950808661702442	-0.211483295771743	-0.0656153766578331	0.16218404319465	0.284329152486665	0.348419914924099	0.889797224196196
Ramp3	-0.1118995797024	-0.163739394756998	-0.342302860296429	-0.0882106249788084	-0.0983883859340153	0.0155048221511445	0.12525224057508	-0.0535996741268718	0.586641123978481	0.0192238059745655	-0.319021790299317	-0.287995592634373	0.341959663240739	-0.44730927653687	-0.110499808807554	0.393058339922089	-0.192202858446306	-0.211065253974929	0.245614421531827	1.12749895085621	-1.03231203005939	-0.186472689938358	-0.68706247153379	0.104088571046256	-0.44078858106392	0.182147585959323	0.133771533859373	-0.435780589495852	-0.332401677683729	0.0920181625914775	-0.267126524585544	0.0482328053287642	-0.0823912610096533	0.256591272999342	-0.147478408265952	-0.316700342393712	-0.301481447100578	-0.228852977497442	0.76629831860635	-0.426748957594063	-0.24143121459949	0.0715481059402192	-0.108564343400929	-0.353337878682818	-0.0442988151519899	-0.163805178054717	0.232427571292689	-0.0540945497594532	-0.269389051959683	0.0358811521797371	-0.685334417519763	-0.0864801877237404	-0.220367764756693	-0.656644030640713	-0.314609835345681	-0.344893478084169	-0.309160077943727	-0.148121439578659	-0.24953120429488	-0.443039478678268	-0.350734981010948	-0.129578334384097	-0.741127654043194	-0.277722704416293	0.806783410933435	1.76117118345743	1.25344667045476	-0.375778044559374	-0.520094112255193	0.650990619594775	0.569973908214277	-0.183096064476219	0.305584722192633	0.766072048458969	-0.480418169447927	-0.597746866802642	-0.6087763374376	-0.209179999665147	-0.205524568653876	0.182204319316491	-0.237590327404029	-0.187961134240068	1.24063534515736	-0.158056608859551	-0.276179608277659	-0.956627847140298	-0.221816549135814	1.85998617117326	0.31739265114459	2.21213231921262	-1.12412911088597	-0.660031323781152	-0.512502683928965	-0.801616734426116	-0.355009534454073	-0.88800896672329	-0.380751386769036	-0.814091252059941	0.544550929708465	0.319443210730213	-0.501567720090166	-0.0720626988804254	-0.293864165046102	0.0515737523855586	0.251668891066685
Klf5	-0.357970369083937	0.0487096797713065	-0.300872517888839	-0.737985919825895	0.274613117371292	0.277050499965382	-0.207396851676116	-0.054432742717359	0.0992926437337101	-0.14612592691044	-0.581304379843546	0.0873959884785416	-0.756301763801204	0.743340348075832	-0.256831439543948	-0.170983466151773	0.339888310093823	-0.00741735511101815	-0.125848660367875	0.306455906554572	-0.0707331765079307	-0.336915177087807	0.176215883159957	0.0353965391358511	-0.40004031265066	-0.0547774887469448	0.940479974021128	-0.804577767362367	-0.12149171742394	-0.473883072166514	-0.571460248976305	0.613234103367855	-0.345616881889486	0.753404229324397	-0.862951212197888	-0.200839959842319	0.243055490159812	-0.35779608181566	-0.366356059542457	0.264836642361417	-0.271250624699363	0.120427578982103	0.0349200679968344	-0.452149513998136	0.247369155137307	-0.289149064235426	-0.532156306477996	0.273490669809879	-0.39736065012867	0.429009006320344	-1.03854536931592	0.408152642833095	-0.475656126859022	-0.81708282594116	0.685919100875616	-0.486753831288773	-0.152160542777896	-0.464500709963222	0.286534432187853	0.377870135482182	-0.637804782829779	0.298616659272527	-0.413365326355041	0.277059138760251	0.226726121459345	-0.871841571149128	0.497445377991543	0.109852992366758	-0.26878728724663	0.325178597296299	0.509365921359723	0.366224112034987	0.734957748755557	1.10264140287279	-1.43842587068376	-0.542570552082179	-0.999147074881623	-0.146277551591471	0.72523125311541	0.935553306722731	0.693009049745996	0.433782611507972	-0.0299482543693159	0.165482984765612	0.363670865629839	-1.04268395040617	0.455102443820097	-0.421635510493839	0.284593533936807	-0.857301821515183	-1.06604542166749	-0.513768952253901	-0.153983245577834	0.270645250988871	-0.155348386839126	-0.505852551677165	-0.085921524856392	-1.21214858496875	0.617529376031966	0.533524362918183	-0.166767385820389	-0.351263129036589	-0.207010080636151	0.00138085856245773	-0.571220430028728
Tenm1	0.0122938331500002	0.444330139950141	-0.774451859214527	0.0820923526921788	-1.10942656863718	0.342303320598848	-0.0144554602615639	-0.132698852490678	-0.265436223593936	0.141561987497379	-0.668445069665785	-0.165367431762711	-0.416229246572964	0.481207432982345	0.0299382216323778	-0.293822262476244	-0.20534722652228	-0.0524176802663909	0.313144342824458	0.251371702557716	-0.389821036844587	0.0299382216323778	-0.601702548841461	0.195898638469947	-0.1643312723299	-0.0668614548386142	0.109446863296753	-0.0404956961868521	-0.2456246839546	-0.399075627762915	0.506040135842739	0.200265323628964	-0.601668488604134	-0.273094336507716	-0.522281663128199	0.63250703497263	-0.306631267646099	-0.579797267757553	-0.864957122697229	0.0276577479057831	0.145380697684143	0.228429473882741	0.448331220009546	-0.702822569173643	-0.463300916034797	0.29048661755272	-0.360728004406576	0.404168582794593	0.628030870901541	0.1408346801009	-0.42538735461019	-0.581455257097549	-0.0840682243634507	-0.956681058617706	0.106899297586988	0.575143960893955	-0.0374568784258127	0.128248083035755	0.501330611615831	0.100702150596119	0.165418212911522	0.870085248197364	0.223477470876031	0.397583232313876	-0.240237011093527	0.158488022078787	-0.718123413146363	-0.158172293870603	-0.841151169852927	-0.126199921747634	-0.181095410840369	0.369250519550452	0.0678427530863512	0.512832804996813	-0.94220084918849	-0.207003898935616	0.0551636042625194	0.368558464197044	-0.29558400104772	-0.351688763925211	0.107558768097562	0.306382535518026	-0.0723032780305299	-0.184972282182731	-0.713499977429853	-0.0414962334161686	-0.674954482052551	0.29714685978616	-0.143920576662925	0.745452596027457	-0.0521854592944884	-0.841670280935084	-1.15218503952265	0.00549597519053435	-0.34249774733019	-1.02560989508913	-1.21454883136809	-0.967054268643488	0.54448352039822	-0.780509505187464	-0.201028930384874	-0.331085516823586	-0.165885704331066	0.556960750483833	0.0139950696775646
Igfbp4	-0.313925953479238	-0.212736301009102	-0.492437570985274	-0.189625239324842	-0.0905211906660277	-0.125749197981396	-0.164020535200858	-0.146586099680182	-0.386532638170362	-0.147380273206187	0.6548572675158	0.371424549760533	-0.086119674201985	-1.73361890458751	-0.165260097772636	0.0959065999251383	-0.190744561542003	0.162025369179091	-0.00479554790413417	0.0289261202045914	-0.791863469177404	-0.492856704301428	-0.168847199324162	-0.312723831581044	-0.396285778752363	-0.025382356966416	0.202485454483071	-0.0371900701533594	-0.830985321917732	-0.0457684569859875	0.103620985056322	0.195790516245221	-0.137110286690891	0.11928063875167	-0.525563839020466	-0.364561900054623	-0.272837710916248	-0.556733994286805	-0.209899427677988	-0.275591168767664	-0.37011514573005	-0.0878174835118557	-0.0575886828195875	-0.668472019541444	-0.378248750293126	-0.0208037718249203	0.110091776592204	-0.0120759998222519	0.0200744997089615	-0.194668848172945	0.192357708551588	-0.0237555863852066	0.166546726965967	0.194840564434561	0.00795346514171058	-0.275965406493437	0.133474701348575	0.0907836503629955	0.258611053296232	-0.231459516650547	-0.128202949656957	-0.0279578234015219	-0.0708006162194401	-0.107489740473692	0.277497321219844	-0.135507228236078	-0.172516548478722	0.119886360045527	0.15049228702004	0.0200744997089615	0.0923340297866169	0.198992168699327	0.0566991804898844	-0.173230091793981	-0.517305650056645	-0.358681805933321	-0.167636763410576	-0.479365464583703	-0.502181880383283	-0.164145192720461	-0.311735574367479	-0.241381338458091	-0.480051439130971	-0.228704414964126	-0.0452975522181323	-0.855020661146346	-0.509542676371703	-1.33100880394314	-0.551782231976212	-2.0696250984283	0.0114178920999013	-0.237616115213514	-0.168342568870615	-0.391336205910514	-0.934833574365982	-0.419102311797758	-0.370795184431392	-0.788859482515061	-0.1655599670379	-0.116110447865212	0.0703829042276709	0.0252222776032927	-0.0989474899999578	-0.0875741559115344	0.437347750442591
Npy	0.00339173609870613	0.0219257338626679	-0.369852087810623	-0.424374633104737	-0.351984270370648	-0.152349887112722	0.387678035358844	-0.22452719393084	-0.178515385419239	-0.804936180610808	0.120747078698953	-0.255202892384675	-0.0592448748232091	-0.366985390225937	-0.135169885833612	-0.106132874139334	-0.20029347856099	0.00932655814664862	-0.0763021738846277	-0.0626636794516031	-0.288408588903099	-0.174078035462816	0.180788470650814	-0.396373533733342	-0.326674735658617	-0.101133541911167	-0.214398463958961	0.236036013820158	-0.0890608676970679	-0.595078815874775	-0.569477272758199	-0.202628709737189	-0.179366415562798	-0.146771373990564	0.061546650814563	0.23934752126182	-0.637532392957086	0.146532701622062	-0.313346229532138	-0.399432402419219	-0.312176101559414	-0.0361985171172119	-0.0938763607064352	-0.021896470102444	-0.264762707233574	0.123330810846891	-0.0744666766279529	-0.349003494084258	0.0275537129962391	-0.0337985326507173	-0.0506945993405914	0.198592413356412	-0.105795047857203	0.0819188786923029	-0.124122909324344	0.206334205190052	0.0496731850000511	0.390613197944576	0.129729002302986	-0.186645877039382	0.361028067026073	0.212324861825236	0.146339932076183	0.141413453341734	0.680374568219676	-0.280794726738225	-0.151981068411668	-0.200145385739846	-0.0402412177234535	0.577277447679849	0.0576622676854246	0.247820488653224	0.353121838437497	0.0613007139402182	-0.595468038175403	-0.609040079907976	-0.408536640555305	-0.315567211539079	-0.674750307265906	-0.519693524847492	-1.06720388231438	-0.18247108507477	-0.532037534007385	-0.420812931210511	-0.579736102784485	-0.418220350246878	-0.42401786550494	-0.813141526411279	0.413495402407131	-1.564606324336	-0.414733315693379	-0.293733155243924	-0.450421315257778	-0.289518256235864	0.417574902798387	-1.02782060026341	-0.763402024324831	-1.33889852125159	-0.242425485567974	-0.154067452856069	0.0855168118836858	-0.171618806614783	-0.138942429776181	0.271872470417931	0.712879165873609
Sst	-0.152885339109766	0.0962481076370505	-0.0948595476379754	-0.581698498133401	-0.361039418877519	0.0432097326004968	0.0344674258165405	-0.550275933024341	0.373338308924442	-0.571856435067083	0.0747916137319837	0.113621372477308	-0.367466700101451	-0.130462550543497	-0.0468803408458989	0.142208732480862	0.0177466574635616	0.107060988174467	0.0744196412491185	0.21714523533684	-0.42209437035322	-0.159124567701943	-0.465642478257832	-0.234572312736912	-0.453679240949207	-0.0688497272403232	-0.20566962213171	0.0228784162590348	-0.140800318544755	-0.307538064661784	-0.464793250350626	0.00671752664251102	-0.0675286744848638	0.149894736867887	-0.16902515690926	-0.212347127434516	-0.113330024084817	-0.171323927570223	-0.181307791070193	0.0104086066950728	-0.0545216484264692	0.0323304258114856	0.187958893388638	-0.24646210145149	-0.0738054702453184	0.0712293238195372	-0.457305481982837	-0.341499484607764	-0.213228644960333	0.0106787061811424	0.619264119710747	0.301814621402103	0.0335016051241102	0.152522337954197	0.213425538330842	-0.222243160971974	-0.210912474522861	-0.113101062634726	0.250251133998068	0.280697038927817	-0.179981417692741	0.00809846602052566	-0.179981417692741	0.149730269206325	-0.302121852239202	-0.486544847085815	-0.117701467228342	0.560244454558605	-0.0952177516389803	0.256724949476235	-0.0952177516389803	-0.0282052264051789	-0.0101872815033026	-0.146344665264317	-0.816090788552817	-0.224502734736504	-0.850782546770146	-0.340917043595999	-0.85215163067735	-0.785063634434422	-1.11645242762859	0.250251133998068	-0.0282052264051789	0.0563031545139037	0.131857128799391	-0.442583527857538	0.0390367956823052	-0.548648444416632	0.0305211018426039	-0.991924634263826	0.516589642981081	0.197682894873433	-0.0335119018354888	0.110402455182561	-0.16563004053946	-0.807588310151106	-0.575881721587368	-1.20810142829011	-0.425371218485544	0.0729457476731508	0.333506030723212	0.191675176826946	0.260507683301441	0.143949918640654	0.0966816780149138
Pvalb	-0.0892627781345663	-0.0936385652875753	-0.136614320620719	-0.320077617826071	-0.270432954692481	0.375639556986794	0.195418007366859	-0.200994991532102	-0.284072152252936	-0.0136461560500898	-0.0320714586319202	-0.248807626932146	0.130839456315089	0.0187254938624726	-0.578042702078752	0.438272184700569	0.41285354760088	-0.328355115077848	-0.134743503926845	0.598857012573889	-0.396150168244484	-0.262850472355614	-0.425621395568049	0.355509773820698	-0.779785034354521	0.250452026272773	0.486216777986082	0.0887020190147023	-0.158007367474131	-0.693935704426819	-0.0864029374510142	-0.246418558249434	0.0303828841623446	-0.0148077733584859	-0.00661283480892827	0.142377374393313	-0.338091113055999	0.0440652810939905	0.348625529870816	0.265612318628522	-0.503527826884814	0.173252259440089	-0.235570662615537	0.117151573110695	-0.120185831997683	-0.375895409086679	-0.157473479218119	-0.2580242752722	-0.44053433085848	-0.0278484525200877	-0.271802554421791	0.396178055600931	0.190701044640109	-0.413988443045875	-0.167393508021863	-0.178312062922126	-0.114992608342138	-0.162568736588428	0.0735713766850044	-0.384583967860193	-0.239661292516756	-0.318214385453158	-0.304522958249503	0.0931852019319379	0.561480525566591	0.149128905757673	0.271394854569399	-0.0693116032342331	-0.120037172864293	0.564271745420294	-0.101605709215436	0.201287766034097	0.285562351411535	0.283067917312911	0.449501605560544	-0.661668681437245	-0.606700661303638	0.117162052118998	0.216388727268606	0.344386318879501	0.163837116878875	-0.171782403807459	-0.0154251959937568	-0.412950736106701	0.0489769642162567	-0.606700661303638	-0.0998399928352534	0.6069772403571	0.222801898742281	0.968698748394139	-0.463667830200283	-0.118347962020323	-0.318214385453158	-0.485055561777944	-0.373075714804424	-0.596229065264763	-0.189174201183246	-0.759830046763748	0.108913078787618	-0.0120452134955382	-0.0853865784393211	-0.412950736106701	-0.341096589915713	-0.0496830336071472	-0.0429361942092914
Nnmt	0.00979704670784365	-0.472202051834514	0.536842635480896	-0.404477895922231	-0.0199129954418931	0.462057254340251	0.194648128574202	-0.081441725293689	0.174316459694968	-0.29701147679414	0.0759957586405831	-0.298664923084772	0.074607410185962	0.0980582482942083	0.094610742121704	-0.11090914691666	-0.0550535866483717	-0.0521388303959638	0.173580182859393	0.0390990821736672	0.102584277341725	-0.0750228186974891	-0.00537367028948843	-0.0917072275067072	0.135700103899429	-0.104750209314266	-0.113218788943489	-0.0872666903442525	0.291922647103304	-0.00602474211542781	-0.122935482574841	-0.030098163666314	0.00226787517494476	0.075633096098878	0.00868258185082826	-0.0432339511176743	0.0744429393671204	0.0416288303320984	-0.158649291776688	-0.181785669860331	0.204301088661933	0.0290809616720979	0.576187771033794	0.187423568311035	-0.277470215800948	0.715520107272263	-0.762476026048689	-0.0757412530433834	0.461089972769301	0.715633261334856	-0.277272719335745	-0.188553420787732	-0.68839735732592	-0.174644449342498	0.35716771797814	0.399681677204354	0.249398203415399	-0.185545841087258	0.158320142798825	0.504671791059584	-0.103051308750424	0.359212230902036	-0.230913478897693	-0.0454681342099601	-0.421210854152823	-0.361201693015746	-0.0541792381570838	-0.193228632101192	-0.317369175809278	-0.342281699284398	0.516678487081929	0.231246542758718	0.112609224676704	-0.193228632101192	-0.32846628575739	0.334597709953735	-0.440645127721279	0.481232877260023	0.216046335007589	-0.146624139829411	0.119147936084899	0.817355241431716	-0.0322619545681526	0.0725432513217861	-0.1004463130668	0.35786717994082	0.491155672278319	0.0456811841647138	-0.146021237770254	-0.44660588101853	-0.282134728884989	0.0922265952149157	0.316232470979187	0.526016793425834	-0.707083279938043	-0.134132592200393	-0.737055897604231	-0.0631328304506464	0.512852924986584	-0.318701288554239	-0.438543606818865	0.24200901871491	0.387432135059502	0.221229362112052	-0.0119846064581974
Cdh13	-0.037575030131265	0.298305229924138	-0.0883246519759879	-0.232334745511867	-0.124961558531375	0.407552178574973	0.187356694862157	-0.192533652068999	0.187084071683858	-0.090790944388031	0.284858209528398	0.167561704674799	-0.835370341250922	0.358883673801463	0.0404489467313187	-0.223975015274448	0.00501434733901363	-0.221999312933013	-0.00214468622532493	0.0511104045211503	0.304560618072363	0.108823455579154	-0.0596867959105261	0.127837144547803	0.227812949299597	0.0675796987793795	0.125303626697775	0.141278165699502	-0.115131834528716	-0.0613079171843545	-0.295684473164682	0.244583295655003	-0.160447625107974	0.34650314712356	-0.0983845374324002	0.107325349598351	0.146704647617414	-0.0862400369708585	-0.115003944991354	-0.384529767597416	0.227114103826295	0.171031030482048	0.18754342722395	-0.567075698522157	0.208583282702776	0.292544870925944	-0.159579549609676	0.490360170720169	0.130672914749605	0.266759472889547	-0.448825399227811	-0.16239827100391	-0.299747983335976	-0.23804370551141	0.272411619425402	-0.360791402158897	-0.00747567754821787	-0.219013820176968	0.124727928351108	0.226308493152898	-0.310402828177468	0.348507231972455	-0.302072498114025	-0.266672954842084	0.335728280820645	-0.492565293937488	0.0519223655696397	0.100176692620749	-0.289736116457519	0.308559429758251	0.145746861174111	-0.0046086500982252	0.0913949480521925	0.155319535258526	-0.25183671219161	0.000930899907539029	-0.186270572659378	-0.050907661098881	0.295450637465462	0.264429788163172	0.0891582427044924	0.360229318095856	0.0833847904333922	0.114547863995327	-0.0292716252679384	-0.437451320767092	0.338053249932161	0.945019596722888	0.461372115489235	0.632526585057716	-0.319974399030288	-0.0399406853272755	0.152849536250626	0.268679246137516	0.780262114133166	-0.353864654780775	-0.240956412665023	-0.303131669697841	0.237983820940395	0.0185870540198732	-0.233962433017956	0.000453561987104223	0.24564665037737	0.0180062620373729	-0.240350803069434
