#2018-01-31 22:40:39: 
#
MANUAL INPUT GENE LIST

#
#Input expression data: 
#C:/AD/files_results/AD_mouse_model_project/mixed_model/random_intercept_include_NA_low_exp_rm//late/mixed_model_results_exp_corrected.Rdata
#
#Input gene ranking lists:
#
geneSymbol	GSE14499_Hippocampus,GFP,rep1	GSE14499_Hippocampus,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep1	GSE14499_Hippocampus,APP,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep3	GSE14499_Hippocampus,APP,GFP,rep4	GSE15056_wt_rep1	GSE15056_wt_rep2	GSE15056_Tg2576_rep1	GSE15056_Tg2576_rep2	GSE1556_12moControl.1	GSE1556_12moControl.2	GSE1556_12moAPPSw.1	GSE1556_12moAPPSw.2	GSE50521_eIF2+_S51A1	GSE50521_eIF2+_S51A2	GSE50521_eIF2+_S51A3	GSE50521_WT1	GSE50521_WT2	GSE50521_WT3	GSE50521_5xFAD;eIF2+_S51A1	GSE50521_5xFAD;eIF2+_S51A2	GSE50521_5xFAD;eIF2+_S51A3	GSE50521_5xFAD1	GSE50521_5xFAD2	GSE50521_5xFAD3	GSE52022_4mon_WT_rep1	GSE52022_4mon_WT_rep2	GSE52022_4mon_5XFAD_rep1	GSE52022_4mon_5XFAD_rep2	GSE53480_WT_rep1	GSE53480_WT_rep2	GSE53480_WT_rep3	GSE53480_WT_rep4	GSE53480_Tg4510_rep1	GSE53480_Tg4510_rep2	GSE53480_Tg4510_rep3	GSE53480_Tg4510_rep4	GSE63617_15m_hp_VH_rep1	GSE63617_15m_hp_VH_rep2	GSE63617_15m_hp_VH_rep3	GSE63617_15m_hp_VH_rep4	GSE63617_15m_hp_VH_rep5	GSE63617_15m_hp_AD11_rep1	GSE63617_15m_hp_AD11_rep2	GSE63617_15m_hp_AD11_rep3	GSE63617_15m_hp_AD11_rep4	GSE63617_15m_hp_AD11_rep5	GSE64398_WT_18m_Hipp_rep1	GSE64398_WT_18m_Hipp_rep2	GSE64398_WT_18m_Hipp_rep3	GSE64398_WT_18m_Hipp_rep4	GSE64398_WT_18m_Hipp_rep5	GSE64398_WT_18m_Hipp_rep6	GSE64398_WT_18m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep1	GSE64398_WT_4m_Hipp_rep2	GSE64398_WT_4m_Hipp_rep3	GSE64398_WT_4m_Hipp_rep4	GSE64398_WT_4m_Hipp_rep5	GSE64398_WT_4m_Hipp_rep6	GSE64398_WT_4m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep8	GSE64398_WT_4m_Hipp_rep9	GSE64398_WT_8m_Hipp_rep1	GSE64398_WT_8m_Hipp_rep10	GSE64398_WT_8m_Hipp_rep2	GSE64398_WT_8m_Hipp_rep3	GSE64398_WT_8m_Hipp_rep4	GSE64398_WT_8m_Hipp_rep5	GSE64398_WT_8m_Hipp_rep6	GSE64398_WT_8m_Hipp_rep7	GSE64398_WT_8m_Hipp_rep8	GSE64398_WT_8m_Hipp_rep9	GSE64398_het_TASTPM_18m_Hipp_rep1	GSE64398_het_TASTPM_18m_Hipp_rep2	GSE64398_het_TASTPM_18m_Hipp_rep3	GSE64398_het_TASTPM_18m_Hipp_rep4	GSE64398_ho_TASTPM_18m_Hipp_rep1	GSE64398_ho_TASTPM_18m_Hipp_rep2	GSE64398_ho_TASTPM_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep1	GSE64398_TAS10_18m_Hipp_rep2	GSE64398_TAS10_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep4	GSE64398_TAU_18m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep1	GSE64398_ho_TASTPM_4m_Hipp_rep2	GSE64398_ho_TASTPM_4m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep4	GSE64398_het_TASTPM_8m_Hipp_rep1	GSE64398_het_TASTPM_8m_Hipp_rep2	GSE64398_het_TASTPM_8m_Hipp_rep3	GSE64398_het_TASTPM_8m_Hipp_rep4	GSE64398_ho_TASTPM_8m_Hipp_rep1	GSE64398_ho_TASTPM_8m_Hipp_rep2	GSE64398_ho_TASTPM_8m_Hipp_rep3	GSE64398_ho_TASTPM_8m_Hipp_rep4	GSE64398_TAS10_8m_Hipp_rep1	GSE64398_TAS10_8m_Hipp_rep2	GSE64398_TAS10_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep1	GSE64398_TAU_8m_Hipp_rep2	GSE64398_TAU_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep4
Cd68	0.808272668369888	0.519639639054879	0.879428123519546	1.48954827789409	1.0074630766656	0.341333171975018	0.168016145826769	0.250299422145987	1.01664827328462	1.37765548318173	0.269432360337765	0.641575664179468	0.938168213977429	1.40757368161744	-1.20876846748882	-1.07329997177792	-1.05220313164125	-1.28176477557732	-0.943015179331509	-1.13529651135261	2.74321276885304	2.71750648688793	2.64766704305475	3.11730199390582	2.75782528858824	2.3881066711558	-0.0909179899819019	-0.60222168051417	2.06256500247175	1.34688024315897	-0.360099219441848	-0.599707716073229	-0.26189130920346	-0.770456223919435	1.91312142465754	2.10350045375897	1.60742629100438	2.31739309457546	0.713905105265725	0.376512927628427	0.475535723681584	0.562471100660639	0.694526087180501	0.621136183236601	0.623533119632173	0.591085932130497	0.651037106792396	0.646252786674318	0.364117463960792	0.394874875324057	0.0262929883871923	0.225542960533726	0.453407443014788	0.121462747844193	0.191782088708496	-0.411739481078675	0.366017159189475	0.331236028341472	0.182418268578731	-0.019277147425484	0.270073188745796	0.13280610672245	0.0155909250731945	-0.0646898557345104	0.254413552691288	-0.132478012136531	0.0370545250639385	0.00408756821988021	0.0492075115917414	-0.00375014700039245	0.407468936947193	0.140650518633826	0.304941677071632	0.257943440703126	1.72580532812858	1.78574526516412	1.93648550291758	2.28478968406188	2.8048168378274	2.46878610367795	2.70790492858737	1.05490026560467	0.960619209357207	0.714750694688705	0.967810959349114	2.68923424654727	0.976082521202265	0.433279701970333	1.23841381184636	0.0695388366625806	1.26422372173909	1.7408724614944	1.25823514994193	0.622371151553839	2.70005584072559	1.99555804454046	2.99398571826634	2.58796349829175	0.240094598034814	0.208223785889794	-0.173998277779091	0.251145429505918	0.265612872924233	0.515235330813026	0.370704671778439
Cd52	2.06437659479064	0.699515278188642	0.428632043765645	1.35886612059738	0.452987371556157	-0.311324002297377	0.428026493961898	0.149752646514886	1.0676716859519	1.2442721817666	0.0476142320844115	0.414985316151352	0.796543584722941	0.713381667070042	-0.219614629175264	-0.237734920280457	-0.176019898443507	-0.10910046499046	-0.193897859089623	-0.201147961644223	2.16946233165115	1.40396315142464	0.901098906852818	0.866725013501594	1.17601313918578	1.11319503665387	-0.151747410016045	-0.954958017286923	2.27283863668317	1.79558931490913	-0.549796834610699	-1.01447860424422	-0.491283917441735	-0.86090007321336	2.12288864926853	1.85970298375651	1.46483700434876	2.70582564645465	0.51777244817514	0.257987385393653	0.904467635094942	0.929652349305155	0.370317127851928	0.47650545935329	0.896562699822663	0.46865168664149	0.70016776909563	0.4096433264656	0.120757683884033	-0.0499070419782246	0.321147880794923	0.748054581530306	0.0504598319772089	-0.0545006504490715	-0.176018919511744	-0.521615467386024	-0.352136796071096	-0.388195079848078	-0.262067356252929	-0.475933857063802	0.19889902714003	-0.22221858425894	-0.639117304964979	0.0377808753018254	-0.267226669757516	0.178441230369595	-0.275745153514849	0.0411583817177004	1.1851082238166	0.049267557338867	-0.328360942323033	-0.385573271490003	0.0678852167966806	-0.224130312873452	1.29570709516342	2.14290703326701	2.0124603413597	2.550538261591	2.78007329033875	2.42964749639032	2.80884059581413	0.752529114638595	0.683726486937326	0.677640137648893	1.120766299757	3.27194145521051	1.33788857753786	0.653935513108639	1.5909268206108	0.628129702482436	1.19579645281845	2.07253411258706	1.19196093876356	0.309316238010521	2.70331599125035	1.90870263931668	3.23528445127504	2.68690500087749	-0.408081099200146	-0.306152734576814	-0.194055592189887	0.275701361905396	0.0390922708977701	-0.0420675674026239	0.233129904621626
Tyrobp	1.09531504025956	0.430712163747522	1.08394553367662	1.33724283791498	0.983277307738936	0.285886014159443	0.382245596802523	0.0102408596785093	0.962755921796898	1.24959442886509	0.136146508973929	0.0122159840894698	0.398986636821575	0.948188680485637	-0.852579811394843	-0.651626044143235	-0.866165710677134	-1.16268372450731	-0.892393116024728	-0.801224802705475	2.02739912105274	2.47306459804548	2.39565699914174	2.4551057990412	2.3549379222787	2.01902196482994	0.0130037408079602	-0.527943619665622	2.30563115001524	1.68067605599656	-0.200189257387697	-0.784697085770819	-0.0735676788921804	-0.742803649187401	1.77832235865759	1.79906902350989	1.69452958099434	2.29695500967216	0.933359794743049	0.280129223440472	0.579079917458325	0.760015834401203	0.424855484485498	0.941938618869461	0.444363309611905	0.509302858264281	0.71389729848214	0.539038570410652	0.178388595123151	0.0502253819394731	0.48053611037064	0.344074646876011	0.457835851247637	0.111895681939874	0.017704608948776	0.0293130268215602	-0.0028655261202335	0.0968972264603671	0.18975328146222	-0.0837997030678554	0.344074646876011	0.0962725610463231	-0.00471074221915302	-0.137911921257709	-0.141292102856807	0.328187871661468	-0.551815836683119	0.2109383288205	0.184370397339601	0.181406171575441	-0.110625738302959	-0.0885783660559802	0.250411908106475	0.0678679914158788	1.48750274988064	1.91710010432833	2.05350779135861	2.11347900102996	2.56874765175634	2.30292932635527	2.20152353401851	0.859164691502432	0.59808932419063	0.511026353723482	0.794642141174073	2.54282044777275	1.0588609424474	0.337687470248163	1.14719242788559	0.54203764486425	1.32747367978873	1.80337108900809	0.943449666709826	0.409820920979476	2.85207534256401	1.98256669913541	2.67060066249615	2.47619734984645	-0.0617159595895966	-0.334483994815962	-0.0118438195762636	-0.0247280814246587	0.0897878949128099	0.0727532094973196	0.287504696644518
C1qc	1.35199486638698	0.335471683339989	0.627696357139701	1.11968055234314	1.40649478314414	-0.147972839588562	0.661446136925637	0.373881296649666	1.01768280047776	0.907019851422735	1.32423059635404	0.787272282480659	0.0882006270173719	0.59294720479609	-1.1049625891126	-1.02699517708491	-0.852330481042292	-1.148151906348	-1.11385335823541	-0.918763215095175	1.77355606834225	2.10655799186986	2.22338040686099	2.02186828772712	2.09960427175817	2.10130422311626	0.0506793384005579	-0.467355609478691	1.38731309395216	1.17972366323614	-0.497086487442399	-0.960335846203819	-0.372642618537999	-0.869020265737581	1.63036697093353	1.96053717520723	1.36617084775595	2.0589732822505	0.306994124820106	0.832624308896529	0.616018626914572	0.733631756331775	0.394573042226893	0.647545649192848	0.398786544064016	0.500813673433349	0.629223276866959	0.499369537352178	0.37892639914114	0.268224033160005	0.257656618710435	0.424986063667108	0.522880769791275	0.211696808010689	0.176578114477888	0.0572367620657257	0.116034180986247	0.0184482028207142	-0.0735604390036002	0.049223724174503	0.168695146174699	-0.0700391372974991	-0.115671807211704	-0.175507255986268	-0.133322599873182	-0.0509429302999305	-0.148324279196309	-0.133322599873182	0.155719805582468	0.071899478693755	0.0351937212955296	-0.160864890646589	-0.0863907050827972	-0.202773689690051	1.36884016366622	1.83103695994941	1.72159255050954	1.97448239716998	2.33486588283878	2.1567717788105	2.32935304302874	0.495132833546972	0.622198090494008	0.600850984340932	0.767589107440909	2.62031419876688	0.963686007528366	0.54339498462897	1.25524115687043	0.39163792324646	0.965692981418835	1.47960487472979	1.00151126612242	0.328502535740817	2.35370004329655	1.85396623791399	2.66605270363441	2.40212280177407	-0.0247770955874174	-0.120238554915412	-0.0400962058099648	0.254337963449547	0.150122787855576	0.0538795346016645	0.166618711747601
H2-Ab1	2.06048623838382	0.909699683898094	1.33141414156905	1.20794717369662	0.902547978912061	-3.8182889777567	-0.490977735014126	-0.438407069009595	0.356632545512899	1.09839017904449	-0.180613887987942	-0.166491161898062	0.569203891995812	0.0318952666212207	-0.0924534440697178	-0.387489060271499	0.337709196449898	0.130588822968063	-0.0275986680455338	-0.344231324654285	-0.251787591227536	0.0200991522597285	0.271524698621628	0.938947878581256	0.626428111650584	0.596541367461892	0.0137027214353349	0.125021501227698	0.326476798473974	-0.152159765637239	-0.355968247385648	0.436915358007581	-0.311238872704235	-0.221242402566596	0.210187476731957	0.134543733443042	1.06387583521733	0.38318460197724	-0.604827112457708	-0.148787941560242	1.28710631324095	0.847571528733066	0.39224369789264	-0.17759789313072	0.722123151304229	-0.638432092290568	-0.5665922848358	0.607137943658233	0.0418665712962776	-0.475205858723766	0.626323783567601	0.136540062191201	-0.669235703226399	-1.24481383213792	-0.0519090100997381	-1.31782534239295	-0.807375854003983	0.142130478298022	-0.720042994253102	0.570049851311998	0.493567372136761	-0.264501731304215	-0.174563863152742	0.815706527305498	-0.730957931656192	1.44171875214723	-0.482277076776229	0.329252832606519	1.98667093561309	-0.682840281886268	0.0167182006015301	-1.63714843852075	-0.424547370978106	0.311981787424654	0.815050797484238	2.38364134236057	1.50171686992711	1.59987374820313	1.13281739633211	0.892211736216626	2.5949732209051	0.641470941179313	0.359049781250023	0.0535479929376974	0.419112472159128	1.79459644900472	-0.658554360619241	0.875146010055464	-0.604025134086139	0.60199978328852	-0.715641469810676	0.443055053221869	-0.0306551563149595	-0.937057689758486	0.455062974127687	0.60491288701428	1.08332554160571	0.838882226812673	-1.05558955596082	-0.114355190521269	0.486231941297378	-0.591543441773457	-1.05236473070429	0.340607515444237	-0.265220552061121
Ccl6	0.604506696613774	0.734969098350758	0.753337943975199	0.386192649349692	0.761316702318576	0.44368607444138	-0.180076831016772	0.136523824030786	1.02449749979703	1.80039411042282	0.562396683838965	0.411991942367704	0.078511747571735	0.104610595151173	-0.750415328998934	-0.86641471287426	-0.662308964643644	-1.10328201263776	-0.983087172895297	-0.638254063713021	0.797515021677423	2.66528895571688	2.58921392064415	1.60499704909356	2.45650092135854	0.860202179211917	-0.818064218182892	-0.966787331911179	2.86963385065782	1.57021539429929	-0.926684964619733	-1.30878366998468	-0.991519183418354	-1.16689655841484	2.40327245878282	1.73957419066042	1.36390847782444	3.08037864414274	0.560748428724377	0.145476654177756	0.610946451434222	0.549773994649371	0.253349084241452	0.738310070693438	0.158320940738237	0.498445678282247	0.5010190477988	0.50487385835392	0.168022973727536	0.0595200022546809	0.415247389780955	0.174738855485848	0.0595200022546809	0.251018414858629	-0.041961161486773	0.842674524505505	0.381343335610411	0.238476596162702	0.0590781084937255	0.262557638722038	0.415247389780955	-0.00138355770462528	0.349633616956543	0.579882038984619	0.130896306202405	0.141293504686354	0.431959804401425	0.200604457569143	-0.208065730626066	0.0742052544781586	0.255732859472516	0.462614269666703	0.874106278792823	0.214928981851473	0.539489818083818	0.891997132861275	1.00727705568876	1.15478596869934	1.31536462548118	1.08654627712068	1.01876048369819	0.281516766830675	0.386534607546936	0.215422342989642	0.675622886616442	1.15600318776723	0.652276823756809	0.459236803217433	0.714813764127593	0.426759102373306	0.961495570772071	1.72029484752104	0.481438192014259	-0.152508000650687	1.93779168210207	1.16669104665025	1.76882176992331	1.70771637000329	0.14243802340985	-0.344043629759732	0.445074296731788	0.201640990953508	0.0790542395445897	0.49400560785519	0.379262930893662
Ly86	1.0485624943973	0.539543349575348	1.03680843890285	1.1219028693403	1.08910117446593	-0.163423648354811	0.284684802696621	0.24802122434436	0.830010263214984	0.664776140646548	0.382635267504653	-0.22638960601468	0.544914212846119	0.805226990470873	-0.96402223881967	-0.465538761224581	-0.565461488049175	-0.618208167833044	-0.548281022085156	-0.48571567064479	1.24087134489652	2.10075189797957	2.14362392981443	2.02134763593118	1.94618642291315	1.52104368388633	0.02166914745127	-0.592310778911322	1.71889682464852	1.25832504938156	-0.101363365371263	-0.612040410452048	-0.119731250806055	-0.624052769125775	1.40303162408343	1.50933269702101	1.13495085061203	1.7935312967246	0.547205057043369	0.399709494385304	0.513396322224427	0.805619313026433	0.283385637784013	0.703415181987966	0.1676483494641	0.76356556442961	0.604903186781291	0.501915887204595	0.355980824730468	0.0346546893722213	0.607991674265913	0.436219222938412	0.299380833500939	0.135598598413766	0.00736069811346773	-0.155551446530611	0.128232894818982	-0.104564289845753	-0.0414539157400462	-0.15613947963892	0.174262374956212	0.0106309402052496	-0.15279345112079	-0.195513350290478	-0.17871942240439	0.293161923348425	-0.345604627415169	0.177019973801622	0.28761884514844	-0.102848345459329	-0.17459239281003	-0.171136180755044	-0.17705709844223	-0.143456074256846	1.23403712955829	1.84902013782229	1.90278679730167	1.76672038156832	2.24424569928882	1.96802051573322	2.20564972156146	0.503682071047209	0.519825662478747	0.448655011541115	0.932773251272247	2.41482368263782	0.880600504365939	0.0737880288630635	1.16043550718656	0.412134467515564	1.34160096650234	1.5130583507493	0.838374693927745	0.198968278421374	2.54044973635955	1.79613231087014	2.45104711000911	2.3038831125597	-0.301311091839359	-0.361552018873455	0.0863379430322979	0.17876750675247	0.156846370800521	0.0932450950341774	0.0399708385164619
Slc11a1	1.20091678168993	0.709946081926939	0.674664930951012	0.957783849517158	0.527634551973216	-0.0393135553716508	0.305786833393517	0.244563654073509	0.52045872239363	0.503885961014443	0.212525802146581	0.483783253395614	0.664380876528849	0.391748795682052	-0.843238312561234	-0.843238312561234	-0.670919876176144	-0.811828523667128	-0.802816248642602	-0.941036138494197	1.50055537409665	2.23705846683075	2.11274245891563	2.03834335388083	2.31425352101727	1.76399455484766	0.134485625317408	-0.222173031611508	1.03046002827779	0.794162376921348	0.0380962835974188	-0.434339395301039	-0.25953140839134	-0.0609806559093737	1.25084859625913	1.22845472478534	1.00650352672021	1.40076467872048	0.522258444024147	0.402090651745802	0.496327323419672	0.623126537414441	0.309932613428118	0.347028418813299	0.481208305764995	0.567403366469441	0.468649673602441	0.427895244058258	0.29827779688817	0.343730549269673	0.3281879626844	0.127708199160026	0.251473005980923	0.283186171262787	0.137723823316698	-0.708808475146759	-0.0183518353837142	0.135013196811441	-0.472484094356493	-0.0608571898728059	0.0200166264238861	-0.209664124910664	-0.188240516171919	-0.1564191985217	0.0267506211013036	0.194758568293379	-0.109998086838737	-0.0176053408953303	0.449939824011689	-0.073773943419936	-0.148047248682205	-0.201543538946058	0.0865652374671075	-0.111275971782583	1.19906331085992	1.53604038944412	1.57660153892269	1.54224482075906	2.2310264267164	2.13801939688729	2.02348112976361	0.700433208314252	0.589538085410509	0.835787987394128	0.767873117502485	2.49468745877754	0.881632847720122	0.554803850211884	1.01115043036241	0.189723281980894	0.924879665095518	1.42919141374923	1.00538495645718	0.405454696196705	2.39065482004367	1.71972881569396	2.5236200945017	2.19804799154858	-0.0628499750351947	-0.130486094652282	-0.0448795575077243	0.14655751829646	0.0593297469207474	0.109822357338792	-0.0266698031829788
Ctsz	1.01903772901293	0.158314544975889	0.347159808535356	1.18670222033325	0.729186514050483	0.269297323465153	0.153377787940913	0.223570909814891	0.639807876911894	0.813633017334919	0.219127866684672	0.0820990475016092	0.362868546548049	0.596009768678604	-0.256736635560021	-0.440061741435724	-0.567907476633062	-0.498307287871796	-0.674383504377221	-0.631867887434302	1.54934565240425	1.40247191747141	1.51380877843214	1.51843330430332	1.51228763618462	1.25701480617434	-0.402680297513317	-0.268005081528381	1.54038078192336	1.08040505381419	-0.255685660854521	-0.541193601911166	0.0739083455574239	-0.47486288627111	1.18053894546812	1.24906105422805	1.20806853057901	1.42480373777982	0.0595235187998071	0.36442994952713	0.818098444904821	0.66170191957743	0.658488494414323	0.312289302997145	0.351160941557781	0.227522572592184	0.594658115064837	0.602456144353813	-0.319749903608392	-0.0399747072115009	0.398912059547694	0.406060976050121	0.613994028456579	-0.00836084252586389	-0.291449960426937	-0.337322107679898	-0.126229673288696	-0.155783603703807	-0.157090402531637	-0.02485592356566	0.203965690880363	-0.0843060285746251	-0.12020513253159	0.251352186215348	-0.291449960426937	0.465118804633322	-0.186807149459627	0.154418151557124	0.383634194889902	0.256801017269096	-0.264856276111345	-0.173137930590011	-0.170448830319518	0.137784825735329	0.777657820699636	1.21670969722455	1.27054462190187	1.6738703703258	1.87451425064403	1.81537308829862	1.88997451943375	0.214025428449919	0.322068807513427	0.249519509992128	0.460144881238863	1.89447476853147	0.753628265384421	0.384871725635884	0.897061918046775	0.578433448859455	0.872977712661298	1.22643099655475	0.787824307278173	-0.0235877182648085	2.23863846390747	1.42196648129422	2.16773445419915	2.09937547224497	-0.0442115055683008	-0.00510160380913227	0.415263661879097	0.0179212402394047	-0.133038636521915	0.215865823048043	-0.137132543164233
Lag3	1.44455930396529	0.0195975651966442	0.464812308536964	0.931269602422423	0.766083209285632	-0.174026358681092	0.347677039962878	-0.287009652973063	0.415592942073536	0.808316677902654	0.405688863696745	-0.0826437930117825	0.711402280789434	0.503999392888728	-0.557054929272272	-0.597646264713033	-0.77869528404258	-0.451992426815672	-0.585872033169597	-0.255803661394276	0.866205098350688	1.43815231496667	1.67799146509187	1.39568732312408	1.78413012879584	1.34652463865199	0.0661138016522367	0.351561353686392	0.434619200501665	0.421767035159609	0.149707865799962	-0.0777584538185687	0.0645010528433891	-0.162807156068276	0.80642736978668	0.78268928766151	0.571736152345737	0.953826619801581	0.283571712160404	0.355141003352765	0.388906897411958	0.478285231341953	0.122367329104721	0.291988209331731	0.395440175645073	0.585178802052917	0.545699544018631	0.391777125348288	0.182590516170995	0.17873439598405	0.0837930250732377	0.224124383079491	0.797471902291996	0.558314893753343	0.4805538836177	-0.87237544716767	-0.0497806018613298	-0.142261326461405	-0.161594283130855	-0.0228164289005246	-0.398671491694176	0.108469883523723	-0.17648086114704	-0.33994544914211	0.0415974187925805	-0.0153017405969633	-0.371428937244845	-0.00905432077810087	-0.00974186523458176	-0.24295192445164	0.158311711672102	-0.246016659548354	-0.34982358386786	-0.0461124576280731	0.900163724841045	1.14336744548346	1.55432464223986	1.43609943779803	2.23751608514125	1.97191941901068	2.13425810640794	0.267538178954459	0.412140062275292	0.76393802338548	0.365730919580823	2.47180960812631	0.101337911655778	-0.129920530777455	0.868645732304524	-0.223815643950619	0.354457940279932	0.968904427031074	0.164636492138976	0.251176249284908	1.96804187836476	1.12200444862496	2.23872916489675	2.08045164840245	0.229680376889944	0.234789046256283	0.136391194230605	0.54451106748019	0.315777370248854	0.0346159317884585	-0.0847931786918625
