#2018-01-31 22:40:42: 
#
MANUAL INPUT GENE LIST

#
#Input expression data: 
#C:/AD/files_results/AD_mouse_model_project/mixed_model/random_intercept_include_NA_low_exp_rm//late/mixed_model_results_exp_corrected.Rdata
#
#Input gene ranking lists:
#
geneSymbol	GSE14499_Hippocampus,GFP,rep1	GSE14499_Hippocampus,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep1	GSE14499_Hippocampus,APP,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep3	GSE14499_Hippocampus,APP,GFP,rep4	GSE15056_wt_rep1	GSE15056_wt_rep2	GSE15056_Tg2576_rep1	GSE15056_Tg2576_rep2	GSE1556_12moControl.1	GSE1556_12moControl.2	GSE1556_12moAPPSw.1	GSE1556_12moAPPSw.2	GSE50521_eIF2+_S51A1	GSE50521_eIF2+_S51A2	GSE50521_eIF2+_S51A3	GSE50521_WT1	GSE50521_WT2	GSE50521_WT3	GSE50521_5xFAD;eIF2+_S51A1	GSE50521_5xFAD;eIF2+_S51A2	GSE50521_5xFAD;eIF2+_S51A3	GSE50521_5xFAD1	GSE50521_5xFAD2	GSE50521_5xFAD3	GSE52022_4mon_WT_rep1	GSE52022_4mon_WT_rep2	GSE52022_4mon_5XFAD_rep1	GSE52022_4mon_5XFAD_rep2	GSE53480_WT_rep1	GSE53480_WT_rep2	GSE53480_WT_rep3	GSE53480_WT_rep4	GSE53480_Tg4510_rep1	GSE53480_Tg4510_rep2	GSE53480_Tg4510_rep3	GSE53480_Tg4510_rep4	GSE63617_15m_hp_VH_rep1	GSE63617_15m_hp_VH_rep2	GSE63617_15m_hp_VH_rep3	GSE63617_15m_hp_VH_rep4	GSE63617_15m_hp_VH_rep5	GSE63617_15m_hp_AD11_rep1	GSE63617_15m_hp_AD11_rep2	GSE63617_15m_hp_AD11_rep3	GSE63617_15m_hp_AD11_rep4	GSE63617_15m_hp_AD11_rep5	GSE64398_WT_18m_Hipp_rep1	GSE64398_WT_18m_Hipp_rep2	GSE64398_WT_18m_Hipp_rep3	GSE64398_WT_18m_Hipp_rep4	GSE64398_WT_18m_Hipp_rep5	GSE64398_WT_18m_Hipp_rep6	GSE64398_WT_18m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep1	GSE64398_WT_4m_Hipp_rep2	GSE64398_WT_4m_Hipp_rep3	GSE64398_WT_4m_Hipp_rep4	GSE64398_WT_4m_Hipp_rep5	GSE64398_WT_4m_Hipp_rep6	GSE64398_WT_4m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep8	GSE64398_WT_4m_Hipp_rep9	GSE64398_WT_8m_Hipp_rep1	GSE64398_WT_8m_Hipp_rep10	GSE64398_WT_8m_Hipp_rep2	GSE64398_WT_8m_Hipp_rep3	GSE64398_WT_8m_Hipp_rep4	GSE64398_WT_8m_Hipp_rep5	GSE64398_WT_8m_Hipp_rep6	GSE64398_WT_8m_Hipp_rep7	GSE64398_WT_8m_Hipp_rep8	GSE64398_WT_8m_Hipp_rep9	GSE64398_het_TASTPM_18m_Hipp_rep1	GSE64398_het_TASTPM_18m_Hipp_rep2	GSE64398_het_TASTPM_18m_Hipp_rep3	GSE64398_het_TASTPM_18m_Hipp_rep4	GSE64398_ho_TASTPM_18m_Hipp_rep1	GSE64398_ho_TASTPM_18m_Hipp_rep2	GSE64398_ho_TASTPM_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep1	GSE64398_TAS10_18m_Hipp_rep2	GSE64398_TAS10_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep4	GSE64398_TAU_18m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep1	GSE64398_ho_TASTPM_4m_Hipp_rep2	GSE64398_ho_TASTPM_4m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep4	GSE64398_het_TASTPM_8m_Hipp_rep1	GSE64398_het_TASTPM_8m_Hipp_rep2	GSE64398_het_TASTPM_8m_Hipp_rep3	GSE64398_het_TASTPM_8m_Hipp_rep4	GSE64398_ho_TASTPM_8m_Hipp_rep1	GSE64398_ho_TASTPM_8m_Hipp_rep2	GSE64398_ho_TASTPM_8m_Hipp_rep3	GSE64398_ho_TASTPM_8m_Hipp_rep4	GSE64398_TAS10_8m_Hipp_rep1	GSE64398_TAS10_8m_Hipp_rep2	GSE64398_TAS10_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep1	GSE64398_TAU_8m_Hipp_rep2	GSE64398_TAU_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep4
Dcn	0.320597417127628	0.796013785636768	0.663042505365709	-1.46883770082356	-0.306647414676707	0.409275593581466	-0.730079684196818	-0.302139229977417	-0.220680240815486	0.0641879225686228	-1.01800041818711	0.18747098656489	0.32537719054138	0.56327615209328	0.321156247552123	-1.31232181203726	0.315946978736681	0.72041411838779	0.231717351680739	-0.190485431768291	0.858647973013287	-0.659126883203136	-0.0268534101388713	0.184286819951632	0.667671463480936	0.116031105985362	0.543001797347861	-0.554208107938775	0.628740687148161	-0.102475327095995	-1.84834781548933	0.886312784224829	-0.241618688522287	0.509634524285914	0.294657747343756	0.0105169633555899	1.14924712750998	-0.638698630782633	-0.466432573142674	0.226969187876255	0.727325068231734	0.25550426984487	0.978624634310346	-0.225845955008822	0.123900575997265	0.560575560753232	-2.92862551465137	0.685450991307746	1.04048162074422	0.508927015865702	0.395579535392807	-0.0241488951799305	-0.652779367417992	-0.78522023237104	0.790280375230001	0.0869358263368909	-0.0402944195425246	-0.341117218392018	0.229368521555102	1.14491126902153	-0.478413785024085	0.492751792022851	-0.477627691489101	0.260889912656937	-1.48667247673181	0.471704123767534	-0.405559267055468	0.0421841202012825	-0.100739019993771	-1.09776355020809	0.604689622479615	-0.0157226108032198	-0.466187351444679	-0.0535132401695044	-1.56011533477439	0.274361508028576	-0.867060453295021	0.931859832362179	0.0681557787779159	0.234124418981317	0.461152146362917	1.09120411018449	1.02604867814869	0.477947253489519	0.323624882684472	0.320425632188565	0.805453408825286	0.483557512913841	-0.858679494340551	-0.0208735953568358	-0.855214481961461	0.293355016137715	0.704789612882866	1.16317706524823	-1.80596394179115	0.0273193991781682	-1.22763635154451	-0.92192018299162	0.369137555225485	-0.335161952839696	-0.120369334623707	0.721611391776923	0.791464001801186	0.693215286255761	-0.242218066268929
Rspo2	-0.071847260702075	-0.156840868467691	0.310476613924711	-0.706406193487719	0.0530002753013488	0.103093841782522	0.200659734408204	0.179375547555143	-1.05509995557938	0.179375547555143	-0.258964474016585	-0.478906932077225	-0.301529679409481	0.10821770432505	0.00170170491350063	-0.0257234115885545	0.243133775131742	-0.185258484945171	0.156226198598194	0.336561163697853	-0.121294804190924	-0.561877411667803	-0.471456984290022	-0.0344750698975744	-0.291493935482667	-0.323827725097043	0.44205132517647	-0.328820102387237	0.277710134938456	-0.407686208707366	-0.715036133272733	0.42057067770153	-0.214781439178056	0.82126482221414	-0.130352399627384	-0.428140199829619	0.125109052646149	-0.394199101693278	-0.481670244077023	-0.0262068778590461	-0.171362400392516	0.452415930879649	0.429000839053749	-0.563771720398135	0.137964412863871	0.124535663998634	-1.05465311576544	0.375985988783938	0.239239958142353	0.217790751417164	-0.403576344840339	0.420932726304457	0.0975019539779947	-0.566216980062855	0.232440262750513	-0.0291479732079107	0.387300541650728	-0.182871267612896	0.225150592639034	0.105032165200997	-0.642837345109514	0.399601282365948	-0.20910394355384	-0.072474632671204	-0.505974702221853	-1.35089546971111	0.136936804013382	0.312698322580033	-0.201726735737724	0.121998441339596	0.380183640055366	0.130684627167934	-0.114099599828211	0.303889834585453	-0.791242548740867	0.106236574216265	-0.703628233616055	0.0307785393489954	0.312145942176581	0.426171808936695	-0.090523745103896	0.611422193186408	0.266114342309701	0.689735252292461	0.615551428283846	-0.610239860037658	0.427925935115193	-1.6013382529538	-0.282086046204686	-2.55439656121864	-0.293846881451088	0.0673174772119332	0.150095701893102	0.305028884100821	-1.98042828811065	-0.229260233390455	-0.601663374790892	-0.905634997222849	0.557143600919897	0.302138049896859	0.264242357171593	0.13188227042391	0.206886421692518	0.230623067794321	-0.272510699140204
Fezf2	-0.620158476145091	0.320744455051321	-0.327146686424957	-0.621191097936094	0.00491587554608941	0.149780452111282	-0.122745530954028	-0.501808952551438	-0.155868898513995	-0.236338621389573	-0.535845190512523	-0.827395525831834	0.462697160515429	0.466825998419932	-0.0936769990875916	0.0866428641810941	0.213993141133193	-0.0451154745325901	-0.0387555116878282	0.293129263984076	-0.380036257488229	-0.246927724415677	-0.329959620651392	-0.178788928753427	-0.576883564482447	-0.186131459036757	0.06909674145815	-0.158765811108971	-0.0902311919332703	-0.270371321078095	0.0492222016545032	0.0977386419674708	0.045721953013766	0.0889000194503762	-0.386601090895217	-0.0196412748944947	-0.570640153181504	-0.442643071788959	-0.0267275387615804	0.264191476044033	-0.385069285942738	-0.105188999617546	-0.0043257714630851	-0.578933831360971	-0.203457359807748	0.0972583638837001	-0.677918692489134	-0.232042787517718	0.417301348587939	0.432858984974098	-0.313693965569048	-0.0993402795719245	-0.197577941507928	-0.048291608121696	0.230628618170213	-0.0338611492006624	0.330763197313964	0.24699430922829	0.285548871973843	0.121756706674866	-0.101908491066554	0.203707028052232	0.043582245329512	0.206429036223239	-0.0424946838502525	-1.08240019263744	0.280745651449628	-0.140381855697592	-0.208712502353675	-0.239300292040786	0.11226811900598	0.535860341674338	0.440195728630346	0.555521084587967	-0.943670533340519	-0.492359009343485	-0.446240889608797	-0.179321305971992	0.125817290245861	-0.218300036455805	-0.137795112369758	0.311573315631199	-0.369776915215549	0.171002219858408	0.00356153574895224	-0.729786226598822	-0.00313860794400078	-1.50435324894278	-0.541041187758383	-3.16959071706376	-0.50920754219244	-0.00843441117591581	0.288134598776379	0.4014455061346	-2.25140281388465	-0.908963955876859	-0.453711349729231	-0.649290260452462	0.947519383393086	0.216486566105651	-0.23545782894646	-0.00510612372700159	0.0944822344836709	0.385075212949316	-0.115236338358185
Nr4a2	-0.384372181390026	0.174185541444238	-0.754047705835942	-0.404393958518959	-0.0499592992367024	-0.254185372772135	-0.259980743540005	0.025565451246381	0.313352001767385	-0.958073364430966	-1.15172147181328	0.150235797472536	-0.249370104264527	0.253543705244986	0.0261572027233523	0.133988878234234	-0.0258743172344165	-0.257163632882103	-0.252561252807389	0.124227245606148	-0.298358390415196	-0.514413281039706	-0.669934042013827	-0.121898373848948	-0.483517528721707	0.297022454495991	0.734017419149303	-0.436838429683863	-0.254222961723693	-0.687620313291051	0.284354388776629	0.349018149948762	-0.210102694875438	0.355011205922795	-0.846956172066131	-0.437124340470035	-0.367390714423239	-0.709910470787317	-0.10249883957081	0.755552064268283	-0.486949036408085	-0.0629072778238697	0.214643018326512	-0.688933840039322	0.306002176695676	-0.533242710174312	-1.16937744762771	-0.166723892250833	-0.450958403512434	-0.0877185991253899	-0.420263418323344	-0.0341594177812556	0.192854449129198	-0.429716924042937	-0.140546160484751	-0.0622706864367881	-0.111621858889974	0.068099519127232	0.713584069895809	0.108760354809531	-0.266266878557106	0.471344197451	-0.140546160484751	0.814784737465702	-0.158122468094037	-0.620918903186821	0.0998966978700935	0.195802258550493	-0.3149114185586	-0.39879276483698	-0.180337702973464	0.432590645184089	0.353175557699437	0.670272793016606	-1.41953108007957	-0.857855701476593	-0.246025160334385	-0.29868285276369	0.156585008380578	0.0338683170230141	-0.163246021627955	0.0152944211090471	-0.0633496321086096	-0.279652203099316	-0.100396567715318	-1.45011136520308	0.00748216705757798	-1.5387234197453	-0.654475954038494	-1.12576873545364	-0.446751808976009	-0.489824692774194	-0.359227834944198	-0.0382588290061499	-0.448607414197168	-0.684857437437195	-0.742459845018216	-1.309678490191	0.0467326138684658	-0.190500214258781	-0.055013313021643	-0.575110383070218	0.0793762718916415	0.617100877272307	-0.0923088845610298
Npr3	0.298334691927859	1.26278348296154	0.621587991133121	-1.35827314589468	-1.10875077404966	-1.00478295195144	-0.121650671559578	-0.16562407732481	0.073085467248136	-0.538534836145032	-0.817113062204314	-0.119126431787721	-0.0770944986939526	0.249375086823706	0.216997927857745	-0.168786671472946	0.699242471909223	0.321757353262248	-0.217073689015097	-0.271121749847719	-0.185684002909296	-0.575986974574322	0.0435484555401171	-0.420544954522974	-0.150633502491742	-0.39917517849794	-0.0551542825064804	-0.112217599131787	-0.157705958807271	-0.309389499611494	-0.126094863351951	0.558301253862236	0.0306420034901977	0.16497305639629	-0.446488899821631	-1.14713930625943	0.432224962121287	-0.811036359392924	-0.16133915613249	0.051748636360804	-0.0503057859047287	-0.658120637183026	0.0752244563465716	0.210485716430375	0.209050784983381	-0.126915349527006	-0.861115336116118	-0.171286197953942	0.0377669898448456	-0.0608223286512111	0.407040097865153	-0.425285750394933	-0.0948946666630039	-0.0225846367304516	0.0239133021637752	-0.225296469791276	-0.0207731954548294	0.00819384929964606	-0.139433847809842	-0.124438982735112	0.0999272423823001	0.141357809385026	0.300274517065695	0.415164240244284	-0.179628708701346	-0.227909394736249	-0.0955433523223608	-0.187744270567633	-0.0935796021408297	-0.299411406966236	0.0579133308043822	0.206836256850881	0.116828438702655	-0.254146117895168	-0.44510027510497	-0.228602565244435	-0.329718955187937	-0.166918863716022	-0.716831130102099	-0.464361823872	-0.277583476802338	0.0365274993590621	-0.00413986963303437	-0.0788015769336408	0.326454595769784	-0.530966846873647	-0.256735422859647	-0.538063682678969	-0.586002936440955	-1.24621718068467	0.0660321797538188	-0.29749550206132	0.291933877198575	0.0567089217891148	-1.70778905211679	0.23969155726947	-0.913201462891925	-0.781453701300669	-0.028278946725715	-0.301385271260253	0.0208382815335977	0.243814873606198	0.157930412692268	0.0666694098696325	0.17500724059088
Ldb2	-0.351050288230999	0.0361955526288593	0.226653434523151	-0.524235258500704	-0.208338901886265	-0.372796263290203	-0.249288157226639	-0.123217564081706	-0.426942986740064	-0.0579316240025065	-0.667315172559483	-0.118991429166956	-0.103583289493367	0.326944808330961	-0.0840509439206603	0.0950449366129344	-0.0892838911599565	-0.116961333792949	-0.0260028789176392	0.401454637888991	-0.123328254813915	-0.647502379949334	-0.582060015384029	-0.000789974834942697	-0.291374027775765	-0.355601137596354	0.287394220648011	-0.252079806598596	-0.290809015814199	-0.348986256170532	-0.712213132890366	0.677219409293636	-0.243527967431165	0.603201075349387	-0.33371281046491	-0.566600206542057	-0.239034809441197	-0.42781228202762	-0.171646215082598	0.254718601850985	-0.315418542276205	0.0207690727207286	0.112181653502272	-0.313086437456938	-0.00839168938357293	-0.220655537023884	-0.70474371717712	-0.404834347110436	-0.198275295487033	0.254241263478374	-0.248377760692494	0.0163544353429934	0.0776205898428017	-0.576501290694535	0.208951026324122	-0.0245881292148677	0.00826427518823536	0.117208830958901	0.441389573328383	-0.0439086321610294	-0.355471292814563	0.384766695794889	-0.19350517776658	0.116514676976475	0.309437062440486	-1.59717898718643	0.24073338800993	-0.00158251744855775	-0.202577078601538	0.565548294602763	0.061948654592566	0.58356358910471	0.340646990687029	0.747644978234637	-1.92893358061741	-0.955762615033663	-0.829066644185378	-0.273735651278814	-0.226693324554457	0.087938546850749	-0.296701230791809	0.154773106020984	-0.326865635863006	-0.123209986160624	-0.0333966289661234	-0.963447923449747	-0.0474783303418391	-0.413234779679804	0.0474569469612387	-0.32101060482711	-0.699921314623847	-0.286956477340402	-0.1389179875259	0.0649287520759021	-0.636649407576982	-0.927506170798777	-0.735907965692785	-1.41873181149736	0.379922865292706	0.0233452266144951	0.406224480102109	-0.182744712673941	0.080460594758291	0.167120686114368	-0.49293448117006
Bdnf	0.136487382966308	-0.115461361614646	-0.294533136893014	0.278202835066171	-1.01062728687292	0.109108718022794	-0.0999781427252451	-0.264449304597793	0.0607589614708619	-0.0738097472770907	0.0976292312081437	-0.314570280226278	-0.0860827349117503	0.0222188042989107	-0.106438641986729	-0.283763675579294	-0.0266577755147184	-0.155186850063533	-0.169268387666207	-0.0918842492117617	-0.195211863834654	-0.227561799738096	0.17360857403603	-0.196916984012026	-0.0643590812218529	-0.290655340868857	-1.04588700307255	0.563341531072838	-0.0380844094487287	0.0882748597185561	-0.280382420183074	-0.0809197888564466	-0.214117906972904	-0.0859062363710095	0.0890701447374393	0.353411848103136	-0.846703692545319	0.174321633287329	-0.100216146844591	-0.241318504169801	-0.1399464989974	-0.244912959733849	0.293387298673817	0.161905841105103	-0.443969950451571	-0.142360749546961	0.307868841667746	-0.599169549682259	0.0449515379630512	-0.0216004366398401	0.0332299378759942	-0.188073829358753	0.390378656759014	0.496231035537905	-0.0966660920567239	0.598997947546536	0.107407848228979	0.412554740091872	0.283467110191081	-0.0927631567520244	0.444937523945146	0.0311791312140741	0.0674785731400629	0.396636760036772	-0.155475897373895	0.449976565050491	-0.0116476922623114	0.134113161513131	0.268353271065314	-0.259263051322758	-0.124239013782162	0.0285592213230128	0.0173123206425263	-0.285615482109634	0.111321148500092	-0.247345394646379	0.161307469551062	-0.498914489508605	-0.431666985713477	-0.602930981282665	-0.476253955321344	-0.131924182589824	-0.1517518063533	-0.0954610347502243	-0.227979127048666	-0.156124669883994	-0.358545666388542	-1.77819359434299	-0.57848687909997	-1.56389702073949	-0.0600623207444269	-0.121586978083659	-0.366219834673943	-0.181734128727244	-2.2714125985588	-0.18991041726566	-0.405500595868737	-0.476253955321344	-0.232482872836989	-0.0495833451477452	0.338668372676706	0.122655802566982	0.0206940873816492	0.404635440388684	0.631601950285148
Pde1a	0.0724438605162092	0.487993466862772	-1.02080437573218	-0.105090807508017	-0.902407581295632	0.474432463082936	0.0871415621927376	-0.0254766458042841	-0.128417513278665	-0.332993867768067	-0.71350585501334	-0.621383297111565	0.592403439992827	-0.068125194891218	0.143037586354261	-0.159477153229645	0.0722457942310228	-0.0599591978653446	-0.0447992441039062	-0.121055075014905	-0.0622110495217996	-0.2416522739606	-0.159477153229645	-0.121055075014905	-0.133192859114748	-0.270719309214602	-0.58897343817266	-0.0181601910208293	0.180250726102898	-0.017227006449378	0.23595269835975	-0.107180280968009	0.134882493889183	0.0176537565343455	-0.538598491716696	-0.126059681854141	-0.269749513274064	-0.286739983679846	-0.169626353152911	-0.0499332453695196	-0.218183017371807	-0.123292379749756	0.158624715894909	-0.120903092450398	-0.0189336015287687	0.0330654845415292	-0.547306646650725	0.0174440796339965	0.14760385363309	0.331524660831255	-0.251501535077781	-0.210392590778435	-0.527713757441868	-0.585843021015277	-0.173318484420998	-0.0339709265378065	-0.149604435460512	0.368219228163337	0.337319308865879	0.13511612591993	0.0106305729925822	0.697050124208271	0.30771933117977	0.5654627143985	0.381914966448361	-0.255696556575977	-0.0876464752867747	-0.26419634565101	-0.200833358270195	0.0232789162595886	-0.330385947322295	0.4994503494911	0.381914966448361	0.494927754112904	-1.2379765394019	-0.371493832870982	0.0926632100161981	0.252065005003535	0.150636620260999	-0.335693534431556	-0.286752588369847	0.209896154238674	-0.113245366378948	-0.286752588369847	-0.164732634299607	-0.357526755700082	-0.0582792572539645	-1.0731459908395	-0.12328830833648	-1.13347984005176	-0.279635123713955	-0.200833358270195	-0.051650023290204	0.199468223964699	-1.74568240079535	-0.326991448107128	-0.737022420692885	-0.878375834893099	0.265253341287199	-0.33984339649507	0.14760385363309	-0.447555996898551	0.067864710170138	0.365452709800476	-0.103155523168665
Runx1t1	-0.344919496545169	0.132099861831238	0.30168100900341	-0.0130072358693596	0.021151720409474	-0.504029240912672	0.11497010893658	0.0134889919218697	-0.134397815376108	-0.128297769028922	-0.512481000442623	0.789067259274217	-0.37596230118139	-0.286329997180593	0.0665178712802295	0.232405975148188	0.188442406681801	-0.0373045406548229	0.116092190162126	0.0645744759886959	0.122191571522128	-0.279898451801325	-0.436396359950557	-0.162081085618027	-0.367961007750495	-0.0521070057006892	0.229888427158032	-0.54889502563735	-0.0367845024315816	0.185284144788447	0.38277870554737	-0.0453005672064908	0.442481395788109	0.0220306098760901	-0.298504354921592	-0.334908408087008	-0.18664285977316	-0.376566060746072	0.350751119929141	0.175640880898692	-0.595151319409215	-0.0660605081627033	-0.301120665985497	-0.0245607529321745	-0.0519145954969975	0.0176176405848238	-0.150601304258609	0.181306558058926	-0.293905841219562	-0.229697096578896	0.210492932362639	0.0994128309617111	0.0813597226392577	0.15866278986487	0.0138792604975215	0.359478380787895	-0.229697096578896	-0.216399945325893	0.165380042910733	0.14565556999885	-0.556996069417925	0.0207955163347808	0.135447817961523	-0.225251598724673	-0.143020456897546	-0.2402991995429	-0.0495844736648703	0.375032806187914	-0.0395796698122783	0.151613933468319	-0.360059677307518	-0.0359076091484596	-0.0212394313803799	-0.145570594754759	-0.33385026779678	0.0557700248172015	-0.244806661556604	-0.439818044472528	-0.500586920943348	-0.311419179953019	-0.592084255294493	-0.262303512306453	0.0712935137982189	0.137669267247125	0.0889263138817871	-0.264008765705551	0.302660476276362	-0.573197719850123	0.166064958873953	-0.362983084936612	0.333518134142802	0.121579582050328	-0.13183112187691	0.194692715020103	0.453213508116926	-0.41260031019374	-0.0683705681859585	-0.0812442052174021	-0.0878697075843711	0.190521261864635	0.420719449926398	0.0394215225311001	0.222931735141197	-0.0145377093134886	-0.386555786326745
Ppp3ca	-0.0512641164112626	-0.0927320440058903	0.130865529667274	0.0568336511398755	-0.174767603879978	-0.439328051459595	-0.141303399168448	-0.169221527241991	0.145331585426137	-0.035605946971117	-0.00111704727850537	-0.0377282344314516	-0.30634722142794	-0.273448550341245	0.0594651715481707	0.0427084941490445	-0.0684774738666381	-0.0684774738666381	0.0114015367986884	-0.0543334860729825	-0.209307824294553	-0.0833255527363708	-0.155261831635682	-0.17014898585226	-0.183432299999451	-0.0684774738666381	-0.177105389921511	0.0190986823656161	-0.190155715270583	0.0715989319029759	0.304408468372346	-0.0238833217117751	0.0464517582269437	-0.0318629711907228	-0.249295473229108	-0.164953125657547	-0.335067882859333	-0.233023084030421	-0.185100058279936	-0.0513805735334998	-0.185100058279936	-0.140713892820571	-0.0513805735334998	-0.0396214738346199	-0.0630717959373044	-0.0630717959373044	0.219808851199135	-0.260773831524629	-0.37579364901427	-0.303380644818908	0.0893084996643179	-0.107822733116137	0.227597349875852	0.170295844266075	-0.0894570601385816	0.0516237881452852	0.127813963310015	0.184886313200277	0.170295844266075	-0.117072784330617	0.227597349875852	0.184886313200277	0.184886313200277	0.212632056785194	-0.0894570601385816	0.38809286167751	-0.169596153933666	0.184886313200277	0.102036267975404	-0.390073983188127	-0.195006934088958	0.212632056785194	0.102036267975404	0.0638011295186676	-0.126457554962915	-0.0894570601385816	0.369486353856415	-0.0159973330484089	-0.243504998664587	-0.43792642936196	-0.153149696748919	-0.52403596572287	-0.053797070620238	-0.14418264038655	-0.161178527656761	-0.203633154500665	-0.470146903378192	-1.29892300516306	-0.482490443410288	-1.4203139177564	0.0638011295186676	-0.0894570601385816	-0.14418264038655	-0.390073983188127	-0.0722877191672495	0.0154343775381989	-0.117072784330617	0.00436468252739353	-0.259756917551661	-0.221132212739693	0.289382985287498	-0.107822733116137	-0.0159973330484089	0.0766730502744633	0.212632056785194
