#2018-01-31 22:40:35: 
#
MANUAL INPUT GENE LIST

#
#Input expression data: 
#C:/AD/files_results/AD_mouse_model_project/mixed_model/random_intercept_include_NA_low_exp_rm//late/mixed_model_results_exp_corrected.Rdata
#
#Input gene ranking lists:
#
geneSymbol	GSE14499_Hippocampus,GFP,rep1	GSE14499_Hippocampus,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep1	GSE14499_Hippocampus,APP,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep3	GSE14499_Hippocampus,APP,GFP,rep4	GSE15056_wt_rep1	GSE15056_wt_rep2	GSE15056_Tg2576_rep1	GSE15056_Tg2576_rep2	GSE1556_12moControl.1	GSE1556_12moControl.2	GSE1556_12moAPPSw.1	GSE1556_12moAPPSw.2	GSE50521_eIF2+_S51A1	GSE50521_eIF2+_S51A2	GSE50521_eIF2+_S51A3	GSE50521_WT1	GSE50521_WT2	GSE50521_WT3	GSE50521_5xFAD;eIF2+_S51A1	GSE50521_5xFAD;eIF2+_S51A2	GSE50521_5xFAD;eIF2+_S51A3	GSE50521_5xFAD1	GSE50521_5xFAD2	GSE50521_5xFAD3	GSE52022_4mon_WT_rep1	GSE52022_4mon_WT_rep2	GSE52022_4mon_5XFAD_rep1	GSE52022_4mon_5XFAD_rep2	GSE53480_WT_rep1	GSE53480_WT_rep2	GSE53480_WT_rep3	GSE53480_WT_rep4	GSE53480_Tg4510_rep1	GSE53480_Tg4510_rep2	GSE53480_Tg4510_rep3	GSE53480_Tg4510_rep4	GSE63617_15m_hp_VH_rep1	GSE63617_15m_hp_VH_rep2	GSE63617_15m_hp_VH_rep3	GSE63617_15m_hp_VH_rep4	GSE63617_15m_hp_VH_rep5	GSE63617_15m_hp_AD11_rep1	GSE63617_15m_hp_AD11_rep2	GSE63617_15m_hp_AD11_rep3	GSE63617_15m_hp_AD11_rep4	GSE63617_15m_hp_AD11_rep5	GSE64398_WT_18m_Hipp_rep1	GSE64398_WT_18m_Hipp_rep2	GSE64398_WT_18m_Hipp_rep3	GSE64398_WT_18m_Hipp_rep4	GSE64398_WT_18m_Hipp_rep5	GSE64398_WT_18m_Hipp_rep6	GSE64398_WT_18m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep1	GSE64398_WT_4m_Hipp_rep2	GSE64398_WT_4m_Hipp_rep3	GSE64398_WT_4m_Hipp_rep4	GSE64398_WT_4m_Hipp_rep5	GSE64398_WT_4m_Hipp_rep6	GSE64398_WT_4m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep8	GSE64398_WT_4m_Hipp_rep9	GSE64398_WT_8m_Hipp_rep1	GSE64398_WT_8m_Hipp_rep10	GSE64398_WT_8m_Hipp_rep2	GSE64398_WT_8m_Hipp_rep3	GSE64398_WT_8m_Hipp_rep4	GSE64398_WT_8m_Hipp_rep5	GSE64398_WT_8m_Hipp_rep6	GSE64398_WT_8m_Hipp_rep7	GSE64398_WT_8m_Hipp_rep8	GSE64398_WT_8m_Hipp_rep9	GSE64398_het_TASTPM_18m_Hipp_rep1	GSE64398_het_TASTPM_18m_Hipp_rep2	GSE64398_het_TASTPM_18m_Hipp_rep3	GSE64398_het_TASTPM_18m_Hipp_rep4	GSE64398_ho_TASTPM_18m_Hipp_rep1	GSE64398_ho_TASTPM_18m_Hipp_rep2	GSE64398_ho_TASTPM_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep1	GSE64398_TAS10_18m_Hipp_rep2	GSE64398_TAS10_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep4	GSE64398_TAU_18m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep1	GSE64398_ho_TASTPM_4m_Hipp_rep2	GSE64398_ho_TASTPM_4m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep4	GSE64398_het_TASTPM_8m_Hipp_rep1	GSE64398_het_TASTPM_8m_Hipp_rep2	GSE64398_het_TASTPM_8m_Hipp_rep3	GSE64398_het_TASTPM_8m_Hipp_rep4	GSE64398_ho_TASTPM_8m_Hipp_rep1	GSE64398_ho_TASTPM_8m_Hipp_rep2	GSE64398_ho_TASTPM_8m_Hipp_rep3	GSE64398_ho_TASTPM_8m_Hipp_rep4	GSE64398_TAS10_8m_Hipp_rep1	GSE64398_TAS10_8m_Hipp_rep2	GSE64398_TAS10_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep1	GSE64398_TAU_8m_Hipp_rep2	GSE64398_TAU_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep4
Ogn	0.751986089383521	0.336006916952615	-1.37794666914802	-0.540722349140757	0.325147318157544	-0.807067213885487	0.196286425649639	1.11308998544758	-0.814082448645131	-0.280257226506597	-0.468634018508706	-0.661788964467426	-0.50383293631589	-0.580621430265363	0.298306572540507	-0.994345413987729	0.917089480755032	1.39489428694843	0.546847499403389	-1.15520134306786	0.245023253074804	-0.880372809763976	0.10511159964843	-0.470149950218258	-0.121043824917367	-1.25380062191539	2.23777634280932	-0.727504428870955	-0.295299033810307	-1.4415934048485	-2.38020919957939	1.93882001700841	-1.55093231012007	0.908516871180762	-1.1884878203161	-1.17072139780593	3.30033112209565	-1.13103922581436	-0.913080604261984	-0.323212636676447	1.05549385084924	0.360631544829388	0.796569354947193	-0.537631093621938	-0.223048988286886	-0.800933035606812	-1.66218144878165	1.24403405299717	0.0365985395229504	-0.0897473865022498	0.585636537863447	-0.319051456885258	-0.0727879852173992	-0.0186962565085906	0.0522513001637392	-0.807298417252223	-0.361678430292642	-0.16148726850491	-0.931393997193009	0.798765406584586	0.134633319579526	-0.560968178925011	-0.0455914695023871	0.333135151208063	-1.10780461269061	0.72592604378894	-0.50074394102101	0.352307822510731	-0.344195136356815	-0.627846220187775	-0.0879730199143154	-0.428402969583589	-0.357913081381106	0.126919387532473	0.493964960032219	0.33604117775741	0.424542255344836	0.113948272292577	-0.197697757334645	0.717142922661948	-0.252798704350294	0.436455922302615	0.780849359006726	0.27223769185944	-0.2434851320207	-0.462839298925767	0.0969556156880849	0.543936919407464	-0.981246352302644	0.203831436224263	0.206224931281334	0.115259669009372	-0.0715855035357347	-0.907243022206348	-1.38776708916697	0.257643440591959	-0.432081666677663	0.340755039352066	-0.770686768483506	-0.381325213729346	0.317030968786646	-0.64617533250307	-0.926727193926027	-0.290477443166065	-0.676757766955692
Npy2r	0.289530384193682	0.0620836788579346	0.0989489898873188	-0.0703209711411876	0.171573024424806	-0.433591282459684	0.0905039997906805	0.129673941198165	-0.0916491802562636	-0.316383544907429	0.313083563397202	-0.309258678881188	0.044318375028384	0.642339295222362	0.100432069987166	-0.00574072461511399	0.400963137795888	0.191854634186615	0.190606789516803	-0.652584805956112	-0.454469964626899	-0.0426961326711677	0.00602685439307926	0.205709186529184	-0.258189083323815	0.00602685439307926	-0.677337022090054	-0.157767739800665	0.694106816843462	0.0832106486654496	-0.575930931766171	0.619025074825748	0.144193292920541	0.670370067292428	0.382543657352336	-0.883335671463241	-0.201829188061021	-0.491102814214235	0.165586750963199	0.16869433289826	0.0243371174638902	-0.362314947648276	0.00486725673030008	-0.0210019664111059	-0.144538798310986	0.407057894109213	0.201349304084539	-0.918155726944159	0.170469690793874	0.233140766595625	0.652988104166027	0.111939644041453	0.38709971102055	0.39313250054439	0.104258338212315	0.778157352451728	0.133742835533447	0.193314563590246	-0.10940397810082	0.181635866984792	0.077913606981566	-0.145504582367796	0.257831044676298	-0.422765294455482	-1.03280556727625	0.259641186002645	-0.709345656817232	0.445481392702945	0.411782101442578	-1.92875993566815	-0.237337085179062	0.194428938780597	-0.307402430340748	-0.9185043555763	0.791911683937577	0.941858320032903	0.537860412207303	0.216614502352012	-0.0783620691649336	-1.22209453892237	-0.197452776603374	0.116429565585307	0.437207288441829	0.169178593135637	-0.0393463463108024	0.278890473577029	0.0233977331770205	-1.3640323901792	-1.03574008494424	-2.13217180159913	0.963207720993285	0.453400860568447	-0.00164740387127615	0.196982253254149	-1.68010463464195	0.38709971102055	0.0686873227039388	0.535936162520606	-0.689285928057612	-0.246706055770324	0.477514359035084	0.322900101133492	0.161270708446928	0.133742835533447	0.173504340928687
Lhx9	-0.100513992761506	0.316971707712615	0.408714062369971	-0.487755714018667	0.32081815322423	-0.126681827414982	0.05201867049814	0.0534032768453647	-0.136887417371104	0.225429040304369	0.0790700037237277	-0.46538308257792	-0.522788028170524	0.227601937025808	0.122541222210618	-0.174564942302852	0.354022342024629	0.341412053195937	0.51993882669597	-0.563813815964817	-0.261918303754743	-0.251409271433221	-0.0631724838746104	0.0495602339231755	-0.210606280792355	0.169899341564074	-0.149405673044625	-0.157699213195559	0.143087665954513	0.167025143170647	0.0408701695553528	0.165476088123636	0.191882155389989	0.244855247357187	0.315486315599886	-0.300912917208448	-0.437516447612964	-0.223035411682182	0.225434943180756	-0.0732484392853845	-0.0152707968628762	-0.34470064754052	-0.225399803848269	0.33115654820873	-0.14298471546322	0.353629496636615	-0.00446287711058879	0.144690853362387	0.522440872005491	0.337606249431973	-0.149103714266299	-0.684212091659082	-0.140793460826111	0.233029090928285	-0.232154004166066	0.92084055707553	0.440328551342367	0.477250824884839	-0.591435282581603	-0.0629614128082494	0.187035354107167	0.461233923626842	0.613600299142405	-0.16827335034821	-0.810485624665372	0.679070280040895	-0.227491167599605	-0.112141659526669	0.0849424921357755	-1.96185737781659	0.437453462565774	0.716601308737602	-0.247352053698103	-1.16106836519295	0.834153063557534	0.299904807072655	0.804902763583053	0.335495718210298	-0.08265395815934	-0.917609589754739	-0.240588103064973	0.513365048673414	0.520349006636383	-0.260889720368358	-0.356610265581977	0.30123744948394	0.145194658377987	0.514804038081817	-1.45074318631372	1.16214042581311	0.202535863202215	-0.197621421460465	0.129043818154297	-0.494546092898859	-1.46845729575594	0.461233923626842	-0.482348684100655	0.19597459837991	-0.31238042358642	-0.820461991440345	-0.1612417079624	0.416390311646929	0.30056323390164	-0.0340385082594699	0.643550451635853
Epha7	-0.0776277119557491	-0.202529405515401	-0.113324168610022	0.32746824431123	-0.481663678665353	-0.389070639452633	-0.0285444390247331	-0.329946678092552	0.197317402816266	-0.233988156285962	0.0848881026817132	0.170798945258701	-0.456590544514238	-0.452577888916583	0.132727431772649	0.0412454003559137	0.0236357450756657	0.0390843185992757	0.0577449051866754	-0.168519999219063	-0.335575488169473	-0.0483784495587347	-0.160709129842381	-0.470248962767728	-0.264563624884225	-0.02223362610202	-0.36674181533145	-0.0470906256810917	0.017404777957843	-0.0447484778253759	0.405536623304332	-0.0357456972314569	0.239553185119744	0.0125869761667445	-0.213217005082029	-0.311347942504259	-0.740776203638557	-0.362872102505561	0.141515718547813	-0.34410801390643	0.00652580332169173	-0.0328847230280704	-0.334197317195239	0.185117873790148	-0.699031374985603	-0.349990513295158	0.625326562420112	-0.68762188562676	0.25234394198281	0.101858385543922	0.289695628303896	-0.156292350739045	0.0855955955805712	0.312374796042002	-0.0428633542234849	0.734135193262418	0.257313871876237	0.549718195198492	-0.0578798560027103	-0.355681297031385	0.621616647417014	0.104848471405596	0.165122377782463	0.0564676542317635	-0.741794064427875	0.0925898391421818	-0.245575808693999	-0.109763113688825	0.184932643909828	-0.956953600621299	0.13451635145897	-0.10271270460559	-0.14730724326663	-0.414212929047018	0.383509890690952	0.109893483725021	0.340765415037545	-0.0665213694905553	-0.633843009756429	-0.663313631283865	-0.487613205586859	-0.399609507613501	0.111538281458916	-0.120156724603337	-0.195514652659014	-0.644546847245156	-0.251219364397167	-1.52717706222334	-0.839817667637462	-1.91879629121767	0.544115095952879	0.217743761162307	-0.110303475788424	-0.288540785689571	-1.72388741387325	0.165714241927105	-0.0630556441629366	-0.154081814729732	-0.29682789248011	-0.383586447621255	-0.257350054095568	-0.0214299820405675	-0.211827808466847	0.0355640157068322	0.483503943753433
Trpc6	0.125141750240247	-0.116339950173271	0.0776203862685616	0.0735145955800922	-0.39300494205555	-0.555071636668202	-0.315028471634685	0.35857626308831	-0.228508122332116	-0.0776801004696637	-0.311376170256796	0.0816309899185814	-0.17809279083094	-0.114633198331918	0.441394330562627	-0.396100253556906	-0.220964630826716	0.0377350985256477	0.102359583431152	0.138544430862005	-0.161592097648976	-0.526630722026148	0.0737756078124594	-0.332879399271295	0.142844511328686	-0.197307663652859	-0.447126362361415	0.197176478369331	-0.0718019754600796	-0.0480267233459939	-0.30519116323946	0.519121465804933	-0.213549422253747	0.71946374341228	-0.270611172611036	-0.460232007815487	-0.358183249269954	-0.458253532390771	0.101630807672369	-0.254581264110037	0.0212739910357884	-0.178179971106188	-0.230674470101442	0.157625052237486	-0.254248081302405	-0.0273971571014782	0.37764850525225	-0.579783504055855	0.0562451169181326	-0.540809526176901	0.419423088970792	0.300301949528631	0.483268489603631	0.44046377010862	0.126046866381452	-0.132151390403676	-0.163010317635508	0.105958895233735	0.165269110565255	-0.13020339845888	0.0103346717213775	-0.0181052096571204	0.217576934800036	-0.20191627768496	-0.727848901361275	0.554885356035621	-0.453268149954798	0.591382644768261	0.379515077859262	-0.0516125069894446	-0.0808769921705519	-0.12695015131889	-0.642244075087103	-0.43661187889795	0.0100006058849145	0.232990870068285	0.0600226691215457	-0.544140831891315	-0.54007103585524	-0.736397853064502	-0.242397140699351	-0.0893765777655737	-0.233689905528134	-0.119630290180796	-0.374265974009937	-0.228365200082712	0.112756906430944	-1.61009324343686	-0.364410788639343	-1.4262711176208	0.731259482512936	0.313774857053057	-0.405580950669949	-0.102855912821763	-0.224426254295759	0.0353708715120238	-0.279627467752145	0.17443941650234	-0.670829882063479	-0.0981003450954248	0.742562295903957	-0.0841516165874303	0.104068019511942	0.288650345509472	-0.0605387979490608
Npnt	0.300714296548559	-0.518386986514717	-0.458978391779031	0.460827852739596	0.302922229918755	-0.462076642912281	-0.0955559643913499	0.0290657388188267	0.417157742804504	-0.547765825284165	0.80412334567417	-0.628809126147501	-0.448312909235673	-0.109553044141311	0.157639529436322	0.185835672464965	0.345641813914813	0.122278708765466	0.485215654222181	0.378816366552552	-1.30099763734495	0.675703024697786	-0.983920873371003	-0.0290231249148123	-1.01364291472305	0.238771112242096	-0.0743029757339677	0.08602643320258	-0.101636396800721	-0.104614203576782	-0.199065769209342	0.524065575366572	-0.187646040946238	0.310626956585796	-0.0872435582919637	-0.0341887711901991	-0.57334148804328	-0.317181458687999	-0.0462438765521478	-0.0817415958477925	0.0460186769714879	-0.103147134685379	-0.208616090082447	-0.386362123719061	-0.245368488486132	0.0577361143933226	-0.0181656591247785	-0.0328905428735089	-0.0681037485054565	-0.79971250363997	-0.0597905150311906	0.200215392450955	0.581562083089043	-0.395283335059822	0.158491543819116	0.719288595731912	-0.614788502173573	-0.387262049823079	0.0670839974267095	0.142299125678756	0.403774775160056	-0.371481892038109	0.242185091851186	0.179676754520706	-0.603776063455091	0.0289797953338944	-0.391592949676014	-0.075653634676069	0.339779749440445	-0.0488986415682202	-0.683901312947327	0.0271060083747248	-0.487843756080927	0.265092783383675	-0.379346162471419	0.421865921195808	-0.206427629500141	0.0238913145071482	0.0245875740782058	0.382187872772722	0.337844767159302	0.247034662736026	0.200846718138342	-0.410395254047202	0.0296017368105934	-0.396275001000699	-0.209782541065117	-0.43469186887309	0.0924046944327559	0.108805608735675	-0.0884776603815052	-0.00194898505600793	-0.50203749865439	-0.100789210208398	-0.466892986622533	0.0562024714839886	-0.464487122566211	-0.281735351061488	-0.204111157199735	0.0615795590205206	-0.320780743561397	-0.654766559435702	-0.335491693980535	0.0808485547189344	0.450221553528745
Anxa11	0.0743970492723154	-0.401066087880681	-0.495780914756757	0.246590076920342	0.312909334841571	-0.265426048195938	0.0675127887013165	-0.283629718144091	-0.245544935697239	0.154742149931238	0.382755760181945	-0.174586927258186	-0.186447958872117	-0.172955571634175	-0.026780056093477	-0.00903959447713198	-0.0318664361502758	0.215257389657109	0.00226936982830672	-0.175853864299611	-0.258202739758696	0.115210938732822	0.146689510949868	-0.469569280676087	-0.282185975315761	-0.0175651257248752	-0.342791274806012	0.190141670631152	-0.110713484533793	-0.143426879076766	-0.0637765124154601	0.0860584774540243	-0.048906729100425	0.245853209391258	0.0745053386685495	-0.139369607894213	-0.708283599521885	-0.0998587391820331	0.133190151493617	-0.00545419762583954	0.118241139753069	-0.256686503907786	-0.0503899749083141	0.119143092779442	-0.235120831974322	-0.102483717435975	0.415517284130207	-0.925789820169449	-0.124572100798289	-0.265646998601465	0.324712545666802	0.107499280489005	0.761569623631425	0.282327711163333	-0.209920517935981	0.450382076397647	-0.0483449359354573	0.32641877989686	-0.315653493665536	-0.254981406693517	0.384473914831441	-0.264218674746349	0.121910693392579	0.173406504524721	-0.13183670181116	0.450382076397647	-0.184007769647158	-0.11236835721663	0.283282368218742	-0.359449264589294	-0.0791179574900802	-0.250649499775543	-0.286606949990826	-0.423840075009487	0.486447032668989	0.244470657254723	0.357694428177048	0.0404182414076057	-0.26491260254474	-0.167211407204009	-0.23126189503818	-0.236469466527792	-0.0520696992807039	0.0948172867867658	-0.123059558004883	-0.00895683616574772	-0.243490076929602	-1.5137615621768	-0.286606949990826	-1.54952430973898	-0.13848250483378	0.0334555324307431	-0.144187656107631	-0.375730804159803	-0.839419294442553	0.343587037806396	0.24272538649879	0.198446048268496	-0.491842970812529	-0.151792470919268	0.350118334615212	0.0176670798659355	-0.196096440797454	-0.178328688352453	0.16285646753753
Pgam2	-0.192151428404978	-0.152096889023397	0.14902767761447	-0.0286027850270987	0.0411773049232984	0.13540577606921	-0.610952013696375	0.150837750762676	0.12295182228322	0.429257268947602	0.35009753929421	0.0605321089122821	-0.395948589871802	-0.197936079149227	0.0587122017821029	-0.222547135304957	-0.248806546941632	0.0632699943810957	0.123140183417683	0.0623115405361681	0.0411383132225707	0.127761413614282	0.10225768989104	-0.216537582563033	-0.0882125002597345	-0.050168422281458	-0.460729557352516	0.1826920747863	0.0480250890600828	0.153850349816918	-0.12495626552924	0.072305081563151	0.269167672454301	-0.00941614721534378	0.396317610309153	-0.231443473745672	-0.48293564658903	0.0214251835373496	-0.220588104118913	-0.650059632402454	-0.0266741523828191	-0.42901181909484	-0.438422508558856	0.363141523073484	-0.0414474847994413	0.617248731785079	0.719375632855392	0.0598115698845483	0.335339579762035	0.407697364875759	-0.146968005546936	0.131586035508462	-0.0125480642760998	0.0725214700815702	0.381936225909785	0.0801769990933661	0.202707774949772	0.321500819063067	0.0298207107464137	0.131029786520543	0.323167175599423	0.435520671697731	0.354077879753349	0.155792643446503	-0.44683251145659	-0.158046852107706	-0.197116924907375	-0.0925681205547182	0.471128930292601	-0.432103920673038	-0.014345660638817	0.0208013891784322	0.167635419708107	-0.128564763889148	-0.110617330489438	0.117881592245432	0.251106473734922	0.333515973380489	0.0761738492032347	-0.90587807722409	-0.0350498778840418	0.334040505918326	-0.386363119947791	0.0761738492032347	-0.0320482800591719	-0.314527616368803	-0.394339097135425	-0.780069235232197	-0.535666555833394	-1.34516733958632	0.394271722372771	0.112247621373557	0.158074964418862	0.128562877414261	0.394794287790814	0.229531543629026	-0.313922379082674	0.277866896418155	0.225895094410211	-0.516461778501736	-0.615742457214884	-0.107054310150346	-0.0496672310369792	0.18982169762015	0.251651325388931
Npy5r	-0.192060879830152	0.195790761704133	0.153548679729706	0.111464030975812	-0.69388923531071	-0.4133249219514	-0.270934591149734	-0.0162813758214488	0.281660382954327	-0.464389924523553	0.275163949368759	-0.231966464945661	-0.217362504988873	-0.435496719874483	-0.224292673166355	0.241447299822661	0.571414363096068	-0.321571311550798	0.196569671149245	0.128280058563256	-0.28407503600634	0.0441753065804882	-0.0337884695319541	-0.589201735325178	-0.883614344916613	-0.266926358665456	-0.620134836589372	0.202974815140458	0.0772024584333373	-0.0832460334925003	-0.21916565445928	0.523423997417152	-0.0107552624732943	0.532640161546687	-0.0498894511441614	-0.653496761717592	-0.678736506703956	-0.346734855655051	0.282006688476822	-0.173008439197988	-0.216623360787721	0.0916659409589347	-0.30336903530737	-0.360555277395455	-0.144285170419841	0.0136037673036187	0.0842217732262949	-0.470761179554841	0.0739337329178547	0.127403145000326	-0.309197210715441	-0.211920253929931	0.347329264881521	0.0274359582949657	-0.310450531440818	0.457104952776987	0.135108405294847	0.127403145000326	-0.0811325476399709	-0.291798555964659	0.278945973128064	-0.151927179964106	0.0337415718861571	-0.126380191592414	0.0383005212942482	-0.0685134785062971	-0.00780793924920786	-0.206659989268971	-0.0472460224194542	-0.25185736374884	0.100242364980966	0.210758759316279	-0.0910938232122529	-0.242936529085176	0.111151800989898	0.0395453426147299	-0.0220060237730646	-0.503511499224446	-0.646026653603045	-0.602933570753592	-0.412569246313362	-0.201128661515867	-0.151927179964106	0.0933977784772999	-0.000954245887992755	-0.472418816260409	-0.139654580431284	-0.552138973137522	-0.40739211949811	-0.787272659255795	0.196150704835057	-0.0586131482655503	-0.113639799968967	-0.258333525850999	-0.68596889334242	-0.0108144187824148	-0.32616229164587	-0.336853392384962	-0.204773652106434	-0.17839584653044	-0.00780793924920786	0.162095246074699	-0.097280189005188	-0.257710169354063	0.113208001138858
Ehd1	0.067463493186791	-0.123946365321121	0.0223323900105221	0.0362971599923672	0.00257607941474625	-0.34791982230827	0.0314503788369915	-0.128534666949809	0.188168612677821	-0.166132994225526	0.432926473196295	-0.228477906264174	-0.019488613832003	-0.461512291321814	-0.0860007252246007	-0.279619474092755	0.0259745129137929	0.0259745129137929	-0.00109602200426728	-0.133253231189849	-0.235298718150826	0.133632897535776	0.219057845253101	-0.147157341948649	-0.174927898532248	0.183620451095161	0.191259204031054	0.314358522439292	-0.386917058910843	-0.341435522133317	-0.241544778282048	0.31927698659849	0.0488610871983699	0.310960981545707	-0.0513926408842895	-0.373477152277262	-0.22842449450337	-0.176464265801766	0.0724911183423433	-0.261094450955307	-0.121669454342404	-0.239151533007034	-0.269801857153615	0.15791022125765	-0.075485685708875	0.143619454602787	0.304114996376954	-0.0256770009268426	0.319658443452973	0.0617181887532432	-0.0628282348114464	-0.0956337289221754	-0.42834198582425	0.341208421872738	-0.278533210091135	0.250358598022805	0.290238609467137	0.242563431567991	-0.139678726313583	0.122789140803492	0.230859458624392	0.1570584695723	0.239762877752668	0.25598457199572	-0.699729776608477	0.241350270834593	-0.204887983343797	0.135616890958657	0.191488453010267	-1.08185771466974	0.198244911422231	0.339013340490906	-0.147177767517139	-0.206051756916676	0.0164005290826932	0.22206718242297	0.286813036359353	0.147598493629529	-0.113708420041013	-0.195510152730312	0.30044400586455	-0.25688825560602	-0.152009723478571	-0.0545843455664592	-0.41408701479004	-0.127651221707561	-0.158464620167075	-0.844222934026956	-0.506451573912324	-0.910714879064827	0.297489734828384	0.0666625884537737	0.111962126563167	-0.0869579412464194	-0.949313508366247	0.0502930597939706	-0.0477544976795112	0.508060700902453	0.0849196538599806	-0.0900179129308061	-0.26722406861899	-0.0362392352083489	-0.0599694673863915	-0.133619336937061	0.37737247640019
