Disease	Regulation	Rank	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
AD	early phase: up-regulated	1	Prokr2	prokineticin receptor 2	1.80e-04	0.0835	0.2344	0.0608
		2	Sqle	squalene epoxidase	9.70e-06	0.0132	0.1754	0.0381
		3	Msmo1	methylsterol monoxygenase 1	5.82e-06	0.0105	0.18	0.0381
		4.5	Enkur	enkurin, TRPC channel interacting protein	1.83e-04	0.0835	0.2397	0.0623
		4.5	Ring1	ring finger protein 1	1.15e-06	0.0031	0.1843	0.0361
		6	Zfp330	zinc finger protein 330	3.57e-06	0.0078	0.1113	0.023
		7	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	1.98e-04	0.0835	0.1684	0.044
		8	Bdh2	3-hydroxybutyrate dehydrogenase, type 2	2.72e-04	0.1018	0.1764	0.0472
		9	Fam229b	family with sequence similarity 229, member B	1.85e-04	0.0835	0.1031	0.0268
		10	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	4.95e-04	0.1293	0.0693	0.0194
		11	2700094K13Rik	RIKEN cDNA 2700094K13 gene	6.21e-04	0.1414	0.108	0.0308
		12	C1qb	complement component 1, q subcomponent, beta polypeptide	3.77e-04	0.1153	0.102	0.028
		13	Slc29a1	solute carrier family 29 (nucleoside transporters), member 1	8.02e-04	0.1476	0.1073	0.0313
		14	Rasal2	RAS protein activator like 2	4.04e-04	0.1153	0.1758	0.0464
		15	Dynlrb1	dynein light chain roadblock-type 1	3.02e-03	0.227	0.0666	0.0221
		16	Nckap1	NCK-associated protein 1	9.18e-04	0.1533	0.1249	0.0369
		17	Ube2b	ubiquitin-conjugating enzyme E2B	9.80e-04	0.1564	0.0613	0.0182
		18	Etnk1	ethanolamine kinase 1	9.60e-04	0.1564	0.1869	0.0535
		19.5	Epha3	Eph receptor A3	2.46e-03	0.207	0.1245	0.0404
		19.5	Dbnl	drebrin-like	2.50e-03	0.207	0.0683	0.0222
		21	Tecr	trans-2,3-enoyl-CoA reductase	5.15e-03	0.2732	0.0668	0.0235
		22	Tonsl	tonsoku-like, DNA repair protein	1.21e-03	0.1693	0.1248	0.0377
		23	Acat2	acetyl-Coenzyme A acetyltransferase 2	1.37e-03	0.1746	0.1099	0.0335
		24	Mocs3	molybdenum cofactor synthesis 3	2.26e-03	0.2045	0.1073	0.0335
		25	Pdzd3	PDZ domain containing 3	7.87e-04	0.1476	0.141	0.041
		26	Dhx35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	1.82e-03	0.1797	0.0957	0.0301
		27	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)	5.74e-04	0.1385	0.2237	0.0633
		28	C1qa	complement component 1, q subcomponent, alpha polypeptide	3.96e-04	0.1153	0.1087	0.0299
		29	C1qc	complement component 1, q subcomponent, C chain	1.18e-03	0.1688	0.0909	0.0274
		30	Harbi1	harbinger transposase derived 1	1.89e-03	0.1818	0.1271	0.0389
		31	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	7.66e-03	0.3112	0.0821	0.0304
		32	Gm561	predicted gene 561	1.73e-02	0.3908	0.0655	0.0271
		33	Ugt8a	UDP galactosyltransferase 8A	6.10e-03	0.2885	0.0811	0.0291
		34	Dnah2	dynein, axonemal, heavy chain 2	1.07e-03	0.1622	0.218	0.0652
		35	Zfp810	zinc finger protein 810	2.30e-03	0.2055	0.1205	0.0388
		36	D630045J12Rik	RIKEN cDNA D630045J12 gene	7.47e-04	0.1475	0.1149	0.0321
		37	Chst3	carbohydrate (chondroitin 6/keratan) sulfotransferase 3	9.71e-03	0.3343	0.1071	0.0409
		38	Tmem223	transmembrane protein 223	9.47e-03	0.3317	0.0669	0.0254
		39	Comt	catechol-O-methyltransferase	6.09e-04	0.1414	0.2056	0.0561
		40	Cdk5rap1	CDK5 regulatory subunit associated protein 1	2.46e-03	0.207	0.144	0.0466
		41	Tmem43	transmembrane protein 43	3.93e-03	0.2538	0.0757	0.0258
		42	Arhgap4	Rho GTPase activating protein 4	4.00e-04	0.1153	0.0936	0.0258
