disease	correlation	prefix	genes	pvalue	gene_names
AD	0.276788949124237	adj	10151	6.28086292210463e-178	
AD	0.249689510763279		10151	4.30133038927096e-144	
AD	0.8	adj_top_up100	4	0.2	
AD	1	top_up100	4	0	
AD	0.202941176470588	adj_top_up200	16	0.450961241722709	
AD	0.942857142857143	top_up200	6	0.00480466472303207	
AD	-0.0120322056056512	adj_top_up500	67	0.923013978465252	
AD	0.295798319327731	top_up500	35	0.084480974921228	
AD	0.316666666666667	adj_top_down100	9	0.406397014486386	
AD	0.1	top_down100	5	0.872888571569538	
AD	0.0736842105263158	adj_top_down200	19	0.764341271521665	
AD	0.0824175824175824	top_down200	13	0.788950927847518	
AD	0.175447570332481	adj_top_down500	69	0.149312600708638	
AD	0.16812097872708	top_down500	62	0.191496515584195	
