#2018-01-30 21:38:22: 
#
MANUAL INPUT GENE LIST

#
#Input expression data: 
#C:/AD/files_results/AD_mouse_model_project/mixed_model/random_intercept_include_NA_low_exp_rm//late/mixed_model_results_exp_corrected.Rdata
#
#Input gene ranking lists:
#
geneSymbol	GSE14499_Hippocampus,GFP,rep1	GSE14499_Hippocampus,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep1	GSE14499_Hippocampus,APP,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep3	GSE14499_Hippocampus,APP,GFP,rep4	GSE15056_wt_rep1	GSE15056_wt_rep2	GSE15056_Tg2576_rep1	GSE15056_Tg2576_rep2	GSE1556_12moControl.1	GSE1556_12moControl.2	GSE1556_12moAPPSw.1	GSE1556_12moAPPSw.2	GSE50521_eIF2+_S51A1	GSE50521_eIF2+_S51A2	GSE50521_eIF2+_S51A3	GSE50521_WT1	GSE50521_WT2	GSE50521_WT3	GSE50521_5xFAD;eIF2+_S51A1	GSE50521_5xFAD;eIF2+_S51A2	GSE50521_5xFAD;eIF2+_S51A3	GSE50521_5xFAD1	GSE50521_5xFAD2	GSE50521_5xFAD3	GSE52022_4mon_WT_rep1	GSE52022_4mon_WT_rep2	GSE52022_4mon_5XFAD_rep1	GSE52022_4mon_5XFAD_rep2	GSE53480_WT_rep1	GSE53480_WT_rep2	GSE53480_WT_rep3	GSE53480_WT_rep4	GSE53480_Tg4510_rep1	GSE53480_Tg4510_rep2	GSE53480_Tg4510_rep3	GSE53480_Tg4510_rep4	GSE63617_15m_hp_VH_rep1	GSE63617_15m_hp_VH_rep2	GSE63617_15m_hp_VH_rep3	GSE63617_15m_hp_VH_rep4	GSE63617_15m_hp_VH_rep5	GSE63617_15m_hp_AD11_rep1	GSE63617_15m_hp_AD11_rep2	GSE63617_15m_hp_AD11_rep3	GSE63617_15m_hp_AD11_rep4	GSE63617_15m_hp_AD11_rep5	GSE64398_WT_18m_Hipp_rep1	GSE64398_WT_18m_Hipp_rep2	GSE64398_WT_18m_Hipp_rep3	GSE64398_WT_18m_Hipp_rep4	GSE64398_WT_18m_Hipp_rep5	GSE64398_WT_18m_Hipp_rep6	GSE64398_WT_18m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep1	GSE64398_WT_4m_Hipp_rep2	GSE64398_WT_4m_Hipp_rep3	GSE64398_WT_4m_Hipp_rep4	GSE64398_WT_4m_Hipp_rep5	GSE64398_WT_4m_Hipp_rep6	GSE64398_WT_4m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep8	GSE64398_WT_4m_Hipp_rep9	GSE64398_WT_8m_Hipp_rep1	GSE64398_WT_8m_Hipp_rep10	GSE64398_WT_8m_Hipp_rep2	GSE64398_WT_8m_Hipp_rep3	GSE64398_WT_8m_Hipp_rep4	GSE64398_WT_8m_Hipp_rep5	GSE64398_WT_8m_Hipp_rep6	GSE64398_WT_8m_Hipp_rep7	GSE64398_WT_8m_Hipp_rep8	GSE64398_WT_8m_Hipp_rep9	GSE64398_het_TASTPM_18m_Hipp_rep1	GSE64398_het_TASTPM_18m_Hipp_rep2	GSE64398_het_TASTPM_18m_Hipp_rep3	GSE64398_het_TASTPM_18m_Hipp_rep4	GSE64398_ho_TASTPM_18m_Hipp_rep1	GSE64398_ho_TASTPM_18m_Hipp_rep2	GSE64398_ho_TASTPM_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep1	GSE64398_TAS10_18m_Hipp_rep2	GSE64398_TAS10_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep4	GSE64398_TAU_18m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep1	GSE64398_ho_TASTPM_4m_Hipp_rep2	GSE64398_ho_TASTPM_4m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep4	GSE64398_het_TASTPM_8m_Hipp_rep1	GSE64398_het_TASTPM_8m_Hipp_rep2	GSE64398_het_TASTPM_8m_Hipp_rep3	GSE64398_het_TASTPM_8m_Hipp_rep4	GSE64398_ho_TASTPM_8m_Hipp_rep1	GSE64398_ho_TASTPM_8m_Hipp_rep2	GSE64398_ho_TASTPM_8m_Hipp_rep3	GSE64398_ho_TASTPM_8m_Hipp_rep4	GSE64398_TAS10_8m_Hipp_rep1	GSE64398_TAS10_8m_Hipp_rep2	GSE64398_TAS10_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep1	GSE64398_TAU_8m_Hipp_rep2	GSE64398_TAU_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep4
Adssl1	0.34759435034175	0.0537555778037051	-0.0403676837231579	0.34617062875073	0.102806860203493	0.453777674670303	0.378415800475745	-0.0451235999982362	-0.0583203608208596	0.412264893096452	0.0965165951286764	-0.116431741584924	0.489971062561792	0.12856025609805	-0.160633882498924	0.117750885328663	-0.224122622370393	-0.487772374325639	-0.552598259512115	-0.189536247600776	0.110422566788646	0.379308630179652	0.764842771777349	1.01893082031944	0.763645274523757	0.510720059335711	-0.117993218340396	0.150909101932113	0.287444252313033	0.254787449082237	-0.0458643856549008	-0.433374767371416	-0.191634681212942	-0.489166840654681	0.471986949628741	0.935319288228154	0.273701191737259	0.782188322644519	0.239585797494749	-0.139991870186661	0.136449936218314	0.325030040605045	0.118545803428374	0.47043052562862	0.28031082803202	-0.405531875676644	0.352885786729392	0.394403977948244	-0.0388842267484808	0.107451947974447	0.392044013674777	0.559884780086401	0.262804568616394	-0.0629139667876153	0.0696639719206384	-0.665225603642758	-0.207074730576016	-0.144275504959603	0.0455338237028098	-0.151394140173348	-0.0940500621808198	-0.214914373621371	-0.133403895939447	0.0658027926355622	0.51705170212813	0.0958316767440976	0.0580409375955835	0.00782761657939446	0.0738917211803773	0.645961070874217	-0.221615840411058	-0.180444014961486	0.268799254929394	0.173297083914719	0.128157208224431	0.214537057603632	0.00573890078194772	0.578897119409321	0.63942676944108	0.8266111707949	0.491396901282268	0.10304237232617	0.215257971979696	0.196797252071327	0.470303324193145	0.770543585755441	0.0381886141074457	0.956801126911492	0.595202984391078	1.17270278225104	-0.466587821827954	0.205382774004212	0.19168338218433	-0.0818597305701587	0.869722455094562	0.115832166300153	0.66445244866698	0.00508496551772986	0.168339431772498	0.230800120182669	-0.0661078239248223	0.0801334440360559	-0.0201823715662375	-0.00435481842615815	-0.0112807255403471
Anln	-0.0575023471642471	-0.215559574137439	0.0650336357967412	-0.0787523486033042	0.0906507132343766	0.317368747172369	0.0802002163450091	0.128292232681874	-0.252580673045268	0.00504975839284239	-0.215398571391766	0.580008057256313	-0.187083472328855	-0.117353655917778	-0.034301104677855	0.0507274424224367	-0.222674976213275	-0.246227890634161	-0.440677430481101	-0.157538380033433	0.468748321918321	-0.313800824444932	0.529196049418832	0.288219746773658	0.520655821850765	-0.257600509443447	-0.384404439137526	0.396419998843031	0.142209116081812	-0.053873700176462	0.235886096860529	-0.185973632090194	-0.0127343640897397	-0.293366281727451	-0.00295024902374585	0.294536922285706	-0.0615691553917692	0.166892288774628	0.475864625195778	0.0193738482445482	0.0451512075081757	0.43736333973091	-0.454045579173054	-0.0342205928802111	-0.360795760706983	0.0685879217204377	0.249603302660774	-0.356571582674254	0.324869243873978	0.147814063147711	0.346165363198571	0.245372157001276	0.259506195572305	0.413327357603087	-0.082436711403524	-0.190067838649705	0.0216555089594443	-0.175734203874274	-0.326343675328721	-0.354844498532289	-0.019209090844976	-0.311545221094528	-0.0390649000462471	-0.322650867409925	0.0506222395115739	0.496667114926327	0.235205880302441	-0.0356689092687272	0.0556927273874575	-0.00420773194711721	-0.389258425601906	-0.0529807517434744	0.431879106679263	-0.253646626555888	0.315825320900645	-0.187165962050289	-0.208525418736423	0.338054263618581	0.149369349271907	0.1377268038199	0.0970837339589679	-0.348918390570606	-0.0314228977636262	-0.00482521611588105	0.441002543768937	0.114165829965511	-0.299935025157412	0.276467056268098	-0.288048094499617	0.585873434594783	-0.314587273270261	-0.389258425601906	0.197718678607151	-0.20589174965005	0.678996640594194	-0.235857172495111	0.110035067621974	-0.683864658333338	-0.171837622163341	0.0162074389710956	-0.242897452114699	0.418574774647452	0.0308971304278725	0.201521601511937	-0.0542522540694836
Apod	0.603093681531778	-0.153428714278339	-0.0281824501883605	0.358303665629462	0.06979157508189	0.171178280160021	0.0711809536945243	-0.102799883254594	0.124434837961246	0.255104677676929	-0.0912125873597969	0.121652946441856	0.0467566949567662	0.420393713860792	0.0180197707162169	-0.243345491369862	0.109074117803441	0.165304728346532	0.0380041050194748	-0.215175023006093	0.489172142260035	0.200337564469409	0.432120253109741	0.165304728346532	0.432120253109741	0.165304728346532	0.672994257781824	0.00796339722753814	-0.0655684217509922	-0.0532224596150748	-0.249442036787329	0.253538661566079	-0.325590709668704	-0.419490433727068	0.000852590873586578	0.73856017071599	1.00885080288887	0.0757751719496405	-0.170764951410346	-0.208065798241867	0.585433476406344	0.180374228331351	0.478801903694309	0.0494445359518618	-0.162177994417197	-0.342517870355296	0.0141498390959836	0.76291670730904	0.471120526799931	0.142954662746895	0.569307348311485	0.414114033159629	-0.0104441072403212	-0.0467216306921792	-0.0645561703300412	-0.501806387374813	-0.259267798713431	0.013956916640204	-0.473244747233421	-0.328854983114837	0.101814672172381	-0.465688622171765	-0.324666801484881	-0.241985975701276	-0.0811973524816381	0.496839054675103	-0.260780168112284	-0.219344516829924	-0.0383678277254553	-0.123833101184923	-0.0811973524816381	-0.170494342746112	0.43261031339823	-0.0763862417422772	0.484161806330986	0.32189234157811	0.455005637972167	0.854463924566826	1.49064876643866	1.14503559943449	1.05651120137545	0.23434135164166	0.611661754547058	-0.24898995797021	0.639214216619294	1.4670726864989	-0.16149906568025	0.984984757353764	0.0153672102877795	0.984984757353764	-0.563803124463869	-0.0763862417422772	0.282870502939781	-0.788856477484867	0.747351397175741	-0.0732053354370432	0.314658680327423	-0.470820883925052	-0.406437455215553	-0.473244747233421	-0.514083212398708	0.236489310772635	-0.136536815696543	0.154335495760108	0.687474791715328
Chn2	0.140699676038317	-0.201052562250009	-0.0306973124750769	-0.00399870323345652	0.347610436700601	0.140063304789914	-0.0105433822123135	0.392081774756292	-0.37294030701199	0.0765127282269935	NA	NA	NA	NA	-0.0531024587987172	0.32191532406814	0.136392454777399	-0.237693638651608	-0.198048226152963	-0.254224885130059	0.537981971353551	-0.0696130664606347	0.213371282447566	0.178051695665438	0.0390957820426738	0.227286380225959	0.383272991912001	0.0600936101250991	-0.0662948739866867	-0.156096338238438	0.069690522629422	-0.20205482001826	-0.295130402946002	-0.404266576366302	0.339406992079306	0.3649047540389	0.116684674218709	0.504647075706492	0.0426492290369378	-0.279233528329854	0.326824834429365	0.118434584858475	-0.172826019276969	0.135990838222844	0.0224002228025508	0.135372343846496	0.189644794210812	-0.0478132723844116	-0.1933507713178	-0.105792000337518	-0.0115249545645888	0.19483622199753	0.326075133817255	0.0368138916479381	-0.347107652368594	-0.524291057850682	-0.19895489653285	-0.232573397007538	-0.0331638702080088	-0.168768113837608	0.0705515981050855	-0.271926843489313	-0.12614718715032	-0.202069905774977	0.597168011798543	0.248947331545592	0.314961283344102	-0.180853299866792	-0.158303594515935	0.74247608269676	-0.257905117124301	-0.134280563906485	0.515725725963572	0.415579442438371	1.24644620671436	-0.30055908201116	-0.30055908201116	0.00820427782779909	0.171853563284285	0.52155958290167	-0.138888889674876	-0.227473734347241	-0.0738727560287415	-0.150592660604417	0.159952538513771	0.0573047612377433	-0.107631194310322	0.549193071266448	0.527583084075141	0.89372511737062	-0.316715486879488	-0.310481683855629	-0.0823173077346517	-0.289931969230095	0.946284306212567	-0.167480311007195	0.357116454369812	-0.373913755696901	0.0810283292085341	0.359616991323078	0.220889943915068	-0.0478131339184689	-0.115899227233067	0.364994911677018	-0.0857168405377298
Cldn11	0.0437008639924255	0.0984813849638577	-0.45519449547028	0.197842346858298	0.253649204201414	0.41625339851009	0.221750708512307	0.0403383191674838	-0.294483439809602	0.277395347692709	0.0217402592165659	0.461164020951037	-0.0516035258827738	-0.168155147843715	-0.494580359786688	-0.19502350789435	-0.0210329018471427	-0.100321210467314	-0.582572346154059	-0.37966986544712	0.227135991695842	0.291660660661435	0.78414144563663	0.533484467199852	0.506411487827824	0.391216973502374	0.274889869222102	0.0421111664965874	0.0155084674795063	-0.0358158260687684	0.350305749485322	-0.119594556305726	-0.1658036523623	-0.563957719649792	0.291185215732737	0.452747970800541	0.0458651502114478	0.340461030019002	0.357547002921956	-0.223582443723666	0.224924808677635	0.206165429490863	-0.345596891496019	0.25831857318159	0.0355924246063921	0.0413042899065363	0.433138920882074	-0.281170038318583	0.0266137044017345	-0.0992716670226859	0.234618317793229	0.265097361409035	0.234618317793229	-0.0780240477210299	-0.349980293956644	0.0740111154413601	0.160766122671413	0.0666259542024541	0.452685109046934	-0.246898814463151	0.16750775823531	-0.00436712695247188	0.116381112365771	0.0266137044017345	-0.139557256422302	0.316944788801056	0.15372256121937	-0.0734715224267948	-0.00436712695247188	0.0142249911936485	-0.459797716251799	-0.256733136821397	0.433685323157345	-0.18303166110617	0.370300583341679	0.0203888709846058	-0.0221549021777019	0.50531588640087	0.50531588640087	0.517824214932402	0.529747104603102	-0.236146739543667	0.00182346923000587	-0.226536016304605	0.405835597290567	0.619509940731302	-0.272392771526059	0.397021986934275	0.0333178051689789	0.471383281243476	-0.502036747990818	-0.0830610045836355	0.0953642171811016	-0.314157807921404	0.734141914555737	0.0333178051689789	0.50531588640087	-0.246898814463151	-0.114432076850845	-0.0101811886739682	-0.0612427242018772	0.0468828926201343	-0.0884495176073834	0.316944788801056	0.0809712385358452
Ctsk	-0.189559229218146	0.102034670170339	-0.0625683788659126	-0.0690574524507594	-0.00133948118466787	-0.052751376223636	-0.0662962000613456	-0.0226123585953051	-0.129191095950445	0.020938554587894	-0.0788945291064449	-0.0658939624814661	0.0114655619493176	0.00918477482604629	0.0129262456858505	-0.0647456664580339	-0.0294924008040196	-0.0180988488277745	0.0453630560494238	-0.025690769696916	-0.0616440033353669	-0.0538536041422093	-0.115501063056163	-0.0240482732664136	-0.0771950439978424	-0.0547511816552815	0.179320516132545	-0.0748398438884577	-0.334525407835762	0.104548305397634	-0.0748559347180828	-0.0203765169642107	-0.110708108339787	0.0478328003217872	-0.127040464306702	-0.141498129323185	0.252355174106252	-0.097926621113813	-0.116939550548487	-0.310742119691632	0.0741963947858615	0.0759523676938425	-0.0066071741523599	-0.114321094547367	-0.0915560916600153	-0.109325868292972	0.0614287301142999	0.162572103780928	-0.0370827948463006	-0.0169390304909767	0.202829555255372	0.0431411938533071	-0.331567106017824	0.0228030462625233	-0.212367850932178	0.042439285939567	-0.0613762133491749	-0.0877287629668047	0.2091562024524	0.0262231520697593	0.00439924645695999	-0.18842979374601	-0.0176222497138969	-0.245250082640093	0.293427439917927	0.30097145190868	-0.269524549151108	0.270292209703452	-0.167038942208315	0.459130741901298	-0.0112777322595381	-0.0673639650071838	0.390013324969221	0.187469385351415	-0.256433414156216	-0.338195824712092	-0.415506059091176	-0.00375271252795173	-0.211625548353111	-0.224170998330017	-0.3514766307483	0.137633667223497	-0.0483497983427981	-0.127673240435204	0.0656594695365946	-0.147319928155559	-0.356399228201158	0.286871041881932	0.0564557747854897	0.432286667604874	-0.365585854970973	-0.277334408723748	0.0324638645315707	-0.261408734581726	0.138988476836337	-0.0963548045427221	-0.17231202654376	-0.52362843539831	-0.252397539166407	0.264508188061031	-0.31817478639424	0.248751216857423	0.011421277781638	0.363668471792273	-0.0877287629668047
Ddc	0.120957680165941	-0.148293444847494	0.0331920833190198	0.0227724434378613	-0.0357208295822646	-0.12097944002662	0.0300291035821063	-0.231210085351321	0.0870283158710006	-0.108504023236573	-0.184078568199867	-0.627741483945614	0.444479100407294	0.0175345964141034	0.0597765319074632	0.291808135830827	0.474830359448069	0.388095824588936	-0.210710299446932	-0.0537989444330993	-0.215224886488482	-0.210113967398293	0.39823198103732	0.0044176084094687	0.0496334036460357	-0.252767393696578	-0.00598635391636471	0.223395205499323	0.0603010829314119	-0.255354565853566	0.150399349221895	-0.310550060229105	-0.0073548462093953	-0.318035864928777	0.291079852736945	0.162599621331401	-0.127465974912214	0.129281976396276	0.389012328391072	0.0766035685237068	0.410164499962848	-0.0064616701456881	-0.222458054671323	0.162496268244306	-0.0926269084144398	-0.244837941793033	0.220137286554175	-0.150987743420698	0.327332974159651	0.397484395756415	0.336319371247129	0.182672739657894	0.717439835954108	0.0488430858253199	-0.153480285294625	0.0556324825353425	-0.0173839959271582	-0.0396983856223194	-0.367151945181281	-0.356759327109365	0.0507477758414119	-0.390695746893435	-0.30366582148536	-0.494041404657438	-0.100752711511118	-0.0198562358014041	0.174348751603947	-0.211361110516741	-0.141207144833983	-0.10374122447543	0.167206212670854	0.0125173213888434	0.338111818844974	-0.397254336973157	0.227587780568618	-0.395157104370951	-0.343179103857521	-0.000248284839612367	-0.42046826390993	0.097921827426573	-0.221168399347709	0.028634503361646	0.0684027542645289	-0.114318934519337	0.11379546743818	-0.19503847817785	-0.220516777874993	2.51152686846918	-0.367769532009474	2.26818439839549	-0.537759848455956	-0.219866621137561	-0.151537122693378	-0.205584075861591	0.410380405168775	0.0266471239896422	0.128004919111261	-0.335524245998359	0.373021692400073	-0.217770597660676	-0.399315077639844	0.200798513238563	-0.204888517986555	-0.0143864703597227	0.0408623645253048
Elovl7	-0.269094826593573	-0.0164030932287105	-0.343393668473532	0.467843382183475	-0.147430321815663	-0.0385345160939279	-0.274470581594634	0.185678197360426	-0.236822054727751	0.224213139260279	NA	NA	NA	NA	0.797183029718234	0.489250891144899	-0.105784659994052	1.0005405024225	-1.08044511743174	-1.02587948989174	-0.100622701851572	-1.20123476311354	0.667036844739311	-0.513374186592802	0.802753510242219	0.123147419016055	0.261451887857294	0.247760541816545	0.0606024669045073	-0.514305518202375	0.497932493515135	-0.511132944081601	0.0836100604311696	-0.815616603327568	-0.167034359121541	0.647445657259111	0.225478356569434	-0.17244084954765	-0.247768519612306	0.56439618207628	1.37666435784062	-0.575639763143604	0.738063423697369	0.216697185952974	0.213304073724148	-0.781957332516376	-0.555016852413479	-1.09172924636831	-0.175253305680114	-0.4790428459023	0.895618062096096	0.249286930157092	0.0527268569302581	0.0756919386096495	-0.380408385315392	-0.129433669176308	-0.807982221698332	-0.336491020853964	-0.283812056424326	0.0361110390945409	-0.134610110251411	-0.688690566878799	0.244151028339446	0.0714954548218385	-0.608095488042354	0.329188707686772	-0.113647464246478	0.450820748584937	0.478392517512753	0.184485979999161	-0.429623514298167	-0.114701070055608	0.100767651792443	0.192758834217451	-0.234597238872348	0.0194416624128309	-1.06880117314309	-0.00168814149515661	-0.23866459010602	-0.0804163324670029	0.17833966250132	-0.223515788760769	0.00224504235701417	-0.919053095594425	0.557609539560132	0.01400571345913	-0.275558968762807	-0.2093861620721	0.394217991642921	0.128087504675209	-0.238257209703441	0.0930277585013854	-0.139541919412316	0.443897937967803	0.330383221073131	0.101782839795738	-0.016813427988275	0.0589014615494632	-0.55528022841199	-0.193445413877682	0.46562964103072	0.462681349163345	0.255944840550135	-0.174762109304561	-0.00211957295660081
Fa2h	-0.157676171213136	-0.264156192686899	-0.108840787645811	0.130068107032079	0.262499796500856	0.275521555294924	0.294394835572215	0.136716720678272	-0.688014053545002	0.271491688631956	NA	NA	NA	NA	-0.084746516783035	0.328284499031579	-0.214539787952672	-0.390698308237358	-0.662011798182217	-0.207097698901743	0.0517782428897533	-0.0617336225288589	0.308056806611731	0.628601778927989	0.210945199159923	0.273136340316039	0.149074447788463	-0.0109395852482557	-0.127112564864708	0.0612457407319411	0.427587659276394	-0.208839595163626	0.0386138548362638	-0.438409006833927	0.0982043864248858	0.406299271055785	-0.291147734446298	0.0888974638319091	0.322696835729881	-0.235750146523322	-0.0447259635023229	0.13289359170339	-0.157995680617046	-0.167155946327862	0.0932746207985717	0.0520670467298592	0.0926262424276816	-0.108815316084026	0.0698243681001003	-0.149854182283718	0.215520012181214	0.192291102433298	0.366369263239546	0.0504434077516951	-0.250717274419184	0.126006945751652	0.129033522733664	-0.00637233802954995	0.337781036196271	-0.247896719251642	0.0630132047337248	-0.204307514080192	0.0766682036547195	-0.0603807642724608	0.115348218348867	0.380795277910863	0.0781456220272112	0.128314050533973	0.236982267015685	0.0743538970924327	-0.407365918159986	-0.2342876026869	0.456132964539636	-0.288517043831916	0.422278349594091	-0.293986239304971	-0.316019809395296	0.087965867061623	0.00749184018459381	-0.104905993770011	-0.0936483586753134	-0.51739924261868	-0.00708341956352498	0.00749184018459381	0.278268690351448	0.0184165443154605	-0.258238963488687	0.587214837384327	-0.137535856192006	0.723215417316617	-0.599294870197651	-0.296056265362296	0.129033522733664	-0.28641099557826	0.739595221995138	-0.107191114691544	0.22422935957967	-0.635323172120273	-0.167962207421386	0.0572490235116838	0.0325833382902179	0.145457612233116	-0.0957508577575865	0.244433405191742	-0.146955537527592
Gal3st1	-0.145457663573912	0.0990513360679284	-0.228003719387522	-0.11775686887346	0.168807464633635	0.296018219435766	0.103403396137301	-0.118115526195545	-0.0381367579626808	0.0712006001949552	NA	NA	NA	NA	0.0124759888922776	0.16630839268525	-0.107947083269793	-0.287242936135334	-0.264420787181398	0.164997418527785	-0.238614304250276	0.128261621494715	0.224333552733025	-0.0437325668050859	0.148261299016355	0.199462606780242	0.0766856694314626	0.040029307507913	0.0935781065651522	-0.181013192699286	0.131954988956029	-0.179853935764252	0.0905510492665167	-0.132286371370781	0.105805648537909	0.0666059559540058	-0.222256410065602	0.224745933609534	0.335228599175317	-0.151730320866856	-0.181325651165339	0.180504208714406	-0.163650431389523	0.184728663602496	0.00820687172642476	0.102909577220694	0.082324914968015	-0.271456342883853	0.0194369988540988	0.0592639322841197	0.0859098811062875	0.226448583010086	-0.146476020807816	-0.0326294665714393	0.122318627883192	-0.197295289940008	-0.06316335538102	-0.0931127345931451	0.208712251141653	-0.171030838161826	0.138305689477642	-0.11768129324744	-0.0621855771834152	0.033396510096555	-0.051113363121603	-0.13574419723048	0.0765429654660785	-0.0516249984200225	0.0121664522158991	0.168815415370331	-0.21060588822373	-0.127827523496441	0.464160463120679	0.175853127902377	-0.0969123044587885	-0.25527951679984	-0.170505483580726	0.178123041412219	0.256193165195993	0.164755082525202	0.155441047575041	0.0987827588762702	-0.142419477361383	-0.104259743248912	-0.0851899921299459	0.216632530427866	-0.0827024977891888	0.40141655720265	0.0864751603842784	0.741777754988261	-0.378439897217799	-0.182289665047168	0.00932052214803392	0.0243797510543526	0.4812031130776	-0.416748940514548	0.113486019577921	-0.118299057433109	0.0426179540522806	0.00759281569750136	-0.257180585219116	0.0915911090228665	-0.232195319849925	0.0315931309595925	-0.106537217450809
