#2018-01-30 21:38:25: 
#
MANUAL INPUT GENE LIST

#
#Input expression data: 
#C:/AD/files_results/AD_mouse_model_project/mixed_model/random_intercept_include_NA_low_exp_rm//late/mixed_model_results_exp_corrected.Rdata
#
#Input gene ranking lists:
#
geneSymbol	GSE14499_Hippocampus,GFP,rep1	GSE14499_Hippocampus,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep1	GSE14499_Hippocampus,APP,GFP,rep2	GSE14499_Hippocampus,APP,GFP,rep3	GSE14499_Hippocampus,APP,GFP,rep4	GSE15056_wt_rep1	GSE15056_wt_rep2	GSE15056_Tg2576_rep1	GSE15056_Tg2576_rep2	GSE1556_12moControl.1	GSE1556_12moControl.2	GSE1556_12moAPPSw.1	GSE1556_12moAPPSw.2	GSE50521_eIF2+_S51A1	GSE50521_eIF2+_S51A2	GSE50521_eIF2+_S51A3	GSE50521_WT1	GSE50521_WT2	GSE50521_WT3	GSE50521_5xFAD;eIF2+_S51A1	GSE50521_5xFAD;eIF2+_S51A2	GSE50521_5xFAD;eIF2+_S51A3	GSE50521_5xFAD1	GSE50521_5xFAD2	GSE50521_5xFAD3	GSE52022_4mon_WT_rep1	GSE52022_4mon_WT_rep2	GSE52022_4mon_5XFAD_rep1	GSE52022_4mon_5XFAD_rep2	GSE53480_WT_rep1	GSE53480_WT_rep2	GSE53480_WT_rep3	GSE53480_WT_rep4	GSE53480_Tg4510_rep1	GSE53480_Tg4510_rep2	GSE53480_Tg4510_rep3	GSE53480_Tg4510_rep4	GSE63617_15m_hp_VH_rep1	GSE63617_15m_hp_VH_rep2	GSE63617_15m_hp_VH_rep3	GSE63617_15m_hp_VH_rep4	GSE63617_15m_hp_VH_rep5	GSE63617_15m_hp_AD11_rep1	GSE63617_15m_hp_AD11_rep2	GSE63617_15m_hp_AD11_rep3	GSE63617_15m_hp_AD11_rep4	GSE63617_15m_hp_AD11_rep5	GSE64398_WT_18m_Hipp_rep1	GSE64398_WT_18m_Hipp_rep2	GSE64398_WT_18m_Hipp_rep3	GSE64398_WT_18m_Hipp_rep4	GSE64398_WT_18m_Hipp_rep5	GSE64398_WT_18m_Hipp_rep6	GSE64398_WT_18m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep1	GSE64398_WT_4m_Hipp_rep2	GSE64398_WT_4m_Hipp_rep3	GSE64398_WT_4m_Hipp_rep4	GSE64398_WT_4m_Hipp_rep5	GSE64398_WT_4m_Hipp_rep6	GSE64398_WT_4m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep8	GSE64398_WT_4m_Hipp_rep9	GSE64398_WT_8m_Hipp_rep1	GSE64398_WT_8m_Hipp_rep10	GSE64398_WT_8m_Hipp_rep2	GSE64398_WT_8m_Hipp_rep3	GSE64398_WT_8m_Hipp_rep4	GSE64398_WT_8m_Hipp_rep5	GSE64398_WT_8m_Hipp_rep6	GSE64398_WT_8m_Hipp_rep7	GSE64398_WT_8m_Hipp_rep8	GSE64398_WT_8m_Hipp_rep9	GSE64398_het_TASTPM_18m_Hipp_rep1	GSE64398_het_TASTPM_18m_Hipp_rep2	GSE64398_het_TASTPM_18m_Hipp_rep3	GSE64398_het_TASTPM_18m_Hipp_rep4	GSE64398_ho_TASTPM_18m_Hipp_rep1	GSE64398_ho_TASTPM_18m_Hipp_rep2	GSE64398_ho_TASTPM_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep1	GSE64398_TAS10_18m_Hipp_rep2	GSE64398_TAS10_18m_Hipp_rep3	GSE64398_TAS10_18m_Hipp_rep4	GSE64398_TAU_18m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep1	GSE64398_ho_TASTPM_4m_Hipp_rep2	GSE64398_ho_TASTPM_4m_Hipp_rep3	GSE64398_ho_TASTPM_4m_Hipp_rep4	GSE64398_het_TASTPM_8m_Hipp_rep1	GSE64398_het_TASTPM_8m_Hipp_rep2	GSE64398_het_TASTPM_8m_Hipp_rep3	GSE64398_het_TASTPM_8m_Hipp_rep4	GSE64398_ho_TASTPM_8m_Hipp_rep1	GSE64398_ho_TASTPM_8m_Hipp_rep2	GSE64398_ho_TASTPM_8m_Hipp_rep3	GSE64398_ho_TASTPM_8m_Hipp_rep4	GSE64398_TAS10_8m_Hipp_rep1	GSE64398_TAS10_8m_Hipp_rep2	GSE64398_TAS10_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep1	GSE64398_TAU_8m_Hipp_rep2	GSE64398_TAU_8m_Hipp_rep3	GSE64398_TAU_8m_Hipp_rep4
Bdnf	0.136487382966308	-0.115461361614646	-0.294533136893014	0.278202835066171	-1.01062728687292	0.109108718022794	-0.0999781427252451	-0.264449304597793	0.0607589614708619	-0.0738097472770907	0.0976292312081437	-0.314570280226278	-0.0860827349117503	0.0222188042989107	-0.106438641986729	-0.283763675579294	-0.0266577755147184	-0.155186850063533	-0.169268387666207	-0.0918842492117617	-0.195211863834654	-0.227561799738096	0.17360857403603	-0.196916984012026	-0.0643590812218529	-0.290655340868857	-1.04588700307255	0.563341531072838	-0.0380844094487287	0.0882748597185561	-0.280382420183074	-0.0809197888564466	-0.214117906972904	-0.0859062363710095	0.0890701447374393	0.353411848103136	-0.846703692545319	0.174321633287329	-0.100216146844591	-0.241318504169801	-0.1399464989974	-0.244912959733849	0.293387298673817	0.161905841105103	-0.443969950451571	-0.142360749546961	0.307868841667746	-0.599169549682259	0.0449515379630512	-0.0216004366398401	0.0332299378759942	-0.188073829358753	0.390378656759014	0.496231035537905	-0.0966660920567239	0.598997947546536	0.107407848228979	0.412554740091872	0.283467110191081	-0.0927631567520244	0.444937523945146	0.0311791312140741	0.0674785731400629	0.396636760036772	-0.155475897373895	0.449976565050491	-0.0116476922623114	0.134113161513131	0.268353271065314	-0.259263051322758	-0.124239013782162	0.0285592213230128	0.0173123206425263	-0.285615482109634	0.111321148500092	-0.247345394646379	0.161307469551062	-0.498914489508605	-0.431666985713477	-0.602930981282665	-0.476253955321344	-0.131924182589824	-0.1517518063533	-0.0954610347502243	-0.227979127048666	-0.156124669883994	-0.358545666388542	-1.77819359434299	-0.57848687909997	-1.56389702073949	-0.0600623207444269	-0.121586978083659	-0.366219834673943	-0.181734128727244	-2.2714125985588	-0.18991041726566	-0.405500595868737	-0.476253955321344	-0.232482872836989	-0.0495833451477452	0.338668372676706	0.122655802566982	0.0206940873816492	0.404635440388684	0.631601950285148
Crim1	-0.300505622476009	-0.0530206564023334	-0.391102944634015	0.0886942724948758	-0.376890673324316	-0.331092055329354	-0.0890464122278178	0.222055128369938	-0.392881951058145	-0.278222336656123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.109960025311969	-0.0756091186234027	-0.269632640469554	-0.286160701984851	0.941460543093987	0.593660663511793	-0.796610676602436	0.105911641697569	-0.812553989571693	0.344123777270179	-0.534440152277121	-1.11723195578587	-0.193181116576252	-0.265165380799061	-0.590563930308427	-0.245492311307416	-0.0900123166594859	0.133334764301917	-0.165344644655434	0.00702792097745331	-0.0410728987026552	-0.101312528208894	-0.179097506090599	-0.0472750215348574	0.460976400479796	-0.375010983565604	0.307104105579421	-0.356465084643721	-0.0962042053264831	-0.180777219102765	-0.31280442196894	0.142186696278581	0.781732983620917	0.100688360215167	0.0894530212977447	0.651361439217341	0.210953565878938	0.465705395901891	-0.606320918191641	0.415368983054338	-0.278700855009648	0.206668308858996	-0.31915378335643	-0.554937340254383	-0.607109877136199	0.136148508403595	0.240248089506842	0.43142089788555	-1.09166781544482	-0.587809751852195	-0.228562668641104	-0.0414743502192501	0.127474178314948	-0.362143958509531	-0.53895624997782	0.00957026381200077	0.0351430415805529	-0.832044966566015	-0.93396097939484	-0.355420985678503	-0.431614391113008	-0.422261261495859	-0.511147617027155	0.477842718506654	-0.288218967725955	-0.429155502931421	-0.757028131537409	-0.353361130897293	-0.371917242823002	-0.0608351976758472	-1.04452801012951	-0.967345767999138	-0.311762145964375	-0.65586398710322	0.0871889904866849	-0.603274388016737	-0.105901393798385	0.8170781955612	-0.0883577512880009
Dcn	0.320597417127628	0.796013785636768	0.663042505365709	-1.46883770082356	-0.306647414676707	0.409275593581466	-0.730079684196818	-0.302139229977417	-0.220680240815486	0.0641879225686228	-1.01800041818711	0.18747098656489	0.32537719054138	0.56327615209328	0.321156247552123	-1.31232181203726	0.315946978736681	0.72041411838779	0.231717351680739	-0.190485431768291	0.858647973013287	-0.659126883203136	-0.0268534101388713	0.184286819951632	0.667671463480936	0.116031105985362	0.543001797347861	-0.554208107938775	0.628740687148161	-0.102475327095995	-1.84834781548933	0.886312784224829	-0.241618688522287	0.509634524285914	0.294657747343756	0.0105169633555899	1.14924712750998	-0.638698630782633	-0.466432573142674	0.226969187876255	0.727325068231734	0.25550426984487	0.978624634310346	-0.225845955008822	0.123900575997265	0.560575560753232	-2.92862551465137	0.685450991307746	1.04048162074422	0.508927015865702	0.395579535392807	-0.0241488951799305	-0.652779367417992	-0.78522023237104	0.790280375230001	0.0869358263368909	-0.0402944195425246	-0.341117218392018	0.229368521555102	1.14491126902153	-0.478413785024085	0.492751792022851	-0.477627691489101	0.260889912656937	-1.48667247673181	0.471704123767534	-0.405559267055468	0.0421841202012825	-0.100739019993771	-1.09776355020809	0.604689622479615	-0.0157226108032198	-0.466187351444679	-0.0535132401695044	-1.56011533477439	0.274361508028576	-0.867060453295021	0.931859832362179	0.0681557787779159	0.234124418981317	0.461152146362917	1.09120411018449	1.02604867814869	0.477947253489519	0.323624882684472	0.320425632188565	0.805453408825286	0.483557512913841	-0.858679494340551	-0.0208735953568358	-0.855214481961461	0.293355016137715	0.704789612882866	1.16317706524823	-1.80596394179115	0.0273193991781682	-1.22763635154451	-0.92192018299162	0.369137555225485	-0.335161952839696	-0.120369334623707	0.721611391776923	0.791464001801186	0.693215286255761	-0.242218066268929
Fezf2	-0.620158476145091	0.320744455051321	-0.327146686424957	-0.621191097936094	0.00491587554608941	0.149780452111282	-0.122745530954028	-0.501808952551438	-0.155868898513995	-0.236338621389573	-0.535845190512523	-0.827395525831834	0.462697160515429	0.466825998419932	-0.0936769990875916	0.0866428641810941	0.213993141133193	-0.0451154745325901	-0.0387555116878282	0.293129263984076	-0.380036257488229	-0.246927724415677	-0.329959620651392	-0.178788928753427	-0.576883564482447	-0.186131459036757	0.06909674145815	-0.158765811108971	-0.0902311919332703	-0.270371321078095	0.0492222016545032	0.0977386419674708	0.045721953013766	0.0889000194503762	-0.386601090895217	-0.0196412748944947	-0.570640153181504	-0.442643071788959	-0.0267275387615804	0.264191476044033	-0.385069285942738	-0.105188999617546	-0.0043257714630851	-0.578933831360971	-0.203457359807748	0.0972583638837001	-0.677918692489134	-0.232042787517718	0.417301348587939	0.432858984974098	-0.313693965569048	-0.0993402795719245	-0.197577941507928	-0.048291608121696	0.230628618170213	-0.0338611492006624	0.330763197313964	0.24699430922829	0.285548871973843	0.121756706674866	-0.101908491066554	0.203707028052232	0.043582245329512	0.206429036223239	-0.0424946838502525	-1.08240019263744	0.280745651449628	-0.140381855697592	-0.208712502353675	-0.239300292040786	0.11226811900598	0.535860341674338	0.440195728630346	0.555521084587967	-0.943670533340519	-0.492359009343485	-0.446240889608797	-0.179321305971992	0.125817290245861	-0.218300036455805	-0.137795112369758	0.311573315631199	-0.369776915215549	0.171002219858408	0.00356153574895224	-0.729786226598822	-0.00313860794400078	-1.50435324894278	-0.541041187758383	-3.16959071706376	-0.50920754219244	-0.00843441117591581	0.288134598776379	0.4014455061346	-2.25140281388465	-0.908963955876859	-0.453711349729231	-0.649290260452462	0.947519383393086	0.216486566105651	-0.23545782894646	-0.00510612372700159	0.0944822344836709	0.385075212949316	-0.115236338358185
Gabrb3	0.0504907570672675	-0.0619636954237883	-0.292336183931079	0.0545720010295447	-0.166570344084795	-0.0691212977975262	0.210796482931448	-0.152862134095571	0.0398518667061882	-0.372467282043566	-0.248133690397482	0.447737132339537	-0.594085275370626	0.102826254655387	0.0875140356037178	0.0193860862826156	0.103932430989431	-0.0828222074596461	0.0119728285598271	-0.02352048601945	-0.339363747865878	-0.0613056587530565	-0.123976096476413	-0.0828222074596461	-0.169028143220647	-0.0683007085810807	-0.334917055731426	0.0673995003418799	0.0185747203788793	0.0103391004563509	0.0884592977770549	0.00439644519015658	-0.0110851419341973	0.0201495309286965	-0.0709256696821825	-0.172339374553147	-0.218531285404048	-0.130015320532866	-0.0415815111282161	-0.124176374949986	-0.148809141279814	-0.0929755981221323	-0.0339633625703151	-0.0228441584837196	0.0653179591612183	-0.0489185377955579	0.0257172989245369	-0.222710440967958	0.068394479041169	0.0527665035138085	-0.0460038669340737	-0.285059772397084	-0.0633564098442267	0.0448726319915451	-0.082205066952822	0.421224340121189	0.225828631594899	0.239604125180161	-0.07038293412168	-0.0249583727326073	0.210175101957205	0.0955677408198827	0.105926655028092	0.0705911598667175	-0.178035654836259	-0.136900375636229	-0.0845110661665238	-0.18746830673051	-0.00148847119552009	-0.332839823147149	0.0728611462307018	0.121108333204431	0.0238065903198379	-0.0149414470738449	0.134499874376862	0.0728611462307018	0.193493317099016	-0.104355553230276	-0.318008913123384	-0.321264502697447	-0.339922274380955	-0.212468209088703	0.075288353071949	0.0238065903198379	-0.134916696340779	-0.285059772397084	0.0503040335823943	-0.548519358237058	-0.266063141425182	-0.941601758127941	0.129461931654967	-0.0607984004450941	-0.118750435413604	-0.0149414470738449	-0.844224999164704	0.0086999411279951	-0.222380728411641	-0.0799105690399866	-0.0039888084163664	-0.106631436931515	-0.0175257764927128	-0.0199432569079807	0.0773994872693038	-0.082205066952822	0.148090842260133
Grp	0.104124626728444	0.553120697584971	0.406068310212065	-2.18355194509833	0.134306600295629	0.104124626728444	0.0610135441613116	0.405977349822558	-0.969687782426571	-0.514210357508998	NA	NA	NA	NA	0.12965943866452	-0.512082903182248	-0.160423902175291	0.261432279274345	0.0465854194259716	0.411298962538917	-0.175465380173703	-1.04402465698495	0.419662616839197	-0.0234549901614969	-0.35136158963385	-0.301619603272714	-0.20894908457398	-0.0686068301849172	0.148390964396919	-0.137371660334406	-1.67236347136051	1.13146467401272	-0.261025781361177	1.18800468025176	-0.0118396926645055	-0.787054066701576	-0.00903380671292631	-0.939165085578285	-0.0611226920156938	0.0687624809473046	-0.24130462273247	-0.0847994173137518	0.134616332628623	0.162699166787085	-0.106887945273668	0.298823936851596	-1.07335756675156	-0.114430410278015	0.104380034119128	0.424202250902667	0.427941618982116	0.465667625260625	-0.799313997424715	-0.092606735905191	0.757200673935616	-0.230096423709394	-0.265487400724037	-0.433420524179086	0.223490584519528	0.475507141386494	-0.863220384318882	-0.152940849387216	-0.233817916512999	-0.247848420550085	-0.549145907773577	-0.613173822940105	-0.067056599822596	1.07096880294257	-0.486569367638241	-0.233198909216735	0.096019764653267	0.269133173183834	-0.158052589367475	-0.113943601556812	-1.36491726874382	0.112977527108431	-1.22755582921839	-0.230096423709394	-0.510250110636335	-0.4141682413292	-0.868586085768983	0.434869642643291	-0.0693172225278005	0.683290520791646	0.427269865462772	-0.369964843758902	0.662213622733468	-1.34259675665081	-0.489144168507631	-1.46362803994854	0.0971429770255625	0.445392302280036	0.350371397070752	0.64312678812504	-2.26146824248657	-0.801857002209925	-0.779822582103879	-0.680699624647804	0.154026910464147	0.153459149084103	0.282533760682766	0.671787332118853	0.749124795658272	0.0857786451146829	-0.352547476656433
Kit	-0.18510424522864	0.0921052242707017	-0.220082272517001	-0.45759262777203	0.153752765580503	-0.0334133976799826	-0.0141856984430309	0.0161178412043839	-0.403996816388686	-0.112525179275609	-0.0906587955975091	-0.0556237811912688	-0.305235534055477	0.0838091727885111	0.00998174101642313	-0.0284826755031737	-0.00728717621566233	0.0182801375660695	0.136867476509652	0.021892499105439	-0.46874977818652	-0.318240438722306	-0.275198501987964	0.138450238033835	-0.213329052969227	-0.0916961078498613	-0.388464443579357	-0.200503370141458	-0.132120739106599	0.335234769570294	-0.238702649256002	0.499414296520305	0.0487919355718258	0.527215005474149	-0.540606876082787	-0.545151222987418	-0.0801939411623653	-0.465945315244706	-0.113153563877663	0.222575517855802	-0.265001247654787	-0.117884188685808	0.111810160279719	-0.283222268138807	-0.0105101145780413	0.154869354343441	-0.5992060137803	-0.0406811211299729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ldb2	-0.351050288230999	0.0361955526288593	0.226653434523151	-0.524235258500704	-0.208338901886265	-0.372796263290203	-0.249288157226639	-0.123217564081706	-0.426942986740064	-0.0579316240025065	-0.667315172559483	-0.118991429166956	-0.103583289493367	0.326944808330961	-0.0840509439206603	0.0950449366129344	-0.0892838911599565	-0.116961333792949	-0.0260028789176392	0.401454637888991	-0.123328254813915	-0.647502379949334	-0.582060015384029	-0.000789974834942697	-0.291374027775765	-0.355601137596354	0.287394220648011	-0.252079806598596	-0.290809015814199	-0.348986256170532	-0.712213132890366	0.677219409293636	-0.243527967431165	0.603201075349387	-0.33371281046491	-0.566600206542057	-0.239034809441197	-0.42781228202762	-0.171646215082598	0.254718601850985	-0.315418542276205	0.0207690727207286	0.112181653502272	-0.313086437456938	-0.00839168938357293	-0.220655537023884	-0.70474371717712	-0.404834347110436	-0.198275295487033	0.254241263478374	-0.248377760692494	0.0163544353429934	0.0776205898428017	-0.576501290694535	0.208951026324122	-0.0245881292148677	0.00826427518823536	0.117208830958901	0.441389573328383	-0.0439086321610294	-0.355471292814563	0.384766695794889	-0.19350517776658	0.116514676976475	0.309437062440486	-1.59717898718643	0.24073338800993	-0.00158251744855775	-0.202577078601538	0.565548294602763	0.061948654592566	0.58356358910471	0.340646990687029	0.747644978234637	-1.92893358061741	-0.955762615033663	-0.829066644185378	-0.273735651278814	-0.226693324554457	0.087938546850749	-0.296701230791809	0.154773106020984	-0.326865635863006	-0.123209986160624	-0.0333966289661234	-0.963447923449747	-0.0474783303418391	-0.413234779679804	0.0474569469612387	-0.32101060482711	-0.699921314623847	-0.286956477340402	-0.1389179875259	0.0649287520759021	-0.636649407576982	-0.927506170798777	-0.735907965692785	-1.41873181149736	0.379922865292706	0.0233452266144951	0.406224480102109	-0.182744712673941	0.080460594758291	0.167120686114368	-0.49293448117006
Nov	-0.308046119436709	0.22078597331671	-0.0521844230235313	-0.226482921067136	-0.173631458366655	-0.319593355153419	-0.0777449933814633	-0.0777449933814633	-0.397784834543654	-0.121566764885207	-0.450526564848676	0.0787282970122103	0.00778177940728497	-0.0628570833632693	-0.0393598910776785	0.0172036014172416	-0.0185754217238578	-0.354591142782912	-0.155603222847079	0.439683518265682	0.0427967492030863	-0.329114582171933	-0.451257258455028	-0.0434578057704886	-0.0625490671992921	-0.365774899736216	-0.415163075420603	-0.26498968083351	0.452918929998882	-0.161208450307658	-0.132053434428281	0.595691916857364	0.189115398617664	0.47140306846234	-0.477913556583893	-0.81899473475759	0.209182422890143	-0.892524453836632	-0.14163985823096	0.247346503137226	-0.428761144161609	0.429103621989526	0.175737643479028	-0.557773330334511	-0.0295475615704248	0.149787550162459	-1.39799534739777	0.300399550968615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Npr3	0.298334691927859	1.26278348296154	0.621587991133121	-1.35827314589468	-1.10875077404966	-1.00478295195144	-0.121650671559578	-0.16562407732481	0.073085467248136	-0.538534836145032	-0.817113062204314	-0.119126431787721	-0.0770944986939526	0.249375086823706	0.216997927857745	-0.168786671472946	0.699242471909223	0.321757353262248	-0.217073689015097	-0.271121749847719	-0.185684002909296	-0.575986974574322	0.0435484555401171	-0.420544954522974	-0.150633502491742	-0.39917517849794	-0.0551542825064804	-0.112217599131787	-0.157705958807271	-0.309389499611494	-0.126094863351951	0.558301253862236	0.0306420034901977	0.16497305639629	-0.446488899821631	-1.14713930625943	0.432224962121287	-0.811036359392924	-0.16133915613249	0.051748636360804	-0.0503057859047287	-0.658120637183026	0.0752244563465716	0.210485716430375	0.209050784983381	-0.126915349527006	-0.861115336116118	-0.171286197953942	0.0377669898448456	-0.0608223286512111	0.407040097865153	-0.425285750394933	-0.0948946666630039	-0.0225846367304516	0.0239133021637752	-0.225296469791276	-0.0207731954548294	0.00819384929964606	-0.139433847809842	-0.124438982735112	0.0999272423823001	0.141357809385026	0.300274517065695	0.415164240244284	-0.179628708701346	-0.227909394736249	-0.0955433523223608	-0.187744270567633	-0.0935796021408297	-0.299411406966236	0.0579133308043822	0.206836256850881	0.116828438702655	-0.254146117895168	-0.44510027510497	-0.228602565244435	-0.329718955187937	-0.166918863716022	-0.716831130102099	-0.464361823872	-0.277583476802338	0.0365274993590621	-0.00413986963303437	-0.0788015769336408	0.326454595769784	-0.530966846873647	-0.256735422859647	-0.538063682678969	-0.586002936440955	-1.24621718068467	0.0660321797538188	-0.29749550206132	0.291933877198575	0.0567089217891148	-1.70778905211679	0.23969155726947	-0.913201462891925	-0.781453701300669	-0.028278946725715	-0.301385271260253	0.0208382815335977	0.243814873606198	0.157930412692268	0.0666694098696325	0.17500724059088
