#2018-01-30 21:38:24: 
#
MANUAL INPUT GENE LIST

#
#Input expression data: 
#C:/AD/files_results/AD_mouse_model_project/mixed_model/random_intercept_include_NA_low_exp_rm//early/mixed_model_results_exp_corrected.Rdata
#
#Input gene ranking lists:
#
geneSymbol	GSE36237_HippVeh_WT_1	GSE36237_HippVeh_WT_2	GSE36237_HippVeh_WT_3	GSE36237_HippVeh_WT_4	GSE36237_HippVeh_WT_5	GSE36237_HippVeh_WT_6	GSE36237_HippVeh_WT_7	GSE36237_HippVeh_WT_8	GSE36237_HippVeh_TG_1	GSE36237_HippVeh_TG_2	GSE36237_HippVeh_TG_3	GSE36237_HippVeh_TG_4	GSE36237_HippVeh_TG_5	GSE36237_HippVeh_TG_6	GSE36237_HippVeh_TG_7	GSE36237_HippVeh_TG_8	GSE48622_WT_rep1	GSE48622_WT_rep2	GSE48622_WT_rep3	GSE48622_WT_rep4	GSE48622_APLP2KO_rep1	GSE48622_APLP2KO_rep2	GSE48622_APLP2KO_rep3	GSE48622_APLP2KO_rep4	GSE48622_APPKO_rep1	GSE48622_APPKO_rep2	GSE48622_APPKO_rep3	GSE48622_APPKO_rep4	GSE48622_N.dCKO_rep1	GSE48622_N.dCKO_rep2	GSE48622_N.dCKO_rep3	GSE48622_N.dCKO_rep4	GSE63617_3m_hp_VH_rep1	GSE63617_3m_hp_VH_rep2	GSE63617_3m_hp_VH_rep3	GSE63617_3m_hp_VH_rep4	GSE63617_3m_hp_VH_rep5	GSE63617_6m_hp_VH_rep1	GSE63617_6m_hp_VH_rep2	GSE63617_6m_hp_VH_rep3	GSE63617_6m_hp_VH_rep4	GSE63617_6m_hp_VH_rep5	GSE63617_3m_hp_AD11_rep1	GSE63617_3m_hp_AD11_rep2	GSE63617_3m_hp_AD11_rep3	GSE63617_3m_hp_AD11_rep4	GSE63617_3m_hp_AD11_rep5	GSE63617_6m_hp_AD11_rep1	GSE63617_6m_hp_AD11_rep2	GSE63617_6m_hp_AD11_rep3	GSE63617_6m_hp_AD11_rep4	GSE63617_6m_hp_AD11_rep5	GSE64398_WT_2m_Hipp_rep1	GSE64398_WT_2m_Hipp_rep10	GSE64398_WT_2m_Hipp_rep11	GSE64398_WT_2m_Hipp_rep12	GSE64398_WT_2m_Hipp_rep2	GSE64398_WT_2m_Hipp_rep3	GSE64398_WT_2m_Hipp_rep4	GSE64398_WT_2m_Hipp_rep5	GSE64398_WT_2m_Hipp_rep6	GSE64398_WT_2m_Hipp_rep7	GSE64398_WT_2m_Hipp_rep8	GSE64398_WT_2m_Hipp_rep9	GSE64398_WT_4m_Hipp_rep1	GSE64398_WT_4m_Hipp_rep2	GSE64398_WT_4m_Hipp_rep3	GSE64398_WT_4m_Hipp_rep4	GSE64398_WT_4m_Hipp_rep5	GSE64398_WT_4m_Hipp_rep6	GSE64398_WT_4m_Hipp_rep7	GSE64398_WT_4m_Hipp_rep8	GSE64398_WT_4m_Hipp_rep9	GSE64398_WT_8m_Hipp_rep1	GSE64398_WT_8m_Hipp_rep10	GSE64398_WT_8m_Hipp_rep2	GSE64398_WT_8m_Hipp_rep3	GSE64398_WT_8m_Hipp_rep4	GSE64398_WT_8m_Hipp_rep5	GSE64398_WT_8m_Hipp_rep6	GSE64398_WT_8m_Hipp_rep7	GSE64398_WT_8m_Hipp_rep8	GSE64398_WT_8m_Hipp_rep9	GSE64398_WT_18m_Hipp_rep1	GSE64398_WT_18m_Hipp_rep2	GSE64398_WT_18m_Hipp_rep3	GSE64398_WT_18m_Hipp_rep4	GSE64398_WT_18m_Hipp_rep5	GSE64398_WT_18m_Hipp_rep6	GSE64398_WT_18m_Hipp_rep7	GSE64398_het_TASTPM_2m_Hipp_rep1	GSE64398_het_TASTPM_2m_Hipp_rep2	GSE64398_het_TASTPM_2m_Hipp_rep3	GSE64398_het_TASTPM_2m_Hipp_rep4	GSE64398_ho_TASTPM_2m_Hipp_rep1	GSE64398_ho_TASTPM_2m_Hipp_rep2	GSE64398_ho_TASTPM_2m_Hipp_rep3	GSE64398_ho_TASTPM_2m_Hipp_rep4	GSE64398_TAS10_2m_Hipp_rep1	GSE64398_TAS10_2m_Hipp_rep2	GSE64398_TAS10_2m_Hipp_rep3	GSE64398_TAS10_2m_Hipp_rep4	GSE64398_TAU_2m_Hipp_rep2	GSE64398_TAU_2m_Hipp_rep3	GSE64398_TAU_2m_Hipp_rep4	GSE64398_TPM_2m_Hipp_rep1	GSE64398_TPM_2m_Hipp_rep2	GSE64398_TPM_2m_Hipp_rep3	GSE64398_het_TASTPM_4m_Hipp_rep1	GSE64398_het_TASTPM_4m_Hipp_rep2	GSE64398_het_TASTPM_4m_Hipp_rep3	GSE64398_het_TASTPM_4m_Hipp_rep4	GSE64398_TAS10_4m_Hipp_rep1	GSE64398_TAS10_4m_Hipp_rep2	GSE64398_TAU_4m_Hipp_rep1	GSE64398_TAU_4m_Hipp_rep2	GSE64398_TAU_4m_Hipp_rep3	GSE64398_TAU_4m_Hipp_rep4	GSE64398_TPM_4m_Hipp_rep1	GSE64398_TPM_4m_Hipp_rep2	GSE64398_TPM_4m_Hipp_rep3	GSE64398_TPM_4m_Hipp_rep4	GSE64398_TPM_8m_Hipp_rep1	GSE64398_TPM_8m_Hipp_rep2	GSE64398_TPM_8m_Hipp_rep3	GSE64398_TPM_8m_Hipp_rep4	GSE64398_TPM_18m_Hipp_rep1	GSE64398_TPM_18m_Hipp_rep2	GSE64398_TPM_18m_Hipp_rep3
Bdnf	0.284280684233838	-0.141741426253736	-0.627979483080297	-0.647007499449618	0.0168804706490029	0.0174115424253696	0.103202420258183	0.00400264373221937	0.0561218446725036	0.223774426774458	-0.203003076541139	0.4266990084638	-0.179145810830374	-0.455270573811733	-0.252154384428438	0.160138404880071	-0.0500630757971212	-0.00330239400442522	-0.306839881528351	-0.244789985173323	0.0957268295605793	-0.202305701646441	0.0168743737853418	-0.259668923255694	-0.0377509950546369	0.0454801414610131	0.0936205641691146	-0.113033031366951	0.187679771337404	-0.124474989887814	-0.268416438165369	-0.000124747000606718	0.0988634443498171	-0.0902098281844985	-0.103132648327339	-0.250556814457175	0.412108150306423	0.238724316535663	0.080863774539683	-0.819668625046935	-0.614988335940559	1.06246611540989	0.470635417176329	-0.361592513859268	0.655036652709224	0.36224889712889	0.229968353709612	-0.676241132599078	-0.57787001826436	-0.802487433360159	-0.582444079518284	-0.577357263162218	0.156593505234762	0.278141511397937	0.0744708992556848	0.380298593077489	0.14222723640481	0.0972600178313137	-0.0459973488298093	0.0319414150137138	0.0676137224549471	-0.10710795753967	-0.0742681932702869	-0.0975309353645919	0.529988472921252	0.0173902648258952	0.334747685356408	0.199856280526921	-0.186902816027025	0.367766841969383	-0.0605365382757519	-0.0229002509853018	0.318975311050322	-0.254414323949545	0.373301960766014	-0.104455628913867	0.0478479054590206	0.184163207822618	-0.357269253278863	-0.221286242681023	-0.0639751222047735	-0.0735972493803967	-0.386185464161647	-0.0473271657135985	-0.117116304461588	-0.0565491813259182	-0.286702831622923	0.311369674710631	0.423197476536457	-0.191552739824788	0.0187672906451244	-0.302097331476338	-0.13496726090353	-0.079855500383637	-0.338103432447289	-0.0236143489895806	-1.84365963411785	-0.347096609044666	-0.363611381613232	-0.403007026102536	0.0202052943886013	-0.303426327906957	0.175548042917633	-0.0778037902012461	0.366158227192985	0.33625520722275	0.0852515875620998	0.173926290137121	-0.456852253275636	-0.436797287753237	-0.0931817175815102	-0.154781662935296	0.166561835415665	-0.196371083107399	-0.341902347751581	-0.344404879644548	-0.761683529636391	-0.914710800549054	0.094434349182519	-1.29175179689431	0.205461099989733	0.407433640586632	-0.336885110976175	0.248637959173694	0.0031460166146946	-0.692960371247368	0.405794455191893	0.394313498248108	0.45932950814659
Crim1	-0.233912998082971	-0.0197080044548024	0.130722663054224	0.118070159977444	0.000478186700258121	0.025955543817723	0.15308298225937	-0.0903049677135748	-0.059882560314966	0.0499784549153812	-0.208594981928371	-0.0284229403651928	-0.0939724474264612	0.127234669649027	-0.191929036703202	0.166066056169782	0.198119576397646	0.164952481874439	-0.617581423121294	-0.513278478509553	0.308293666266108	-0.139529461701214	0.13363921287273	0.110427935754347	0.34461882143755	0.144308344955508	-0.406372074863151	-0.373029103650174	0.230264298108823	-0.134824112022939	0.139274307302239	0.0212505869046371	0.392341385729061	0.536474952017645	0.682107983902091	0.477085017220503	-0.101997751590121	-0.317422465541695	-0.49129539533229	-0.401303093608766	-0.44877754791627	-0.382617325098821	0.451181439144595	0.270760164029708	0.523555232308846	0.193271087932063	0.301185367405424	-0.338591044956482	-0.427333535675853	-0.400662996192398	-0.400662996192398	-0.404908761378548	-0.692566115504321	0.120522829295703	0.470948958476238	-0.170884083047818	-0.4783081833611	-0.601433795059287	-0.646296605936395	-0.152600306278131	0.194327282159883	0.340047503820094	0.676783307330359	0.352479908034996	-0.164374832222554	-0.287406450674232	0.160687650150464	0.824612812589607	0.12243647569424	0.110041139588926	0.684624594078534	0.23048686209747	0.49015690469226	-0.583455059089221	0.444667374434096	-0.26065444393454	0.22850150119667	-0.295785380842772	-0.533855561588199	-0.586164752125593	0.155895144589428	0.262562583311558	0.464394602030019	-0.162263526410665	-0.0305022165582294	0.485357950222721	-0.355802807898778	0.334982318314338	-0.337331317768579	-0.076023745787607	-0.275452439486346	-0.175940692887427	0.455853729095073	0.0681854192406508	0.261889168612972	0.408946205586759	0.167885702621943	0.586772569799573	-0.830874909138755	-0.555474827040408	-0.299439740395409	0.283954729025268	0.384804287500687	-0.865875417858003	0.444113149326037	-0.175351807419581	-0.479282928901363	-0.456408064515659	-1.73380082517638	0.645396380318854	0.207765239547945	0.0559648178215895	0.592862303374648	0.265795722948386	-0.593238173261265	0.051293062073646	-0.629447030625502	-0.481171451454776	0.408319201215447	-1.04229154457068	0.845690829721834	0.106384937567117	-0.234792302024797	-0.191185565819054	-0.303918198221695	-0.169000420088359	0.622599016551987	0.52441161069947	-0.126283134225764
Dcn	1.5503463595732	0.260676868704074	1.19308470028098	0.827326498997882	-1.40269622292017	-1.02095928815375	-0.807023310027146	-1.11074514823646	-1.44739315817948	-0.626624985021069	-0.841983804579227	-0.237869776339576	1.34366772622278	-0.315480059113314	0.806930066920525	1.01632420018713	0.198151139266374	0.0388742557726474	0.0973863632200036	0.256135882783747	0.15937881493609	0.289051002059601	0.280896832752239	0.296194953706848	0.0769891455150606	0.137275576312033	-0.112726409350065	0.114386579359795	-0.0412737887643768	-0.0205636713878707	-0.366909441168854	-0.0467034969805145	1.31393304365884	0.203012201736721	1.01377126539112	0.739249531323846	-0.122588089465909	-0.81891065849541	-0.1338902219058	-0.00994717668688416	0.0266885320445649	0.209964753871803	0.570704710265753	1.47581203412112	0.339096350174696	0.894866529990752	-1.02124543543291	0.480593888846416	-1.46109479307313	-1.71040099008816	-0.728522200797412	-1.27229955436031	-0.723691364355719	-0.91158362634873	0.759661758212228	-0.150188584305452	-0.495491381127644	-0.851562180646489	-0.543359327864644	0.961388392408448	0.0616656512450877	0.756986482911875	0.538661678429397	0.768213438182737	0.00123225161433105	-0.128543858582171	-0.439542001168288	0.146407818908667	1.08668191813682	-0.582733373435746	0.420276326418636	-0.581287762970014	0.181094869446639	-1.61735553394803	0.40083905881392	-0.509263009782435	-0.0447872974669217	-0.189692515221441	-1.2184267016964	0.536090638125565	-0.104532369188416	-0.571839832299588	-0.141544566262981	0.972577473970732	0.435277588202027	0.321745960703616	-0.112067310253829	-0.762087354428674	-0.897814886532592	0.726752251421459	-0.194933268805803	0.912275323422557	-0.0627953034507449	1.23421189647258	0.852393334922469	0.933276653556399	-1.17030560106966	0.958033318862054	0.874895675363208	0.416785165002205	0.585358458518048	1.00450516841	0.2565883213909	-1.54783825413587	-0.635726519846301	-0.312661417875374	1.03891059376074	-0.839943712703885	0.214768286609729	1.32703559382526	0.832497419494238	1.33139774609248	0.752809682618523	1.20104495651331	-1.46957673669257	0.534837995827276	0.38265880034683	0.293229110742283	0.468689928707539	-0.134552832366039	0.752809682618523	-0.682865923366618	0.255614806306669	-0.452344267826167	-0.841967395322646	0.794274369684519	-1.5032902129368	-0.971569400203963	-1.69735713794332
Fezf2	-0.291505888649798	-0.129031664050322	-0.234050196464976	-0.195085347763049	-0.595812995939614	-0.313869246476305	0.100210054759003	-0.0398439582935133	0.0352124966064533	-0.1684696973696	-0.20402645988187	0.220245014541579	0.0992465971284666	0.0821951819527289	0.0976950374761394	0.159981610409359	-0.0782287247052018	-0.150231131377996	-0.170021098366355	-0.293554390318166	-0.0262889242769138	-0.277366767596069	-0.113105320111805	-0.371771337032458	0.0559848820084046	0.00817077432162172	-0.0417584215104529	-0.132998124950095	-0.0141190619135063	-0.118598705912735	-0.191485725966688	0.0628131195498902	0.927571820413261	0.231602481935857	0.858013863077318	0.821114449741145	0.24148490072885	-0.745491709604964	-0.345535153408485	-0.329920410317176	-0.332412699931616	0.191152631674472	-0.222694861937173	0.289017286606056	0.315381617826574	0.57596120515753	-0.239341466573359	-0.223263131040977	-0.513116601933515	-1.99536024611732	-0.844751643138251	-0.936333756626926	0.121071059927475	-0.0409745304688105	0.0159150100323959	-0.229979465094871	-0.108765171986159	-0.410961444468729	0.178199677514749	0.307394784713843	0.0812449313407608	0.203502031962117	0.201490524818846	0.266486364045328	-0.0993126673300306	0.274322156447157	0.187910631537779	0.227707267615139	0.0590008319271558	-0.171554910598484	0.141775245644228	-0.0222795987990843	0.146081146565461	-0.113580188859395	-1.16811273011211	0.222865721191846	-0.208938493874481	-0.28127251854699	-0.309640825009357	0.0485779558555208	0.48693730094978	0.386164413784044	0.507947260659162	0.362729683799282	0.377862458096029	-0.385230533698611	-0.169612123016213	-0.267027314428979	-0.115635177969628	0.171135649171724	0.0144228101551516	0.511546387455525	-0.159511027159709	0.197282249396704	0.380122763259847	0.538437175804733	-1.748607024764	-0.012746918309249	-0.103405972687344	-0.263334227033173	0.0590008319271558	0.0978048782059329	0.260589054489149	0.0485779558555208	-0.116295379898949	-0.323018955648353	-0.549556113662634	-0.489982187586953	0.54949173919932	0.295424322373689	0.25774128749357	-0.0668853564820147	-0.0249804326011223	0.284451928405096	-0.434486611133462	0.0173844542416308	-0.0428503419126418	-4.64953655659285	-0.214264408087686	-0.226234872338438	0.190855906695612	-0.211659121340547	0.110873605454294	-0.329905885550636	-0.262721353544711	-0.0844355881156851	-0.298049449779143	-0.216829074172253	-0.527142792193533
Gabrb3	-0.172101867056869	0.0952120215205525	-0.169937929587309	-0.0353895596579044	0.0120715076251923	0.0689121710786331	0.00297557106130952	0.0343807280406416	0.0164459219866568	0.0488195279240262	-0.16529979080253	0.0560191569979871	-0.162927997793037	-0.00233491771066241	0.00534008800272545	0.0512141293757598	-0.0203620149954986	-0.0839415004544115	-0.0839415004544115	-0.0547780347246043	-0.118986486162971	-0.0887931055594233	0.0178731823089038	0.00583900301325713	0.0714771767076687	-0.023055209485328	0.0353395310338573	-0.014496521211278	-0.0258887062811066	0.00583900301325713	-0.014496521211278	-0.0912125067029308	0.541793635097669	0.385357740196516	0.193513542070326	0.309491729468405	-0.193885177726864	-0.0228005599609578	-0.324570522727536	-0.441614717388761	-0.325728472448917	-0.367098228241039	0.253240635536683	0.269665073248184	0.636443907142878	0.472947525206258	0.305459419108805	-0.528489779654292	-0.48694172844546	-0.558957031605747	-0.414289528933338	-0.22973788260011	-0.0520857556713352	0.0883968591529776	0.137541054182448	-0.0591164878192618	0.114440159587771	0.0706809615664383	0.158723577388725	-0.273881650644801	-0.0148076611657206	0.0179694643979396	-0.159749682787965	0.10427051125833	0.43114837296528	0.234566217332892	0.251716502239702	-0.0591164878192618	-0.0123253022016936	0.218232671482564	0.106841583479273	0.116840935069698	0.0810097851924851	-0.166049636066624	-0.12551808948705	-0.0757556647298063	-0.177115443649241	0.00705721138451487	-0.322058388976922	0.0810097851924851	0.134748218791421	0.0325865347976251	-0.00752924501238894	0.0787677938193045	0.0630685144477283	-0.0355124373682827	-0.273881650644801	-0.0520857556713352	0.0583465803822794	-0.0689325151288784	0.0733936005106575	-0.0471314394425608	-0.354624829500787	0.0993613641938254	-0.026564619306674	-0.0425717492376076	-0.478869037637246	-0.0403744711689438	-0.197767037909271	0.166925173440772	-0.0712379308074791	0.0883968591529776	0.15616664915663	0.106841583479273	0.278459694872721	0.267660971548064	-0.12346691312896	-0.134073682940755	0.0449599320274388	-0.193775982576996	-0.103395396145174	-0.211844200811859	-0.0123253022016936	-0.0591164878192618	-0.41652147365115	-0.170484384939053	-0.199900619657125	-1.10688606083242	0.15616664915663	-0.663670211999069	-0.129640056935171	0.199147683503563	0.0836280576222848	0.27538487997769	0.27538487997769	-0.140215040045842	0.218232671482564	0.0325865347976251	0.0706809615664383
Grp	0.991016143571553	0.0203750072861819	0.817662460786606	0.513622606061091	-1.71589953125809	-0.91770143539105	-0.356403332506822	-0.703041097999124	-0.675893516250399	-0.0664912775236282	-1.35583040548793	0.273888406603966	1.04078483468355	-0.168696898434765	0.361775561009702	0.785661876830304	-0.281390568350925	-0.275202950407351	-0.0643229291868899	0.00225124817902156	0.0421906538973804	0.0893598669117832	0.00696145569066786	-0.0612233308251309	-0.251551146881972	-0.0940926139190932	0.0723591105229318	0.133185934242986	0.147160743065454	0.0243887275369676	-0.120614462196215	0.12484325083711	0.0363749890001088	-1.43718423479148	0.39214416851634	0.248804717087712	0.359460217756579	0.158973545971783	0.783336949051654	0.538123486271401	0.472926687895583	0.384529219513022	-0.408168522221922	0.111529897293552	0.171476103193731	0.568205749056538	-1.04589756591683	0.623462467421579	-0.0280218747676031	-2.57232740333838	0.0801323099667837	-0.147296358824061	-0.527535799655636	-0.137602467592369	0.65764449058522	-0.45032623935796	-0.374274671642329	-0.0492644409493561	-0.767574068127791	0.822108280489221	0.250447601632164	0.352711456046599	0.31188990013327	0.300004026667215	-0.203628377247496	-0.241388013727473	-0.414468752667942	0.271740797333649	0.528487715900985	-0.863434758458133	-0.122615868996451	-0.206291291784273	-0.219272860781469	-0.535005379882827	-0.600526010830968	-0.0350345471519802	1.13760473353312	-0.468850072964143	-0.202970631297937	0.132812750661813	0.312441767300415	-0.127648490499253	-0.0767193069072025	0.14510977840381	0.475605766951244	0.47907911055257	0.516150513744632	-0.792234963174945	-0.0610479975534428	0.81542095425819	-0.89935697810297	0.383208140176034	1.28606308288598	0.533239155582011	0.658804378805499	0.686735717132434	-4.20457776693405	0.902881512529513	0.668161784306733	-0.475357370907922	0.758134108683677	0.20965701791547	0.501437264203659	-1.15092313349943	-0.736911065141523	-1.82554973625901	0.827337802007284	-1.23932382065385	-1.10747938915988	0.284013061522614	0.466372641106499	0.827946906060539	0.067369378514865	0.285646812765425	-0.408009552454038	0.775773770345413	0.569487744430523	-0.724304461998564	-0.0505328849414663	0.997420677764183	0.319403322742405	-0.948783945619711	0.277734360786141	-0.838157256320582	-0.971296859949393	0.499254549748612	-0.579869896422618	-0.463047147265197	-1.03822948831531
Kit	0.0599907594835649	0.203422955242392	0.16437131252072	0.239779689297203	-0.544223949014723	-0.200687771720842	-0.030540259964372	-0.0797208530723843	-0.315233430979726	-0.117249858750666	-0.620836795262948	0.152479728321088	-0.0392069183703594	0.0355586118595195	0.22938888105101	0.609430220305969	-0.301231170637347	-0.183605394269174	-0.120275183752129	0.038753886356151	-0.208683044101782	-0.078282289473961	-0.101374521637556	-0.0509074718181051	0.153198617225812	-0.124414509901149	0.0223948390861572	0.00884338986007549	0.030874075119776	0.0890046263737272	0.0314694525135302	0.0398031764934874	0.137547854296102	-0.401259206758885	0.259406741390583	0.128019673632524	-0.602288332078091	-0.00583177143186653	0.267127767771884	0.351778358129945	0.301839141398986	0.317625753179707	-0.750807417073917	-0.217180535225884	0.137061205913277	0.102333816436287	-0.709956594872295	0.421228588398755	0.290862285532464	-1.26435650329513	0.100925569742625	0.0538294449731591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ldb2	-0.174345714355757	-0.286767906670432	0.150300479763489	0.252373361625466	-0.424382675389801	-0.125202956272231	0.204682556945368	-0.159908119235043	-0.236318060832442	-0.0593142812887635	0.0498776514323538	-0.0118152647458611	0.336773801080351	0.00825200661291348	-0.0414985433374291	0.211847776178208	-0.109158722625262	-0.241208090806266	0.00316911996382352	-0.0193400105224999	0.142880620592221	0.0367474965619241	-0.0749125414963654	-0.232301744283562	0.0946810484274874	0.0179099084463257	-0.0563020438808906	-0.0438548638261267	0.112818339938071	-0.0110348770156303	0.0468507167671852	-0.0826180341260478	-0.271702067672564	-0.273929718844546	-0.203232156823253	0.135220311974327	-0.495670404319859	-0.239828647724394	0.586546375716272	0.109202277200945	-0.0302569247254141	0.362875783555491	0.144052297091732	0.1514792682121	0.265156627465565	0.429656986812578	-0.652623282234726	0.231351594415685	-0.0932681057452927	-0.614720190094243	0.0697465743704964	-0.153750251462276	-0.340293128810524	-0.443187078164913	0.209179792010801	-0.221244877121146	-0.301897682305562	-0.568345412319289	0.0552812006443393	0.574517941644947	0.181926214168817	0.50264055349453	0.477139191660731	0.361581629825274	-0.0392261124556068	-0.00382068920922585	0.107783853889256	0.445873251296192	-0.0583172307205615	-0.379114195468105	0.386610914105898	-0.212704494228461	0.106258936532829	0.309220132270161	-1.64668159763905	0.236144626718424	-0.0129687513393435	-0.223308413673978	0.573701976719111	0.0500250562496038	0.590165490739576	0.342979518471575	0.757816100537912	-0.21846421680063	0.249745902175093	-0.268577084643148	0.00481817441585086	0.0670173597207366	-0.60498115415421	0.203268151004334	-0.275690288922753	0.226694643737984	0.41297422145753	0.174901865610265	-0.0603923076526414	-0.0533282793096159	-0.292815446216773	0.330456208884302	0.309999523601352	0.331239050857825	0.0670173597207366	0.179558042420894	0.382471570835044	0.159329765655546	-0.0742909183565512	-0.561433842375001	-0.656869013403851	-0.365616865279106	0.0817433162466479	0.232206526529039	0.213745212645666	0.212198883482261	-0.0904677633825912	0.41297422145753	-0.278400294376917	0.0989162171783438	-0.0562194867833483	-0.860715132023872	-0.555828623989616	-1.2488272848927	0.103385455824611	-0.304438445747401	0.59804615263382	-0.152327926487802	-0.584954289771824	0.295979007689237	-0.265168775427203	-0.33894898223534	-0.489171603584612
Nov	-0.084251619849498	0.274527483171898	0.175434881582914	0.231298248134314	-0.672102033312209	-0.326394840667588	-0.095989484897899	-0.163975211762526	-0.568082292178227	-0.43309723481525	-0.544410880966883	0.054290556384224	0.0433846791790184	0.0853310179851512	0.448594758920599	0.661788229217947	-0.168808042097547	-0.252794684325275	-0.173266328706635	-0.0460361027681273	0.0697310755652136	0.0515919044661661	-0.0893472345098107	-0.0976975798100295	-0.152759940547165	-0.205286642609595	-0.114840054061952	-0.113052958844804	0.181282533638168	0.0311646164275245	-0.0961781108915201	-0.07167558293912	0.423295662508309	-0.456511150277954	0.23955978984953	0.588276460325543	0.345428085477096	-0.535350789659017	0.24657628991419	0.191052775913239	-0.0755983597534868	0.335628971200663	-0.393008823207047	0.63995356937563	-0.0958104245222273	0.324865222515156	-1.75548072149238	1.24810727170185	0.75947108518705	-2.47889212952206	-0.446404338282946	-0.578722749498731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Npr3	-0.165832786712914	0.152216991616183	0.104051148810923	-0.00812731437440295	0.413386314032033	-0.699801222662511	0.0377750164379886	-0.312973450532131	0.0487807792738835	0.0911000480010147	-0.754015202942569	0.272312200673069	-0.0366291972536334	-0.076686013972691	-0.129187885225055	0.370290249028429	0.180479142367429	-0.176810181139511	-0.075778442197417	0.0122864520857915	-0.199428996793531	-0.220865276572911	-0.0305294415675936	-0.10669012723554	0.101029604896251	-0.0666567950387424	-0.00369261754786088	0.0429972498086153	-0.169130341529736	-0.179144182542387	0.0986028470341802	-0.129435374741921	0.198838991983827	0.0700456851799531	0.112524873712228	0.0230148080862707	-0.195472998277027	-0.0331154513056955	0.00341087457280764	0.207532270498024	0.823835529602833	0.253079040699835	-0.205632890162711	-0.639255283716618	-0.430703566724323	-0.241344824420703	-0.440139753154969	0.79275195308353	-0.0197824984330106	-1.29103452827557	0.141782635302017	-0.0512560508230022	-0.199221818082759	0.0946833283647681	0.0752018306147733	0.000562745846602652	0.011132120609199	-0.322489445562189	-0.168028258355355	-0.0760838449386316	-0.170601399815789	0.100939784866883	0.00862506966317511	0.164491509888519	-0.228438625576546	-0.0136155927760662	0.0155381831732608	-0.138297490705677	-0.119081301376784	0.110919937091325	0.153373152656808	0.321311260575557	0.441532810511523	-0.180554057779565	-0.228438625576546	-0.0902393087380595	-0.186162953974314	-0.0882627900011475	-0.300361961468123	0.0678037691430262	0.220686051105517	0.131172866371212	-0.25643754948179	0.0484372803894999	-0.0546794765680101	0.43530652698081	-0.436890312323991	-0.0895498440555151	-0.0136155927760662	0.0347667295959386	-0.0156374734412381	0.114576090962737	-0.0463820850055612	0.353516130004062	0.275705272778437	0.113337124012563	-1.10712008463511	-0.0902393087380595	-0.171945734215717	-0.0221297496479078	0.0309665461554918	0.242216613969516	0.314469887249402	-0.192183346513213	0.496788819377086	0.191559561958082	0.277592727298568	-0.034586072420792	-0.117190138070448	0.472610596312686	-0.0786150855394894	0.638868081685995	0.378327056097955	-0.0609638314258945	-0.456898203193771	-0.0882627900011475	-0.00344954997255797	-0.890860906407664	0.374562076637318	-0.71324970149477	0.0406006937338805	-0.209506368439206	0.0341526322665544	-0.244941712691999	0.0926955720775045	0.0678037691430262	-0.132458425194555	-0.320512989885421	-0.595989105440515
