Disease	Regulation	phase	GO Term ID	GO Term Description	FDR	Multifunctionality Score	Number of Genes	Top Hits
AD	early: up-regulated	early	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	0.011	0.556	18 (2)	Sqle(2), Msmo1(3)
		early	GO:0016125	sterol metabolic process	0.01	0.809	65 (3)	Sqle(2), Msmo1(3), Nsdhl(7)
		early	GO:0016491	oxidoreductase activity	0.025	0.931	439 (4)	Sqle(2), Msmo1(3), Nsdhl(7), Bdh2(8)
		early	GO:0008610	lipid biosynthetic process	0	0.943	266 (3)	Msmo1(3), Nsdhl(7), Etnk1(18)
		early	GO:0044255	cellular lipid metabolic process	0.008	0.945	448 (3)	Msmo1(3), Bdh2(8), Etnk1(18)
		early	GO:0044283	small molecule biosynthetic process	0.034	0.968	224 (2)	Msmo1(3), Nsdhl(7)
AD	late: up-regulated	late	GO:0016126	sterol biosynthetic process	0.008	0.483	28 (4)	Msmo1(4), Nsdhl(7), Fdps(8), 0610007P14Rik(20)
		late	GO:0016125	sterol metabolic process	0.013	0.79	64 (5)	Msmo1(4), Sqle(5), Nsdhl(7), Fdps(8), 0610007P14Rik(20)
		late	GO:0016491	oxidoreductase activity	0.043	0.931	440 (4)	Idh1(2), Msmo1(4), Sqle(5), Nsdhl(7)
		late	GO:0019752	carboxylic acid metabolic process	0.039	0.956	434 (3)	Idh1(2), Msmo1(4), Slc22a4(12)
		late	GO:1901615	organic hydroxy compound metabolic process	0.013	0.968	218 (6)	Msmo1(4), Sqle(5), Nsdhl(7), Fdps(8), Slc22a4(12), 0610007P14Rik(20)
AD	late: down-regulated	late	GO:0003779	actin binding	0.025	0.707	244 (2)	Inppl1(1), Ang(17)
		late	GO:0016773	phosphotransferase activity, alcohol group as acceptor	0.046	0.924	487 (2)	Map3k5(3), Camkk2(6)
		late	GO:0008289	lipid binding	0.048	0.924	364 (2)	Inppl1(1), Mfge8(16)
		late	GO:0007186	G-protein coupled receptor signaling pathway	0.045	0.926	286 (2)	Atrnl1(12), Fzd9(15)
		late	GO:0051345	positive regulation of hydrolase activity	0.005	0.927	390 (3)	Map3k5(3), Ang(17), Arhgef19(18)
		late	GO:0098552	side of membrane	0.045	0.947	222 (2)	Sppl2b(8), Mfge8(16)
		late	GO:0044297	cell body	0.037	0.948	433 (2)	Ang(17), Slc1a3(20)
		late	GO:0043549	regulation of kinase activity	0.04	0.962	442 (4)	Inppl1(1), Map3k5(3), Camkk2(6), Ang(17)
		late	GO:0043408	regulation of MAPK cascade	0.041	0.972	373 (2)	Inppl1(1), Map3k5(3)
		late	GO:0072358	cardiovascular system development	0.004	0.981	480 (2)	Mfge8(16), Ang(17)
		late	GO:0072359	circulatory system development	0.004	0.981	480 (2)	Mfge8(16), Ang(17)
		late	GO:0045596	negative regulation of cell differentiation	0.042	0.982	363 (2)	Inppl1(1), Meis2(9)
		late	GO:0010243	response to organonitrogen compound	0.044	0.994	301 (2)	Inppl1(1), Slc1a3(20)
		late	GO:1901698	response to nitrogen compound	0.031	0.995	344 (3)	Inppl1(1), Map3k5(3), Slc1a3(20)
