Disease	Regulation	Rank	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
AD	early phase: up-regulated	1	Sqle	squalene epoxidase	4.99e-06	0.0118	0.1824	0.0383
		2	Msmo1	methylsterol monoxygenase 1	6.49e-06	0.0118	0.1805	0.0384
		3	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	5.17e-05	0.0402	0.1845	0.0441
		4	Ring1	ring finger protein 1	1.09e-06	0.0047	0.1871	0.0366
		5	Selenoh	NA	1.43e-04	0.0677	0.1253	0.032
		6	Prokr2	prokineticin receptor 2	3.01e-04	0.0891	0.2374	0.064
		7.5	Etnk1	ethanolamine kinase 1	2.72e-04	0.0879	0.2071	0.0531
		7.5	Bdh2	3-hydroxybutyrate dehydrogenase, type 2	5.59e-05	0.0405	0.1982	0.0476
		9	Zfp330	zinc finger protein 330	6.05e-06	0.0118	0.1145	0.0243
		10	Tecr	trans-2,3-enoyl-CoA reductase	1.16e-03	0.1709	0.0783	0.0236
		11	Enkur	enkurin, TRPC channel interacting protein	8.43e-04	0.1479	0.227	0.0665
		12	Gm5617	predicted gene 5617	2.21e-04	0.0802	0.3608	0.0899
		13	Slc29a1	solute carrier family 29 (nucleoside transporters), member 1	3.03e-04	0.0891	0.1183	0.0319
		14	C1qb	complement component 1, q subcomponent, beta polypeptide	5.38e-04	0.1175	0.102	0.0288
		15	Acat2	acetyl-Coenzyme A acetyltransferase 2	7.35e-04	0.1379	0.1196	0.0345
		16	Fam229b	family with sequence similarity 229, member B	4.30e-04	0.1115	0.1015	0.0281
		17	Cdhr1	cadherin-related family member 1	1.24e-04	0.062	0.2088	0.0528
		18	Ube2b	ubiquitin-conjugating enzyme E2B	1.43e-03	0.1854	0.0612	0.0188
		19	Dynlrb1	dynein light chain roadblock-type 1	1.47e-03	0.1854	0.0718	0.0221
		20	Dbnl	drebrin-like	2.56e-03	0.2224	0.0685	0.0223
		21	Gtf2ird1	general transcription factor II I repeat domain-containing 1	2.76e-03	0.2224	0.1164	0.0382
		22	Glra2	glycine receptor, alpha 2 subunit	2.61e-04	0.0879	0.1679	0.0448
		23	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	1.25e-03	0.1709	0.0643	0.0195
		24	Dad1	defender against cell death 1	5.96e-04	0.1242	0.0941	0.0268
		25	Tmem43	transmembrane protein 43	2.66e-03	0.2224	0.0808	0.0264
		26	Dbi	diazepam binding inhibitor	1.12e-03	0.1709	0.1053	0.0316
		27	Zfp433	zinc finger protein 433	2.21e-04	0.0802	0.2507	0.0631
		28	Dnah2	dynein, axonemal, heavy chain 2	6.70e-04	0.1301	0.2327	0.0668
		29	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	3.52e-03	0.2509	0.0894	0.0301
		30	Dhx35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	2.46e-03	0.2224	0.0926	0.03
		31	C1qa	complement component 1, q subcomponent, alpha polypeptide	4.50e-04	0.1115	0.1034	0.0287
		32	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	1.21e-03	0.1709	0.0598	0.0181
		33	Cep41	centrosomal protein 41	8.89e-03	0.3104	0.1249	0.0471
		34	Tmsb10	thymosin, beta 10	6.58e-03	0.292	0.1137	0.0412
		35	C1qc	complement component 1, q subcomponent, C chain	1.70e-03	0.2005	0.0871	0.0272
		36	Mier1	MEIR1 treanscription regulator	2.55e-03	0.2224	0.0844	0.0275
		37	Inpp5e	inositol polyphosphate-5-phosphatase E	4.85e-03	0.2734	0.0687	0.024
		38	Casp6	caspase 6	1.16e-02	0.3367	0.1173	0.0459
		39	Rasal2	RAS protein activator like 2	1.26e-03	0.1709	0.1643	0.0482
		40	6330403K07Rik	RIKEN cDNA 6330403K07 gene	8.88e-03	0.3104	0.0862	0.0325
		41	Rsph9	radial spoke head 9 homolog (Chlamydomonas)	1.81e-03	0.2052	0.1522	0.0478
		42	Arhgap4	Rho GTPase activating protein 4	5.03e-04	0.1164	0.0937	0.0263
		43	Drc3	NA	2.17e-03	0.2187	0.1086	0.0347
		44	Slc22a23	solute carrier family 22, member 23	1.50e-02	0.367	0.0754	0.0306
		45	Cdk5rap1	CDK5 regulatory subunit associated protein 1	3.74e-03	0.2593	0.1413	0.0479
		46	Zic4	zinc finger protein of the cerebellum 4	3.83e-03	0.2612	0.3222	0.1095
		47	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)	4.61e-04	0.1115	0.232	0.0645
		48	Harbi1	harbinger transposase derived 1	1.19e-02	0.3383	0.1054	0.0406
		49	Grb10	growth factor receptor bound protein 10	1.36e-02	0.3525	0.1131	0.0453
		50.5	Myadml2	myeloid-associated differentiation marker-like 2	9.41e-03	0.3149	0.1488	0.0552
	early phase: down-regulated	1	Ttyh2	tweety family member 2	4.08e-05	0.0366	-0.1453	0.0342
		2	Irgm2	immunity-related GTPase family M member 2	1.45e-05	0.0183	-0.2187	0.0486
		3	Arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	6.64e-04	0.1301	-0.0896	0.0257
		4	Ddit3	DNA-damage inducible transcript 3	4.40e-04	0.1115	-0.1388	0.0385
		5	Entpd4	ectonucleoside triphosphate diphosphohydrolase 4	2.84e-04	0.0884	-0.1794	0.0481
		6	Ecd	ecdysoneless homolog (Drosophila)	8.56e-04	0.1479	-0.0916	0.0269
