Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
AD	late phase: up-regulated	Msmo1	methylsterol monoxygenase 1	7.79e-07	4.30e-03	0.2564	0.0487
		Man2b1	mannosidase 2, alpha B1	8.23e-07	4.30e-03	0.2267	0.0432
		Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	6.05e-06	1.56e-02	0.2357	0.0494
		Wdr82	WD repeat domain containing 82	6.73e-06	1.56e-02	0.2589	0.0482
		Sqle	squalene epoxidase	9.89e-06	1.56e-02	0.2658	0.0572
		Cidea	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	1.70e-05	2.21e-02	0.3523	0.078
		Cd68	CD68 antigen	2.27e-05	2.36e-02	0.3888	0.0875
		Twsg1	twisted gastrulation BMP signaling modulator 1	2.76e-05	2.61e-02	0.1543	0.0352
		Thy1	thymus cell antigen 1, theta	3.29e-05	2.85e-02	0.3333	0.0768
		Slc22a4	solute carrier family 22 (organic cation transporter), member 4	9.37e-05	4.92e-02	0.2569	0.0631
		Slc39a6	solute carrier family 39 (metal ion transporter), member 6	9.51e-05	4.92e-02	0.1993	0.0491
		Slc14a1	solute carrier family 14 (urea transporter), member 1	1.33e-04	5.50e-02	0.2236	0.0562
		Ttc39c	tetratricopeptide repeat domain 39C	1.65e-04	6.36e-02	0.2303	0.0588
		Erlin2	ER lipid raft associated 2	1.75e-04	6.46e-02	0.143	0.0367
		Reep1	receptor accessory protein 1	1.87e-04	6.46e-02	0.1111	0.0287
		Syap1	synapse associated protein 1	2.45e-04	7.94e-02	0.1081	0.0284
		Sdc4	syndecan 4	2.80e-04	8.05e-02	0.2037	0.0542
		Nsdhl	NAD(P) dependent steroid dehydrogenase-like	2.87e-04	8.05e-02	0.2348	0.0626
		Arcn1	archain 1	3.69e-04	9.83e-02	0.2408	0.0625
		Gpr22	G protein-coupled receptor 22	3.69e-04	9.83e-02	0.2032	0.0552
		Pak2	p21 protein (Cdc42/Rac)-activated kinase 2	4.15e-04	1.07e-01	0.1945	0.0509
		Apex1	apurinic/apyrimidinic endonuclease 1	4.24e-04	1.07e-01	0.1485	0.0408
		Kctd6	potassium channel tetramerisation domain containing 6	4.39e-04	1.08e-01	0.1311	0.0361
		Trem2	triggering receptor expressed on myeloid cells 2	4.91e-04	1.10e-01	0.3659	0.1016
		Smyd4	SET and MYND domain containing 4	5.09e-04	1.10e-01	0.3215	0.0895
		Fdps	farnesyl diphosphate synthetase	5.10e-04	1.10e-01	0.2172	0.0606
		Znrf2	zinc and ring finger 2	5.61e-04	1.12e-01	0.133	0.0374
		Mvk	mevalonate kinase	5.80e-04	1.12e-01	0.2262	0.061
		Tpst1	protein-tyrosine sulfotransferase 1	6.14e-04	1.12e-01	0.1167	0.033
		Serinc2	serine incorporator 2	6.14e-04	1.12e-01	0.2595	0.0734
		Gdap1	ganglioside-induced differentiation-associated-protein 1	6.20e-04	1.12e-01	0.1495	0.0424
		Gfap	glial fibrillary acidic protein	6.29e-04	1.12e-01	0.2858	0.0811
		C1ql2	complement component 1, q subcomponent-like 2	6.63e-04	1.12e-01	0.371	0.1056
		Fahd1	fumarylacetoacetate hydrolase domain containing 1	6.93e-04	1.12e-01	0.1758	0.0503
		Dyrk3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	7.00e-04	1.12e-01	0.2077	0.0594
		Cntn1	contactin 1	7.92e-04	1.19e-01	0.1534	0.0444
		Zbtb8b	zinc finger and BTB domain containing 8b	8.23e-04	1.19e-01	0.1693	0.0491
		Cetn4	centrin 4	8.81e-04	1.24e-01	0.1937	0.0565
		0610007P14Rik	RIKEN cDNA 0610007P14 gene	9.38e-04	1.25e-01	0.1137	0.0334
		Stambpl1	STAM binding protein like 1	9.67e-04	1.27e-01	0.1054	0.031
		Rbm11	RNA binding motif protein 11	9.87e-04	1.28e-01	0.1946	0.0574
		Emc2	ER membrane protein complex subunit 2	1.04e-03	1.32e-01	0.1075	0.0319
		Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	1.06e-03	1.32e-01	0.1381	0.0409
		Crls1	cardiolipin synthase 1	1.10e-03	1.36e-01	0.1551	0.0462
		Fam155a	family with sequence similarity 155, member A	1.18e-03	1.44e-01	0.1144	0.0343
		Ostm1	osteopetrosis associated transmembrane protein 1	1.20e-03	1.44e-01	0.0882	0.0265
		C1qa	complement component 1, q subcomponent, alpha polypeptide	1.21e-03	1.44e-01	0.2156	0.0649
		Rprd1b	regulation of nuclear pre-mRNA domain containing 1B	1.27e-03	1.46e-01	0.1433	0.0433
		Amph	amphiphysin	1.34e-03	1.46e-01	0.1305	0.0396
		Vwa5a	von Willebrand factor A domain containing 5A	1.35e-03	1.46e-01	0.1736	0.0527
	late phase: down-regulated	Adamtsl5	ADAMTS-like 5	8.79e-06	1.56e-02	-0.2933	0.0626
		Inppl1	inositol polyphosphate phosphatase-like 1	1.05e-05	1.56e-02	-0.1651	0.0356
		Vars2	valyl-tRNA synthetase 2, mitochondrial	2.06e-05	2.36e-02	-0.2656	0.0594
		Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	3.87e-05	3.09e-02	-0.3397	0.079
		Nrxn3	neurexin III	5.94e-05	4.17e-02	-0.2028	0.0483
		Kif5a	kinesin family member 5A	6.02e-05	4.17e-02	-0.1691	0.0404
		Sema5b	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	7.27e-05	4.62e-02	-0.2355	0.057
		Cdh6	cadherin 6	7.83e-05	4.62e-02	-0.357	0.0868
