Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
AD	early phase: up-regulated	Thy1	thymus cell antigen 1, theta	2.77e-08	3.00e-04	0.2629	0.0444
		Ring1	ring finger protein 1	3.06e-06	1.66e-02	0.1756	0.036
		Ccdc160	coiled-coil domain containing 160	4.75e-06	1.72e-02	0.1884	0.0391
		Msmo1	methylsterol monoxygenase 1	1.06e-05	2.53e-02	0.1844	0.0402
		Sqle	squalene epoxidase	1.68e-05	2.66e-02	0.1888	0.0422
		Slc29a1	solute carrier family 29 (nucleoside transporters), member 1	5.67e-05	6.90e-02	0.1632	0.0392
		Sox2ot	SOX2 overlapping transcript (non-protein coding)	6.18e-05	6.90e-02	0.931	0.2144
		Gm5617	predicted gene 5617	6.34e-05	6.90e-02	0.3461	0.0783
		Zfp330	zinc finger protein 330	1.01e-04	1.00e-01	0.1058	0.0264
		Selenoh	NA	1.28e-04	1.07e-01	0.1659	0.042
		Dhx35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	1.85e-04	1.42e-01	0.1195	0.0311
		Gck	glucokinase	1.98e-04	1.42e-01	0.2343	0.0612
		Acat2	acetyl-Coenzyme A acetyltransferase 2	2.11e-04	1.42e-01	0.1556	0.0407
		Rnase1	ribonuclease, RNase A family, 1 (pancreatic)	2.87e-04	1.54e-01	0.235	0.063
		Fam229b	family with sequence similarity 229, member B	2.90e-04	1.54e-01	0.1171	0.0315
		Tecr	trans-2,3-enoyl-CoA reductase	3.18e-04	1.54e-01	0.0978	0.0265
		Glra2	glycine receptor, alpha 2 subunit	3.25e-04	1.54e-01	0.2432	0.0659
		Tonsl	tonsoku-like, DNA repair protein	3.75e-04	1.70e-01	0.1415	0.0387
		Prokr2	prokineticin receptor 2	4.16e-04	1.81e-01	0.2328	0.0643
		Nosip	nitric oxide synthase interacting protein	4.80e-04	1.87e-01	0.1297	0.0362
		Nsdhl	NAD(P) dependent steroid dehydrogenase-like	5.28e-04	1.87e-01	0.1822	0.0513
		Dnah1	dynein, axonemal, heavy chain 1	5.39e-04	1.87e-01	0.1286	0.0363
		Gm5148	predicted gene 5148	5.64e-04	1.87e-01	0.149	0.0422
		6330403K07Rik	RIKEN cDNA 6330403K07 gene	7.92e-04	2.20e-01	0.1251	0.0364
		Inpp5e	inositol polyphosphate-5-phosphatase E	8.10e-04	2.20e-01	0.0874	0.0255
		Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	8.92e-04	2.21e-01	0.067	0.0197
		C3	complement component 3	1.03e-03	2.35e-01	0.4359	0.1298
		Mmab	methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)	1.14e-03	2.43e-01	0.1477	0.0444
		Rab7b	NA	1.21e-03	2.43e-01	0.1995	0.0603
		Fdps	farnesyl diphosphate synthetase	1.52e-03	2.86e-01	0.1352	0.0418
		Thtpa	thiamine triphosphatase	1.64e-03	2.97e-01	0.08	0.0249
		Atp5sl	ATP5S-like	1.81e-03	3.13e-01	0.076	0.0239
		Slc41a3	solute carrier family 41, member 3	1.87e-03	3.17e-01	0.1763	0.0556
		Trim45	tripartite motif-containing 45	2.10e-03	3.47e-01	0.099	0.0316
		Pycrl	pyrroline-5-carboxylate reductase-like	2.18e-03	3.51e-01	0.088	0.0282
		Ndufaf5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 5	2.19e-03	3.51e-01	0.0749	0.024
		Rasal2	RAS protein activator like 2	2.28e-03	3.53e-01	0.1436	0.0448
		Fdft1	farnesyl diphosphate farnesyl transferase 1	2.31e-03	3.53e-01	0.2052	0.0642
		Nsd2	NA	2.38e-03	3.53e-01	0.2797	0.088
		Stmn2	stathmin-like 2	2.43e-03	3.53e-01	0.0855	0.0277
		Myadml2	myeloid-associated differentiation marker-like 2	2.43e-03	3.53e-01	0.1821	0.057
		Trpm2	transient receptor potential cation channel, subfamily M, member 2	2.49e-03	3.56e-01	0.104	0.0337
		Soga1	suppressor of glucose, autophagy associated 1	3.24e-03	3.93e-01	0.377	0.1227
		Itih5	inter-alpha (globulin) inhibitor H5	3.25e-03	3.93e-01	0.2179	0.0728
		Gtf2ird1	general transcription factor II I repeat domain-containing 1	3.65e-03	3.94e-01	0.1545	0.0522
		Tmem43	transmembrane protein 43	3.88e-03	3.94e-01	0.0788	0.0268
		Got1l1	glutamic-oxaloacetic transaminase 1-like 1	4.02e-03	3.94e-01	0.2358	0.0806
		Prmt2	protein arginine N-methyltransferase 2	4.05e-03	3.94e-01	0.0941	0.0321
		Tmem91	transmembrane protein 91	4.09e-03	3.94e-01	0.2715	0.0929
		Ccdc159	coiled-coil domain containing 159	4.12e-03	3.94e-01	0.1115	0.0382
	early phase: down-regulated	Crhbp	corticotropin releasing hormone binding protein	1.16e-05	2.53e-02	-0.27	0.0592
		Irgm2	immunity-related GTPase family M member 2	1.71e-05	2.66e-02	-0.2247	0.0503
		Svip	small VCP/p97-interacting protein	1.20e-04	1.07e-01	-0.1091	0.0263
		Atf6b	activating transcription factor 6 beta	2.22e-04	1.42e-01	-0.1419	0.0374
		Wbp11	WW domain binding protein 11	2.58e-04	1.54e-01	-0.1625	0.0433
		Matn4	matrilin 4	3.25e-04	1.54e-01	-0.133	0.0361
		Snhg5	small nucleolar RNA host gene 5	4.52e-04	1.87e-01	-0.1518	0.0406
