Study	Sample	Disease_stage	Genotype	Timepoint	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types
GSE1556	GSE1556_12moControl.1	WT	WT	1m	F	GSE1556	12	WT	NA	NA	NA	NA	WT
GSE1556	GSE1556_12moControl.2	WT	WT	1m	F	GSE1556	12	WT	NA	NA	NA	NA	WT
GSE1556	GSE1556_12moAPPSw.1	Disease	AD	1m	F	GSE1556	12	Tg2576	12m	late	2	GPL81	Amyloid transgenic models
GSE1556	GSE1556_12moAPPSw.2	Disease	AD	1m	F	GSE1556	12	Tg2576	12m	late	2	GPL81	Amyloid transgenic models
GSE15056	GSE15056_wt_rep1	WT	WT	1m	F	GSE15056	17	WT	NA	NA	NA	NA	WT
GSE15056	GSE15056_wt_rep2	WT	WT	1m	F	GSE15056	17	WT	NA	NA	NA	NA	WT
GSE15056	GSE15056_Tg2576_rep1	Disease	AD	1m	F	GSE15056	17	Tg2576	17m	late	3	GPL7202	Amyloid transgenic models
GSE15056	GSE15056_Tg2576_rep2	Disease	AD	1m	F	GSE15056	17	Tg2576	17m	late	3	GPL7202	Amyloid transgenic models
GSE52022	GSE52022_4mon_WT_rep1	WT	WT	1m	F	GSE52022	4	WT	NA	NA	NA	NA	WT
GSE52022	GSE52022_4mon_WT_rep2	WT	WT	1m	F	GSE52022	4	WT	NA	NA	NA	NA	WT
GSE52022	GSE52022_4mon_5XFAD_rep1	Disease	AD	1m	F	GSE52022	4	5xFAD	4m	late	4	GPL1261	Amyloid transgenic models
GSE52022	GSE52022_4mon_5XFAD_rep2	Disease	AD	1m	F	GSE52022	4	5xFAD	4m	late	4	GPL1261	Amyloid transgenic models
GSE50521	GSE50521_eIF2+_S51A1	WT	WT	1m	F	GSE50521	14.5	WT	NA	NA	NA	NA	WT
GSE50521	GSE50521_eIF2+_S51A2	WT	WT	1m	M	GSE50521	14.5	WT	NA	NA	NA	NA	WT
GSE50521	GSE50521_eIF2+_S51A3	WT	WT	1m	M	GSE50521	14.5	WT	NA	NA	NA	NA	WT
GSE50521	GSE50521_WT1	WT	WT	1m	M	GSE50521	14.5	WT	NA	NA	NA	NA	WT
GSE50521	GSE50521_WT2	WT	WT	1m	M	GSE50521	14.5	WT	NA	NA	NA	NA	WT
GSE50521	GSE50521_WT3	WT	WT	1m	F	GSE50521	14.5	WT	NA	NA	NA	NA	WT
GSE50521	GSE50521_5xFAD;eIF2+_S51A1	Disease	AD	1m	F	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid transgenic models
GSE50521	GSE50521_5xFAD;eIF2+_S51A2	Disease	AD	1m	M	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid transgenic models
GSE50521	GSE50521_5xFAD;eIF2+_S51A3	Disease	AD	1m	M	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid transgenic models
GSE50521	GSE50521_5xFAD1	Disease	AD	1m	M	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid transgenic models
GSE50521	GSE50521_5xFAD2	Disease	AD	1m	F	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid transgenic models
GSE50521	GSE50521_5xFAD3	Disease	AD	1m	M	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid transgenic models
GSE14499	GSE14499_Hippocampus,GFP,rep1	WT	WT	1m	F	GSE14499	7	WT	NA	NA	NA	NA	WT
GSE14499	GSE14499_Hippocampus,GFP,rep2	WT	WT	1m	F	GSE14499	7	WT	NA	NA	NA	NA	WT
GSE14499	GSE14499_Hippocampus,APP,GFP,rep1	Disease	AD	1m	F	GSE14499	7	J20	7m	late	6	GPL1261	Amyloid transgenic models
GSE14499	GSE14499_Hippocampus,APP,GFP,rep2	Disease	AD	1m	M	GSE14499	7	J20	7m	late	6	GPL1261	Amyloid transgenic models
GSE14499	GSE14499_Hippocampus,APP,GFP,rep3	Disease	AD	1m	F	GSE14499	7	J20	7m	late	6	GPL1261	Amyloid transgenic models
GSE14499	GSE14499_Hippocampus,APP,GFP,rep4	Disease	AD	1m	M	GSE14499	7	J20	7m	late	6	GPL1261	Amyloid transgenic models
GSE64398	GSE64398_WT_18m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep8	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep9	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep10	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
