ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
ILMN_1244891	1.24326153758982e-16	3.19480917314455e-12	4.92151628987033	27.8140202622287	Cst7	cystatin F (leukocystatin)	6.21630768794908e-17	1	1.59740458657228e-12	1
ILMN_2670690	8.86508221821665e-16	1.13903008880757e-11	1.98257489037839	24.9632998902841	H2-Ob	histocompatibility 2, O region beta locus	4.43254110910833e-16	1	5.69515044403783e-12	1
ILMN_2983516	5.27055195436436e-15	4.51457911904337e-11	2.25415395093107	22.6174101361677	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	2.63527597718218e-15	0.999999999999997	2.25728955952168e-11	1
ILMN_1253919	4.15612417839493e-14	2.35183269793765e-10	3.98036321760865	20.1573066315797	Ccl3	chemokine (C-C motif) ligand 3	2.07806208919746e-14	0.999999999999979	1.17591634896882e-10	1
ILMN_2689785	4.57608416923697e-14	2.35183269793765e-10	2.80789126192197	20.0488898497376	Cd68	CD68 antigen	2.28804208461849e-14	0.999999999999977	1.17591634896882e-10	1
ILMN_1244226	8.10032731716013e-14	3.4692351844844e-10	-1.36205225930272	-19.416603212974	Plrg1	pleiotropic regulator 1	0.999999999999959	4.05016365858007e-14	0.999999999999959	1.04077055534532e-09
ILMN_2619620	1.11305525749007e-13	3.84681697134744e-10	2.19722350631508	19.0726655281556	C1qb	complement component 1, q subcomponent, beta polypeptide	5.56527628745035e-14	0.999999999999944	2.19818112648425e-10	1
ILMN_2715840	1.19759255052261e-13	3.84681697134744e-10	2.00443989696673	18.9942258622808	C1qc	complement component 1, q subcomponent, C chain	5.98796275261305e-14	0.99999999999994	2.19818112648425e-10	1
ILMN_2469329	2.28939510986168e-13	6.53673179312394e-10	1.20814833873062	18.3125341827083	Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	1.14469755493084e-13	0.999999999999886	3.67691163363222e-10	1
ILMN_2882088	4.44038178434776e-13	1.04917326089246e-09	2.14901458916853	17.6384495514034	Rab7b	RAB7B, member RAS oncogene family	2.22019089217388e-13	0.999999999999778	5.77045293490852e-10	1
ILMN_2733733	4.49114911071994e-13	1.04917326089246e-09	2.7561397604448	17.6270782083738	Tlr2	toll-like receptor 2	2.24557455535997e-13	0.999999999999775	5.77045293490852e-10	1
ILMN_1220996	5.28565680046398e-13	1.13187935667936e-09	2.09439227939185	17.464861955028	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	2.64282840023199e-13	0.999999999999736	6.17388740006922e-10	1
ILMN_2992709	6.399761009569e-13	1.180440012735e-09	2.73360522922441	17.2760853988284	Trem2	triggering receptor expressed on myeloid cells 2	3.1998805047845e-13	0.99999999999968	6.35621545318844e-10	1
ILMN_1212695	6.43116324017976e-13	1.180440012735e-09	2.48391756502767	17.2712781730777	Gpr84	G protein-coupled receptor 84	3.21558162008988e-13	0.999999999999678	6.35621545318844e-10	1
ILMN_1243451	7.02074377069503e-13	1.202747017837e-09	2.15775764995684	17.1853345887524	Hvcn1	hydrogen voltage-gated channel 1	3.51037188534752e-13	0.999999999999649	6.44328759555537e-10	1
ILMN_2855334	1.07310019133148e-12	1.6208032668947e-09	1.73230905616797	16.7749545805753	Gusb	glucuronidase, beta	5.36550095665739e-13	0.999999999999463	8.55423946416646e-10	1
ILMN_1223257	1.10344663085782e-12	1.6208032668947e-09	3.72140070777818	16.748286610809	Ccl4	chemokine (C-C motif) ligand 4	5.51723315428909e-13	0.999999999999448	8.55423946416646e-10	1
ILMN_2776431	1.18483527213966e-12	1.6208032668947e-09	2.30875738844494	16.6804010002405	C1qa	complement component 1, q subcomponent, alpha polypeptide	5.92417636069832e-13	0.999999999999408	8.55423946416646e-10	1
ILMN_2769918	1.19839911549983e-12	1.6208032668947e-09	2.9206120817075	16.6695652451897	Timp1	tissue inhibitor of metalloproteinase 1	5.99199557749917e-13	0.999999999999401	8.55423946416646e-10	1
