ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
1423739_x_at	1.06444539103449e-19	4.80075515810465e-15	-3.30349561452716	-54.1034134609204	Aplp2	amyloid beta (A4) precursor-like protein 2	1	5.32222695517244e-20	1	2.40037757905232e-15
1421889_a_at	4.8931651063914e-18	1.10343319731679e-13	-3.47796358245207	-42.6253804065499	Aplp2	amyloid beta (A4) precursor-like protein 2	1	2.4465825531957e-18	1	5.51716598658397e-14
1432344_a_at	3.71784813815744e-17	5.58928896263463e-13	-3.48412524345385	-37.5536153831867	Aplp2	amyloid beta (A4) precursor-like protein 2	1	1.85892406907872e-17	1	2.79464448131732e-13
1421888_x_at	1.79153837922955e-11	2.02000431104079e-07	-1.10603757306174	-16.3412765183702	Aplp2	amyloid beta (A4) precursor-like protein 2	0.999999999991042	8.95769189614773e-12	1	1.0100021555204e-07
1452907_at	1.42130106008748e-10	1.07903964934585e-06	0.810970242762661	14.2555465302209	Galc	galactosylceramidase	7.10650530043742e-11	0.999999999928935	3.20510495555028e-06	0.999999999928935
1421887_a_at	1.43549763776305e-10	1.07903964934585e-06	-1.31427462494123	-14.2461259302625	Aplp2	amyloid beta (A4) precursor-like protein 2	0.999999999928225	7.17748818881524e-11	1	6.47423789607512e-07
1438769_a_at	2.05495917237539e-08	0.000132401019476146	-1.07292648771369	-10.140569529295	Thyn1	thymocyte nuclear protein 1	0.999999989725204	1.02747958618769e-08	1	7.72339280277519e-05
1457913_at	2.72558576482091e-08	0.000153658304473985	1.11297398320502	9.93874545093185			1.36279288241045e-08	0.999999986372071	0.000283436673778292	0.999999999928935
1427271_at	3.7706925404531e-08	0.000188957782518861	0.776539713183145	9.71046916649614	Zbtb44	zinc finger and BTB domain containing 44	1.88534627022655e-08	0.999999981146537	0.000283436673778292	0.999999999928935
1460218_at	3.14602754680993e-07	0.00141888988388674	-0.631501101096377	-8.30834652307971	Cd52	CD52 antigen	0.999999842698623	1.57301377340496e-07	1	0.00101349277420482
1430153_at	4.43785701904065e-07	0.00181956172196138	-0.568842978025318	-8.09457869747135			0.999999778107149	2.21892850952032e-07	1	0.00125094868384845
1443285_at	6.02372075842226e-07	0.00226396524938002	0.861299488368552	7.90766777575954			3.01186037921113e-07	0.999999698813962	0.00339594787407003	0.999999999928935
1427076_at	9.60677299657629e-07	0.00333288514552759	-1.07526081625032	-7.62727768631678	Mpeg1	macrophage expressed gene 1	0.99999951966135	4.80338649828814e-07	1	0.00240708371621437
1456532_at	1.57894540710654e-06	0.0050865726289937	-1.46937861907224	-7.33537502644325			0.999999210527296	7.89472703553268e-07	1	0.00356060084029559
1450820_a_at	2.04129598761442e-06	0.00576417591460686	0.969656956846968	7.18704770175961	Ntng2	netrin G2	1.02064799380721e-06	0.999998979352006	0.00920644903373979	0.999999999928935
1418268_at	2.04489511615507e-06	0.00576417591460686	-0.838824662193659	-7.186036166599	Htr3a	5-hydroxytryptamine (serotonin) receptor 3A	0.999998977552442	1.02244755807753e-06	1	0.0041921279378959
