geneSymbol	Input.Type	MGI.Gene.Marker.ID	Symbol	Name	Feature.Type	Chr	Strand	Start	End	Ensembl.ID	Entrez.Gene.ID	OMIM_ID	Human_Disease
0610005C13Rik	current symbol	MGI:1918911	0610005C13Rik	RIKEN cDNA 0610005C13 gene	lncRNA gene	7	antisense	45567794	45575327	ENSMUSG00000109644	71661	NA	NA
0610007P14Rik	current symbol	MGI:1915571	0610007P14Rik	RIKEN cDNA 0610007P14 gene	protein coding gene	12	antisense	85815448	85824550	ENSMUSG00000021252	58520	NA	NA
0610009B22Rik	current symbol	MGI:1913300	0610009B22Rik	RIKEN cDNA 0610009B22 gene	protein coding gene	11	antisense	51685386	51688874	ENSMUSG00000007777	66050	NA	NA
0610009L18Rik	current symbol	MGI:1914088	0610009L18Rik	RIKEN cDNA 0610009L18 gene	protein coding gene	11	sense	120348678	120351190	ENSMUSG00000043644	66838	NA	NA
0610009O20Rik	current symbol	MGI:1914089	0610009O20Rik	RIKEN cDNA 0610009O20 gene	protein coding gene	18	sense	38250249	38262629	ENSMUSG00000024442	66839	NA	NA
0610010F05Rik	current symbol	MGI:1918925	0610010F05Rik	RIKEN cDNA 0610010F05 gene	protein coding gene	11	antisense	23564961	23633631	ENSMUSG00000042208	71675	NA	NA
0610010K14Rik	current symbol	MGI:1915609	0610010K14Rik	RIKEN cDNA 0610010K14 gene	protein coding gene	11	antisense	70235206	70237914	ENSMUSG00000020831	104457	NA	NA
0610011F06Rik	old symbol	MGI:1915597	Mettl26	methyltransferase like 26	protein coding gene	17	sense	25875464	25886007	ENSMUSG00000025731	68347	NA	NA
0610012G03Rik	current symbol	MGI:1913301	0610012G03Rik	RIKEN cDNA 0610012G03 gene	protein coding gene	16	antisense	31947050	31948494	ENSMUSG00000107002	106264	NA	NA
0610030E20Rik	current symbol	MGI:1915614	0610030E20Rik	RIKEN cDNA 0610030E20 gene	protein coding gene	6	sense	72347317	72353148	ENSMUSG00000058706	68364	NA	NA
0610031O16Rik	current symbol	MGI:1915619	0610031O16Rik	RIKEN cDNA 0610031O16 gene	antisense lncRNA gene	3	antisense	138210716	138240405	ENSMUSG00000099146	68369	NA	NA
0610037L13Rik	current symbol	MGI:1921348	0610037L13Rik	RIKEN cDNA 0610037L13 gene	protein coding gene	4	sense	107889813	107899384	ENSMUSG00000028608	74098	NA	NA
0610038B21Rik	current symbol	MGI:1917595	0610038B21Rik	RIKEN cDNA 0610038B21 gene	antisense lncRNA gene	8	sense	77517056	77518578	ENSMUSG00000097882	70345	NA	NA
0610039K10Rik	current symbol	MGI:1915636	0610039K10Rik	RIKEN cDNA 0610039K10 gene	antisense lncRNA gene	2	sense	163644850	163645801	ENSMUSG00000058812	68386	NA	NA
0610040B10Rik	current symbol	MGI:1914922	0610040B10Rik	RIKEN cDNA 0610040B10 gene	antisense lncRNA gene	5	sense	143329247	143332704	ENSMUSG00000089889	67672	NA	NA
0610040F04Rik	current symbol	MGI:1922644	0610040F04Rik	RIKEN cDNA 0610040F04 gene	antisense lncRNA gene	6	antisense	108577039	108660934	ENSMUSG00000087341	75394	NA	NA
0610040J01Rik	current symbol	MGI:1923511	0610040J01Rik	RIKEN cDNA 0610040J01 gene	protein coding gene	5	sense	63812363	63899625	ENSMUSG00000060512	76261	NA	NA
0610043K17Rik	current symbol	MGI:1915650	0610043K17Rik	RIKEN cDNA 0610043K17 gene	lincRNA gene	4	sense	101353783	101399181	ENSMUSG00000087361	68400	NA	NA
